Result	Accuracy	Rank
10	0	4
682	0	4
26841	0	4
60625	0	4
8716	0	4
66178	0	4
16	0	4
4361	0	4
19384	0	4
15462	0	4
2404	0	4
22436	0	4
73134	0	4
9253	0	4
27151	0	4
6385	0	4
1688	0	4
61445	0	4
62654	0	4
593	0	4
5687	0	4
43715	0	4
8715	0	4
1411	0	4
5960	0	4
2447	0	4
2635	0	4
16180	0	4
1413	0	4
18343	0	4
3582	0	4
14954	0	4
7055	0	4
14787	0	4
18392	0	4
3777	0	4
17799	0	4
19558	0	4
51036	0	4
2348	0	4
21893	0	4
3	0	3
6149	0	4
5596	0	4
5209	0	4
18269	0	4
10	0	4
28604	0	4
89162	0	4
2670	0	4
13332	0	4
36031	0	4
31057	0	4
692	0	4
7910	0	4
2877	0	4
84972	0	4
4311	0	4
19113	0	4
4037	0	4
2336	0	4
231	0	4
86	0	4
14747	0	4
254	0	4
18955	0	4
821	0	4
3286	0	4
1	1	1
18224	0	4
94	0	4
81490	0	4
85288	0	4
3818	0	4
921	0	4
898	0	4
13599	0	4
3414	0	4
13125	0	4
1992	0	4
9862	0	4
51714	0	4
2390	0	4
47427	0	4
8799	0	4
4427	0	4
281	0	4
1189	0	4
19449	0	4
1546	0	4
4285	0	4
13739	0	4
93	0	4
14389	0	4
4735	0	4
14321	0	4
15088	0	4
17615	0	4
5870	0	4
35427	0	4
24	0	4
3861	0	4
97932	0	4
36087	0	4
6	0	4
16915	0	4
8060	0	4
2	0	2
14514	0	4
4796	0	4
392	0	4
11003	0	4
18152	0	4
8315	0	4
10609	0	4
79686	0	4
33001	0	4
9912	0	4
51933	0	4
19643	0	4
15900	0	4
1	1	1
161	0	4
7655	0	4
2	0	2
1530	0	4
2760	0	4
3761	0	4
4773	0	4
5730	0	4
45197	0	4
28505	0	4
52023	0	4
1836	0	4
80058	0	4
5510	0	4
17026	0	4
14800	0	4
16921	0	4
94	0	4
4376	0	4
51136	0	4
316	0	4
25781	0	4
66393	0	4
16836	0	4
71084	0	4
449	0	4
10151	0	4
83905	0	4
152	0	4
17792	0	4
17944	0	4
4548	0	4
8	0	4
2967	0	4
1	1	1
4527	0	4
18380	0	4
17	0	4
2	0	2
11741	0	4
15427	0	4
4315	0	4
131	0	4
1	1	1
19184	0	4
240	0	4
17039	0	4
16227	0	4
4159	0	4
8690	0	4
27866	0	4
16317	0	4
2	0	2
11320	0	4
67157	0	4
741	0	4
2361	0	4
3658	0	4
27583	0	4
16797	0	4
19820	0	4
73777	0	4
55102	0	4
8774	0	4
8602	0	4
8190	0	4
3	0	3
19910	0	4
5513	0	4
1518	0	4
16052	0	4
15161	0	4
1056	0	4
3759	0	4
2112	0	4
4763	0	4
15	0	4
313	0	4
8162	0	4
1097	0	4
40134	0	4
18205	0	4
455	0	4
1165	0	4
42870	0	4
60124	0	4
12600	0	4
3897	0	4
134	0	4
2812	0	4
1121	0	4
3314	0	4
20900	0	4
18272	0	4
8145	0	4
10622	0	4
11959	0	4
602	0	4
88259	0	4
3516	0	4
92914	0	4
8918	0	4
10658	0	4
14904	0	4
341	0	4
11425	0	4
12389	0	4
5008	0	4
11	0	4
1667	0	4
1966	0	4
1776	0	4
22895	0	4
18001	0	4
347	0	4
16968	0	4
18195	0	4
36379	0	4
15716	0	4
13160	0	4
12735	0	4
56	0	4
12796	0	4
4	0	4
74723	0	4
2792	0	4
7	0	4
6876	0	4
6465	0	4
3	0	3
7543	0	4
1034	0	4
14137	0	4
39151	0	4
16941	0	4
84346	0	4
1484	0	4
88053	0	4
17172	0	4
77107	0	4
3793	0	4
17700	0	4
123	0	4
8449	0	4
17129	0	4
28	0	4
15329	0	4
45508	0	4
1079	0	4
37	0	4
5545	0	4
16534	0	4
92625	0	4
5984	0	4
6	0	4
43366	0	4
17706	0	4
43	0	4
14397	0	4
5240	0	4
11782	0	4
2845	0	4
11	0	4
1136	0	4
7425	0	4
456	0	4
8101	0	4
10636	0	4
37	0	4
7483	0	4
20414	0	4
15126	0	4
5051	0	4
2399	0	4
15751	0	4
13840	0	4
62564	0	4
23055	0	4
3899	0	4
199	0	4
17414	0	4
1	1	1
7134	0	4
8598	0	4
13933	0	4
224	0	4
83986	0	4
23139	0	4
3888	0	4
17133	0	4
39812	0	4
2	0	2
395	0	4
4286	0	4
90972	0	4
2530	0	4
11736	0	4
44153	0	4
46	0	4
70115	0	4
959	0	4
3184	0	4
1966	0	4
13809	0	4
6982	0	4
5526	0	4
16075	0	4
24	0	4
11110	0	4
7399	0	4
4697	0	4
703	0	4
2814	0	4
7546	0	4
10620	0	4
6216	0	4
16551	0	4
11	0	4
7866	0	4
8397	0	4
15489	0	4
3535	0	4
6175	0	4
6085	0	4
41755	0	4
3055	0	4
13494	0	4
9259	0	4
342	0	4
8802	0	4
8314	0	4
3	0	3
16796	0	4
2712	0	4
15677	0	4
22360	0	4
8257	0	4
13991	0	4
65977	0	4
46	0	4
906	0	4
10370	0	4
337	0	4
18	0	4
22043	0	4
103	0	4
2	0	2
73	0	4
6447	0	4
5174	0	4
12641	0	4
3	0	3
21329	0	4
19470	0	4
59690	0	4
7700	0	4
12641	0	4
50448	0	4
4832	0	4
3667	0	4
95	0	4
17661	0	4
4	0	4
3	0	3
2863	0	4
59913	0	4
297	0	4
83	0	4
10060	0	4
2510	0	4
15054	0	4
62908	0	4
15370	0	4
2161	0	4
72011	0	4
17441	0	4
5947	0	4
10262	0	4
8340	0	4
3367	0	4
12	0	4
539	0	4
8099	0	4
1481	0	4
30476	0	4
14179	0	4
7586	0	4
17978	0	4
10890	0	4
43727	0	4
759	0	4
3186	0	4
9301	0	4
18800	0	4
5039	0	4
24	0	4
