Result	Accuracy	Rank
1	1	1
5589	0	4
22043	0	4
68618	0	4
68228	0	4
77370	0	4
1	1	1
275	0	4
42021	0	4
158	0	4
439	0	4
8845	0	4
50165	0	4
2692	0	4
15293	0	4
40121	0	4
42300	0	4
53972	0	4
56621	0	4
25449	0	4
13346	0	4
16239	0	4
20730	0	4
2929	0	4
14	0	4
1207	0	4
34813	0	4
161	0	4
4368	0	4
53949	0	4
28195	0	4
4704	0	4
9050	0	4
7522	0	4
20251	0	4
194	0	4
3041	0	4
2219	0	4
64441	0	4
13364	0	4
17563	0	4
48	0	4
9348	0	4
4832	0	4
516	0	4
16951	0	4
19369	0	4
35158	0	4
79584	0	4
14707	0	4
10788	0	4
67113	0	4
1149	0	4
800	0	4
180	0	4
4166	0	4
44152	0	4
15475	0	4
4889	0	4
8845	0	4
7601	0	4
574	0	4
47	0	4
6337	0	4
48134	0	4
10648	0	4
1677	0	4
1	1	1
1	1	1
14322	0	4
97	0	4
50369	0	4
69686	0	4
47444	0	4
21410	0	4
1817	0	4
43867	0	4
12466	0	4
35535	0	4
1074	0	4
9385	0	4
5657	0	4
37242	0	4
32246	0	4
14684	0	4
327	0	4
43	0	4
4014	0	4
7261	0	4
158	0	4
7388	0	4
97879	0	4
93904	0	4
5767	0	4
2853	0	4
57	0	4
26830	0	4
65200	0	4
2160	0	4
16993	0	4
7552	0	4
1368	0	4
22130	0	4
63848	0	4
5869	0	4
1227	0	4
1175	0	4
2	0	2
16192	0	4
21775	0	4
5052	0	4
7699	0	4
799	0	4
12978	0	4
13477	0	4
93712	0	4
569	0	4
5410	0	4
19816	0	4
13691	0	4
4679	0	4
3	0	3
293	0	4
7863	0	4
6	0	4
23105	0	4
19398	0	4
1154	0	4
23	0	4
2428	0	4
2713	0	4
28890	0	4
13229	0	4
733	0	4
81792	0	4
575	0	4
12069	0	4
13442	0	4
404	0	4
2	0	2
312	0	4
11440	0	4
16706	0	4
17457	0	4
1114	0	4
318	0	4
49451	0	4
1082	0	4
855	0	4
7423	0	4
41	0	4
13828	0	4
48541	0	4
1147	0	4
305	0	4
5776	0	4
1	1	1
292	0	4
16049	0	4
16809	0	4
4	0	4
67535	0	4
15627	0	4
7317	0	4
144	0	4
2	0	2
604	0	4
28	0	4
6203	0	4
12133	0	4
2351	0	4
464	0	4
653	0	4
26432	0	4
202	0	4
28249	0	4
28582	0	4
67699	0	4
466	0	4
5903	0	4
28175	0	4
7638	0	4
16505	0	4
55368	0	4
67419	0	4
13726	0	4
2977	0	4
8175	0	4
1	1	1
1797	0	4
16210	0	4
30987	0	4
42	0	4
5595	0	4
20542	0	4
13266	0	4
33507	0	4
91	0	4
13	0	4
74	0	4
39067	0	4
13	0	4
30494	0	4
56	0	4
8	0	4
59	0	4
1056	0	4
4347	0	4
2032	0	4
291	0	4
420	0	4
9751	0	4
107	0	4
14949	0	4
21299	0	4
15022	0	4
3	0	3
19494	0	4
48184	0	4
43729	0	4
81559	0	4
989	0	4
68800	0	4
3723	0	4
1057	0	4
13195	0	4
98	0	4
8229	0	4
30	0	4
8	0	4
6	0	4
3	0	3
2	0	2
6	0	4
14	0	4
641	0	4
28	0	4
11785	0	4
9477	0	4
33268	0	4
9	0	4
5004	0	4
42260	0	4
10852	0	4
19933	0	4
2544	0	4
17102	0	4
20758	0	4
38	0	4
8804	0	4
3309	0	4
6674	0	4
2885	0	4
1608	0	4
1524	0	4
12538	0	4
4817	0	4
100429	0	4
12402	0	4
77340	0	4
4183	0	4
53296	0	4
818	0	4
44963	0	4
20380	0	4
15766	0	4
322	0	4
610	0	4
492	0	4
29430	0	4
257	0	4
8557	0	4
12954	0	4
9358	0	4
88397	0	4
6829	0	4
2150	0	4
935	0	4
35305	0	4
18	0	4
5774	0	4
1304	0	4
7792	0	4
1573	0	4
37	0	4
6	0	4
14536	0	4
2958	0	4
9510	0	4
11627	0	4
8852	0	4
8518	0	4
15873	0	4
923	0	4
150	0	4
11891	0	4
4905	0	4
478	0	4
44078	0	4
14359	0	4
5590	0	4
119	0	4
43	0	4
1	1	1
10474	0	4
5	0	4
4	0	4
69	0	4
30149	0	4
37301	0	4
4184	0	4
14584	0	4
60100	0	4
34272	0	4
4474	0	4
13257	0	4
20043	0	4
121	0	4
3253	0	4
4398	0	4
6	0	4
90356	0	4
10262	0	4
24086	0	4
3230	0	4
6110	0	4
42056	0	4
16983	0	4
25724	0	4
615	0	4
14742	0	4
276	0	4
6	0	4
2583	0	4
4377	0	4
4985	0	4
11318	0	4
2293	0	4
7867	0	4
3038	0	4
5361	0	4
40016	0	4
9060	0	4
17223	0	4
2	0	2
359	0	4
13640	0	4
1	1	1
2	0	2
73181	0	4
17215	0	4
1	1	1
4818	0	4
19	0	4
41307	0	4
7202	0	4
7758	0	4
9895	0	4
11418	0	4
9022	0	4
45127	0	4
14628	0	4
15408	0	4
37736	0	4
103	0	4
2	0	2
45030	0	4
3875	0	4
1	1	1
2432	0	4
93	0	4
3070	0	4
1272	0	4
16	0	4
46202	0	4
27826	0	4
29247	0	4
344	0	4
213	0	4
24035	0	4
32365	0	4
1931	0	4
10	0	4
25114	0	4
2	0	2
6943	0	4
6300	0	4
3415	0	4
4669	0	4
2	0	2
516	0	4
13169	0	4
10584	0	4
27428	0	4
935	0	4
490	0	4
62686	0	4
1664	0	4
34507	0	4
2793	0	4
4744	0	4
1422	0	4
1137	0	4
7245	0	4
1303	0	4
2694	0	4
19500	0	4
1955	0	4
16	0	4
9916	0	4
33453	0	4
68067	0	4
6372	0	4
4639	0	4
8972	0	4
2108	0	4
35215	0	4
3	0	3
347	0	4
2103	0	4
257	0	4
74371	0	4
3266	0	4
33	0	4
7054	0	4
7636	0	4
18	0	4
1221	0	4
185	0	4
6575	0	4
49316	0	4
10157	0	4
14	0	4
23	0	4
74	0	4
718	0	4
2485	0	4
12296	0	4
6147	0	4
7160	0	4
18418	0	4
11033	0	4
2460	0	4
9494	0	4
71	0	4
15272	0	4
2579	0	4
27082	0	4
40383	0	4
1218	0	4
69	0	4
8215	0	4
9222	0	4
93378	0	4
26320	0	4
483	0	4
620	0	4
7840	0	4
40029	0	4
60	0	4
37	0	4
5155	0	4
6781	0	4
10004	0	4
16915	0	4
3918	0	4
1078	0	4
732	0	4
16889	0	4
18173	0	4
731	0	4
635	0	4
11159	0	4
5507	0	4
10981	0	4
26337	0	4
661	0	4
6175	0	4
