Result	Accuracy	Rank
3	0	3
17004	0	4
45338	0	4
86203	0	4
23721	0	4
71817	0	4
1	1	1
79474	0	4
30281	0	4
17518	0	4
28821	0	4
94189	0	4
29514	0	4
4355	0	4
29565	0	4
24468	0	4
1791	0	4
88604	0	4
90811	0	4
5773	0	4
13630	0	4
10928	0	4
1242	0	4
15228	0	4
6132	0	4
16254	0	4
3186	0	4
800	0	4
1934	0	4
9380	0	4
1916	0	4
27543	0	4
16616	0	4
18125	0	4
39894	0	4
14399	0	4
17911	0	4
19413	0	4
42102	0	4
8830	0	4
88365	0	4
1	1	1
16549	0	4
13631	0	4
15409	0	4
42874	0	4
2074	0	4
26522	0	4
70820	0	4
16831	0	4
10740	0	4
74950	0	4
54881	0	4
15320	0	4
17687	0	4
3515	0	4
20143	0	4
17976	0	4
18467	0	4
23262	0	4
4244	0	4
17845	0	4
875	0	4
17728	0	4
17817	0	4
17407	0	4
12668	0	4
2	0	2
1	1	1
17035	0	4
110	0	4
47069	0	4
64343	0	4
41100	0	4
94867	0	4
16688	0	4
78570	0	4
20980	0	4
19851	0	4
25	0	4
6	0	4
47914	0	4
17011	0	4
64904	0	4
15551	0	4
814	0	4
2	0	2
6189	0	4
419	0	4
23725	0	4
4085	0	4
966	0	4
4783	0	4
20	0	4
27414	0	4
19237	0	4
19872	0	4
23819	0	4
30	0	4
53636	0	4
18313	0	4
17955	0	4
86758	0	4
42283	0	4
2	0	2
86864	0	4
12842	0	4
17769	0	4
44716	0	4
57392	0	4
14047	0	4
15417	0	4
17735	0	4
6592	0	4
954	0	4
81588	0	4
50409	0	4
18232	0	4
21246	0	4
51996	0	4
16787	0	4
63	0	4
8463	0	4
10259	0	4
1569	0	4
6457	0	4
5000	0	4
344	0	4
14304	0	4
470	0	4
44462	0	4
14654	0	4
29222	0	4
197	0	4
51355	0	4
28065	0	4
30506	0	4
36558	0	4
8833	0	4
11531	0	4
41086	0	4
23276	0	4
23166	0	4
36457	0	4
26922	0	4
18659	0	4
55825	0	4
20099	0	4
17099	0	4
21985	0	4
359	0	4
18131	0	4
48737	0	4
14513	0	4
14	0	4
14921	0	4
1	1	1
30	0	4
2555	0	4
8483	0	4
175	0	4
22802	0	4
25960	0	4
23398	0	4
21925	0	4
1	1	1
67241	0	4
17451	0	4
22559	0	4
45040	0	4
62876	0	4
18402	0	4
98427	0	4
15685	0	4
5	0	4
10691	0	4
75925	0	4
20	0	4
1393	0	4
12776	0	4
38173	0	4
17222	0	4
98744	0	4
78948	0	4
23597	0	4
18199	0	4
28804	0	4
5917	0	4
11392	0	4
41875	0	4
16438	0	4
20970	0	4
16333	0	4
23313	0	4
3115	0	4
12	0	4
94318	0	4
13582	0	4
21550	0	4
28	0	4
1829	0	4
11	0	4
71190	0	4
16942	0	4
35	0	4
11248	0	4
12646	0	4
21821	0	4
24579	0	4
180	0	4
14095	0	4
16448	0	4
22114	0	4
1435	0	4
35646	0	4
27049	0	4
4	0	4
14414	0	4
17936	0	4
26745	0	4
50622	0	4
17115	0	4
31515	0	4
396	0	4
38954	0	4
60067	0	4
10424	0	4
512	0	4
52445	0	4
7718	0	4
144	0	4
1	1	1
1	1	1
17478	0	4
26910	0	4
25414	0	4
4	0	4
85715	0	4
43147	0	4
78702	0	4
6700	0	4
4881	0	4
16086	0	4
27363	0	4
16246	0	4
2	0	2
37739	0	4
18341	0	4
94	0	4
297	0	4
23262	0	4
11	0	4
9752	0	4
19010	0	4
332	0	4
32073	0	4
8317	0	4
36240	0	4
36	0	4
89184	0	4
22684	0	4
89916	0	4
17359	0	4
34144	0	4
61457	0	4
12511	0	4
97153	0	4
11419	0	4
95541	0	4
30518	0	4
17020	0	4
14925	0	4
1783	0	4
17969	0	4
25570	0	4
13494	0	4
5320	0	4
17174	0	4
2185	0	4
108	0	4
15027	0	4
9112	0	4
15048	0	4
4	0	4
22	0	4
19034	0	4
39770	0	4
4988	0	4
37648	0	4
7424	0	4
1	1	1
60813	0	4
36940	0	4
15828	0	4
9244	0	4
56756	0	4
37498	0	4
18661	0	4
23478	0	4
1038	0	4
1613	0	4
21286	0	4
71365	0	4
98	0	4
19993	0	4
73867	0	4
20	0	4
4	0	4
21452	0	4
22588	0	4
9123	0	4
40631	0	4
81193	0	4
7978	0	4
19507	0	4
16929	0	4
95750	0	4
2	0	2
41746	0	4
77464	0	4
17552	0	4
100647	0	4
13025	0	4
16002	0	4
3553	0	4
20574	0	4
18313	0	4
748	0	4
23899	0	4
12243	0	4
18624	0	4
16	0	4
16049	0	4
1912	0	4
664	0	4
17207	0	4
715	0	4
15502	0	4
2	0	2
29	0	4
1	1	1
12688	0	4
39604	0	4
31043	0	4
124	0	4
15565	0	4
30401	0	4
90990	0	4
15238	0	4
179	0	4
160	0	4
2	0	2
53736	0	4
614	0	4
5955	0	4
6588	0	4
2824	0	4
86994	0	4
17837	0	4
1656	0	4
49251	0	4
9905	0	4
7234	0	4
90025	0	4
2881	0	4
2	0	2
49356	0	4
12957	0	4
3	0	3
13412	0	4
76529	0	4
7126	0	4
74524	0	4
22	0	4
39456	0	4
14347	0	4
76173	0	4
9719	0	4
38207	0	4
49106	0	4
9754	0	4
7307	0	4
7565	0	4
17138	0	4
4	0	4
1618	0	4
13479	0	4
30332	0	4
14033	0	4
2	0	2
18190	0	4
25499	0	4
20768	0	4
99485	0	4
16189	0	4
120	0	4
84979	0	4
17465	0	4
4022	0	4
85098	0	4
2128	0	4
7860	0	4
15721	0	4
15932	0	4
14565	0	4
16943	0	4
67003	0	4
97	0	4
10327	0	4
26207	0	4
40132	0	4
70587	0	4
1422	0	4
14923	0	4
17707	0	4
40446	0	4
16762	0	4
113	0	4
610	0	4
14575	0	4
17589	0	4
6045	0	4
34706	0	4
16633	0	4
14949	0	4
8881	0	4
8760	0	4
37	0	4
1453	0	4
17564	0	4
15236	0	4
13016	0	4
5483	0	4
8927	0	4
262	0	4
11895	0	4
14931	0	4
17205	0	4
14709	0	4
36349	0	4
15833	0	4
42715	0	4
21830	0	4
71173	0	4
14	0	4
23046	0	4
26459	0	4
19316	0	4
14742	0	4
21112	0	4
15615	0	4
15477	0	4
2775	0	4
101352	0	4
15654	0	4
1	1	1
6585	0	4
53018	0	4
88090	0	4
44	0	4
9583	0	4
16873	0	4
1435	0	4
18924	0	4
74808	0	4
79233	0	4
8192	0	4
5272	0	4
11418	0	4
968	0	4
68012	0	4
1	1	1
29183	0	4
23952	0	4
16548	0	4
51896	0	4
32257	0	4
46879	0	4
37748	0	4
821	0	4
26373	0	4
39571	0	4
9893	0	4
9784	0	4
956	0	4
20180	0	4
97216	0	4
18420	0	4
24323	0	4
3	0	3
20446	0	4
41752	0	4
4309	0	4
67	0	4
770	0	4
63453	0	4
30046	0	4
14789	0	4
80391	0	4
11955	0	4
35749	0	4
98640	0	4
17682	0	4
55708	0	4
72817	0	4
8965	0	4
10293	0	4
2398	0	4
28002	0	4
