Result	Accuracy	Rank
4	0	4
8042	0	4
79694	0	4
37822	0	4
6106	0	4
20280	0	4
10077	0	4
63247	0	4
59083	0	4
4	0	4
37939	0	4
73169	0	4
78941	0	4
17017	0	4
19765	0	4
33066	0	4
56723	0	4
75572	0	4
78872	0	4
65959	0	4
11264	0	4
42819	0	4
4370	0	4
8663	0	4
8612	0	4
238	0	4
11521	0	4
5836	0	4
1008	0	4
4556	0	4
256	0	4
846	0	4
10143	0	4
4418	0	4
20785	0	4
63588	0	4
30721	0	4
72	0	4
56507	0	4
187	0	4
22840	0	4
1	1	1
7263	0	4
101	0	4
6962	0	4
1386	0	4
74	0	4
42902	0	4
68109	0	4
18386	0	4
9027	0	4
61862	0	4
26073	0	4
7697	0	4
8879	0	4
9637	0	4
34723	0	4
13077	0	4
6533	0	4
11849	0	4
2263	0	4
10252	0	4
4680	0	4
29407	0	4
11469	0	4
5882	0	4
56352	0	4
7564	0	4
1	1	1
101413	0	4
2405	0	4
57007	0	4
77412	0	4
9393	0	4
10773	0	4
19998	0	4
10813	0	4
8254	0	4
42760	0	4
115	0	4
2	0	2
13493	0	4
14853	0	4
33558	0	4
1523	0	4
4	0	4
14	0	4
350	0	4
191	0	4
18	0	4
32021	0	4
2185	0	4
446	0	4
516	0	4
66690	0	4
3242	0	4
7476	0	4
1310	0	4
56	0	4
25813	0	4
8300	0	4
73323	0	4
76627	0	4
56744	0	4
63	0	4
8289	0	4
3763	0	4
11947	0	4
50931	0	4
69472	0	4
7196	0	4
330	0	4
32598	0	4
63180	0	4
67899	0	4
27628	0	4
42811	0	4
4717	0	4
35244	0	4
17165	0	4
6450	0	4
39	0	4
69268	0	4
9143	0	4
27	0	4
3663	0	4
10238	0	4
5733	0	4
191	0	4
2397	0	4
20786	0	4
3291	0	4
36078	0	4
13178	0	4
43404	0	4
25	0	4
143	0	4
10223	0	4
6	0	4
28571	0	4
26	0	4
31512	0	4
11536	0	4
8000	0	4
51704	0	4
67	0	4
41455	0	4
22827	0	4
10870	0	4
20691	0	4
238	0	4
27300	0	4
82279	0	4
4821	0	4
14289	0	4
1798	0	4
10	0	4
4	0	4
10952	0	4
331	0	4
2	0	2
319	0	4
10625	0	4
25537	0	4
16963	0	4
1	1	1
58656	0	4
11785	0	4
29468	0	4
