Result	Accuracy	Rank
3	0	3
18708	0	4
20973	0	4
89267	0	4
62009	0	4
61786	0	4
1	1	1
9332	0	4
20973	0	4
84088	0	4
6806	0	4
94644	0	4
15691	0	4
46	0	4
15790	0	4
6020	0	4
20520	0	4
45	0	4
35944	0	4
44685	0	4
36385	0	4
41276	0	4
469	0	4
87868	0	4
17800	0	4
64259	0	4
1122	0	4
6	0	4
6843	0	4
89303	0	4
58111	0	4
70802	0	4
376	0	4
3005	0	4
58973	0	4
14580	0	4
1192	0	4
18643	0	4
40045	0	4
473	0	4
2979	0	4
453	0	4
45450	0	4
57396	0	4
57304	0	4
94320	0	4
2031	0	4
1158	0	4
70648	0	4
8573	0	4
63872	0	4
61932	0	4
71299	0	4
1786	0	4
101	0	4
55925	0	4
79353	0	4
27384	0	4
99369	0	4
37162	0	4
86790	0	4
2070	0	4
17	0	4
15374	0	4
20805	0	4
25321	0	4
14525	0	4
218	0	4
10	0	4
90839	0	4
59615	0	4
6652	0	4
66657	0	4
24647	0	4
2854	0	4
22086	0	4
22544	0	4
23741	0	4
843	0	4
12	0	4
176	0	4
98703	0	4
449	0	4
20834	0	4
9226	0	4
34102	0	4
396	0	4
15843	0	4
11547	0	4
3798	0	4
95892	0	4
41776	0	4
28470	0	4
7623	0	4
33103	0	4
49826	0	4
23369	0	4
2769	0	4
4884	0	4
92385	0	4
183	0	4
7381	0	4
68549	0	4
91006	0	4
1321	0	4
78021	0	4
46764	0	4
3	0	3
51761	0	4
16740	0	4
78717	0	4
40361	0	4
16284	0	4
65268	0	4
26134	0	4
28005	0	4
39613	0	4
51531	0	4
35767	0	4
36687	0	4
3455	0	4
1517	0	4
48663	0	4
55018	0	4
4	0	4
89473	0	4
63253	0	4
15841	0	4
82	0	4
40	0	4
35479	0	4
81578	0	4
27296	0	4
9575	0	4
43446	0	4
13542	0	4
22785	0	4
33143	0	4
10623	0	4
41911	0	4
58903	0	4
14940	0	4
140	0	4
3248	0	4
80656	0	4
26595	0	4
53546	0	4
11892	0	4
95006	0	4
100527	0	4
35	0	4
1889	0	4
85567	0	4
3250	0	4
72278	0	4
46602	0	4
1	1	1
64979	0	4
51753	0	4
91	0	4
3	0	3
61	0	4
12145	0	4
314	0	4
1233	0	4
551	0	4
80968	0	4
62560	0	4
11625	0	4
61910	0	4
58411	0	4
12243	0	4
71329	0	4
93996	0	4
710	0	4
25605	0	4
88056	0	4
81466	0	4
36500	0	4
78685	0	4
50834	0	4
5936	0	4
549	0	4
65368	0	4
70139	0	4
56400	0	4
12602	0	4
12257	0	4
9	0	4
