Result	Accuracy	Rank
2	0	2
96699	0	4
97373	0	4
34050	0	4
96513	0	4
97040	0	4
83307	0	4
100179	0	4
1213	0	4
15	0	4
96518	0	4
83939	0	4
95224	0	4
96355	0	4
97104	0	4
97722	0	4
98001	0	4
592	0	4
14712	0	4
96727	0	4
98963	0	4
99350	0	4
11059	0	4
64431	0	4
100189	0	4
99507	0	4
12552	0	4
80215	0	4
21562	0	4
917	0	4
99396	0	4
90808	0	4
48968	0	4
99129	0	4
99216	0	4
666	0	4
95465	0	4
94072	0	4
25510	0	4
21076	0	4
94311	0	4
99809	0	4
94129	0	4
1280	0	4
704	0	4
98375	0	4
100828	0	4
14049	0	4
3023	0	4
100901	0	4
97549	0	4
30152	0	4
94839	0	4
64125	0	4
93424	0	4
97713	0	4
33751	0	4
1075	0	4
3210	0	4
2138	0	4
2589	0	4
49	0	4
69500	0	4
15605	0	4
42822	0	4
132	0	4
21126	0	4
152	0	4
1009	0	4
97287	0	4
96278	0	4
81765	0	4
30041	0	4
2588	0	4
93239	0	4
17038	0	4
98895	0	4
98812	0	4
98142	0	4
78416	0	4
25877	0	4
2391	0	4
29222	0	4
13404	0	4
85853	0	4
725	0	4
68752	0	4
30520	0	4
99894	0	4
96832	0	4
58377	0	4
17390	0	4
8545	0	4
100905	0	4
96199	0	4
50700	0	4
94854	0	4
96027	0	4
97898	0	4
6082	0	4
96310	0	4
76	0	4
99201	0	4
93156	0	4
1	1	1
96221	0	4
2809	0	4
96654	0	4
2271	0	4
147	0	4
97678	0	4
2040	0	4
1775	0	4
96259	0	4
1577	0	4
96169	0	4
89314	0	4
96318	0	4
88756	0	4
2661	0	4
97895	0	4
73619	0	4
97755	0	4
94319	0	4
5072	0	4
1023	0	4
1209	0	4
3240	0	4
88353	0	4
94525	0	4
86538	0	4
91996	0	4
28054	0	4
87873	0	4
95408	0	4
60011	0	4
76774	0	4
65160	0	4
38046	0	4
2130	0	4
1435	0	4
18643	0	4
2640	0	4
96392	0	4
94451	0	4
101128	0	4
16666	0	4
95815	0	4
98978	0	4
7229	0	4
84939	0	4
96729	0	4
21929	0	4
1690	0	4
99322	0	4
82360	0	4
33027	0	4
1260	0	4
78171	0	4
94440	0	4
97159	0	4
98674	0	4
240	0	4
95959	0	4
96532	0	4
170	0	4
67409	0	4
52250	0	4
370	0	4
98361	0	4
96453	0	4
50725	0	4
36537	0	4
95179	0	4
7220	0	4
33530	0	4
95076	0	4
96475	0	4
98602	0	4
83404	0	4
82576	0	4
31	0	4
4147	0	4
99529	0	4
99710	0	4
94344	0	4
98524	0	4
33227	0	4
39932	0	4
101091	0	4
72023	0	4
100439	0	4
31565	0	4
95858	0	4
93119	0	4
97700	0	4
92245	0	4
36713	0	4
11949	0	4
3586	0	4
52	0	4
100422	0	4
52526	0	4
98559	0	4
570	0	4
93114	0	4
83859	0	4
96635	0	4
100290	0	4
5036	0	4
31367	0	4
98030	0	4
2744	0	4
98378	0	4
30909	0	4
97621	0	4
153	0	4
465	0	4
97296	0	4
90312	0	4
97599	0	4
100605	0	4
43939	0	4
76996	0	4
95298	0	4
97028	0	4
100057	0	4
191	0	4
95395	0	4
36009	0	4
31990	0	4
91419	0	4
101388	0	4
2	0	2
21845	0	4
95534	0	4
86010	0	4
96383	0	4
96632	0	4
59227	0	4
2560	0	4
23012	0	4
89646	0	4
100391	0	4
27964	0	4
22486	0	4
100107	0	4
98567	0	4
18498	0	4
13063	0	4
43378	0	4
2	0	2
92707	0	4
97485	0	4
15	0	4
341	0	4
1322	0	4
98292	0	4
2420	0	4
99283	0	4
5382	0	4
15950	0	4
2427	0	4
3351	0	4
97829	0	4
86410	0	4
98666	0	4
68899	0	4
98999	0	4
98600	0	4
82	0	4
94384	0	4
1379	0	4
96355	0	4
9661	0	4
97021	0	4
86159	0	4
29147	0	4
31961	0	4
2086	0	4
97583	0	4
3072	0	4
99549	0	4
35521	0	4
967	0	4
98749	0	4
23844	0	4
96047	0	4
31964	0	4
95650	0	4
13980	0	4
97667	0	4
98242	0	4
1941	0	4
3845	0	4
93493	0	4
409	0	4
264	0	4
98700	0	4
