Result	Accuracy	Rank
4	0	4
711	0	4
66772	0	4
93300	0	4
38306	0	4
90557	0	4
1	1	1
2991	0	4
8034	0	4
15427	0	4
37323	0	4
6025	0	4
48517	0	4
1978	0	4
37551	0	4
6303	0	4
2773	0	4
466	0	4
9302	0	4
77996	0	4
35043	0	4
41579	0	4
1883	0	4
16130	0	4
2009	0	4
64650	0	4
126	0	4
24	0	4
388	0	4
83847	0	4
84079	0	4
39746	0	4
76	0	4
1295	0	4
9624	0	4
37	0	4
23472	0	4
3334	0	4
11844	0	4
11	0	4
56577	0	4
2	0	2
83217	0	4
10766	0	4
45761	0	4
97010	0	4
23	0	4
15	0	4
32	0	4
40578	0	4
97244	0	4
2871	0	4
53758	0	4
1133	0	4
13999	0	4
27351	0	4
23214	0	4
53795	0	4
66	0	4
23320	0	4
81756	0	4
750	0	4
3	0	3
21641	0	4
11254	0	4
61484	0	4
2160	0	4
16	0	4
30	0	4
97735	0	4
38396	0	4
35	0	4
2282	0	4
86283	0	4
1596	0	4
16487	0	4
427	0	4
364	0	4
2057	0	4
16	0	4
10	0	4
101077	0	4
3263	0	4
7697	0	4
31909	0	4
18	0	4
14	0	4
271	0	4
53822	0	4
2714	0	4
93473	0	4
14678	0	4
2487	0	4
929	0	4
84569	0	4
18	0	4
6405	0	4
7476	0	4
14	0	4
87746	0	4
163	0	4
4	0	4
58964	0	4
51720	0	4
13	0	4
93585	0	4
73887	0	4
2	0	2
53694	0	4
10416	0	4
93020	0	4
49647	0	4
22951	0	4
22127	0	4
11829	0	4
37966	0	4
5310	0	4
28709	0	4
59556	0	4
94381	0	4
81	0	4
2	0	2
114	0	4
76968	0	4
15	0	4
72629	0	4
83102	0	4
480	0	4
11	0	4
626	0	4
17181	0	4
83250	0	4
20755	0	4
55026	0	4
84883	0	4
184	0	4
104	0	4
7575	0	4
2094	0	4
11328	0	4
16628	0	4
8	0	4
5	0	4
3084	0	4
82820	0	4
1	1	1
37147	0	4
818	0	4
75506	0	4
72896	0	4
1	1	1
3337	0	4
11813	0	4
50	0	4
52790	0	4
1029	0	4
1	1	1
70	0	4
48544	0	4
5582	0	4
1	1	1
151	0	4
487	0	4
1001	0	4
1996	0	4
14	0	4
4936	0	4
45	0	4
308	0	4
75192	0	4
21787	0	4
2524	0	4
41087	0	4
94791	0	4
410	0	4
7609	0	4
79881	0	4
24121	0	4
2470	0	4
34950	0	4
78577	0	4
1692	0	4
45	0	4
76564	0	4
75858	0	4
44265	0	4
4428	0	4
6478	0	4
3	0	3
27796	0	4
3039	0	4
6882	0	4
9	0	4
83569	0	4
3003	0	4
6	0	4
12154	0	4
217	0	4
260	0	4
2161	0	4
57985	0	4
15122	0	4
128	0	4
1049	0	4
77	0	4
208	0	4
72885	0	4
16474	0	4
840	0	4
725	0	4
7	0	4
14	0	4
15	0	4
7112	0	4
62533	0	4
1307	0	4
24	0	4
84381	0	4
89948	0	4
31111	0	4
2212	0	4
78133	0	4
247	0	4
35719	0	4
25495	0	4
277	0	4
7021	0	4
9595	0	4
8033	0	4
11	0	4
15	0	4
6	0	4
2	0	2
11	0	4
67	0	4
183	0	4
72	0	4
46207	0	4
70006	0	4
1127	0	4
93	0	4
3	0	3
38255	0	4
5	0	4
3934	0	4
11	0	4
53090	0	4
61380	0	4
61	0	4
22401	0	4
8514	0	4
12	0	4
7147	0	4
1167	0	4
2145	0	4
585	0	4
100413	0	4
31070	0	4
4515	0	4
56480	0	4
2	0	2
92557	0	4
2797	0	4
100344	0	4
634	0	4
60312	0	4
94863	0	4
101	0	4
72068	0	4
72858	0	4
197	0	4
2077	0	4
71304	0	4
36287	0	4
98966	0	4
89619	0	4
14769	0	4
4	0	4
52903	0	4
88	0	4
48834	0	4
6884	0	4
14003	0	4
34	0	4
20	0	4
15811	0	4
7513	0	4
651	0	4
2336	0	4
8275	0	4
2	0	2
727	0	4
9625	0	4
348	0	4
145	0	4
85401	0	4
294	0	4
5556	0	4
1370	0	4
649	0	4
63918	0	4
23	0	4
6	0	4
1	1	1
65211	0	4
67803	0	4
3206	0	4
8816	0	4
94492	0	4
3539	0	4
55607	0	4
18767	0	4
34913	0	4
18	0	4
45704	0	4
19099	0	4
65403	0	4
149	0	4
89189	0	4
347	0	4
29	0	4
70902	0	4
3242	0	4
8250	0	4
15319	0	4
66106	0	4
