Result	Accuracy	Rank
2	0	2
86116	0	4
84264	0	4
85373	0	4
57172	0	4
62044	0	4
663	0	4
100591	0	4
971	0	4
91	0	4
71143	0	4
15579	0	4
98094	0	4
100387	0	4
85430	0	4
26964	0	4
14475	0	4
5002	0	4
5140	0	4
89898	0	4
26161	0	4
52754	0	4
10624	0	4
75292	0	4
61399	0	4
96606	0	4
24117	0	4
1638	0	4
5038	0	4
7643	0	4
55869	0	4
77113	0	4
2346	0	4
6436	0	4
69579	0	4
1832	0	4
4925	0	4
6858	0	4
4591	0	4
2261	0	4
84774	0	4
11503	0	4
88269	0	4
442	0	4
5778	0	4
99976	0	4
63091	0	4
2442	0	4
20054	0	4
100978	0	4
76920	0	4
40169	0	4
57307	0	4
34469	0	4
31971	0	4
61857	0	4
63494	0	4
2000	0	4
7	0	4
413	0	4
22970	0	4
24	0	4
2089	0	4
5047	0	4
4832	0	4
1715	0	4
11448	0	4
20	0	4
3	0	3
100984	0	4
78321	0	4
335	0	4
1013	0	4
9336	0	4
173	0	4
60682	0	4
37313	0	4
29	0	4
88503	0	4
50	0	4
16986	0	4
99458	0	4
3780	0	4
455	0	4
91483	0	4
12	0	4
3494	0	4
2004	0	4
18323	0	4
60700	0	4
28512	0	4
5137	0	4
4857	0	4
80394	0	4
98915	0	4
18581	0	4
59607	0	4
73061	0	4
37043	0	4
100160	0	4
58645	0	4
899	0	4
49115	0	4
74294	0	4
13	0	4
81112	0	4
98420	0	4
63	0	4
51163	0	4
2656	0	4
79509	0	4
3196	0	4
60583	0	4
66008	0	4
1169	0	4
74734	0	4
22205	0	4
25970	0	4
27543	0	4
76022	0	4
62638	0	4
76	0	4
33802	0	4
16103	0	4
29814	0	4
416	0	4
68106	0	4
154	0	4
146	0	4
242	0	4
3742	0	4
94724	0	4
17856	0	4
78751	0	4
80556	0	4
20893	0	4
9537	0	4
27934	0	4
46414	0	4
15564	0	4
31520	0	4
66	0	4
1892	0	4
704	0	4
4829	0	4
59568	0	4
9211	0	4
35946	0	4
57624	0	4
13414	0	4
360	0	4
6375	0	4
40762	0	4
59158	0	4
28051	0	4
29750	0	4
13	0	4
79	0	4
73224	0	4
81962	0	4
510	0	4
76967	0	4
1864	0	4
5198	0	4
4347	0	4
1	1	1
73466	0	4
61160	0	4
1199	0	4
90907	0	4
30141	0	4
45890	0	4
62360	0	4
99153	0	4
1074	0	4
43584	0	4
15211	0	4
33267	0	4
9071	0	4
90083	0	4
68353	0	4
6597	0	4
9732	0	4
76611	0	4
72946	0	4
38454	0	4
97507	0	4
21964	0	4
13623	0	4
98874	0	4
9258	0	4
58903	0	4
1104	0	4
87770	0	4
13973	0	4
16157	0	4
53422	0	4
18678	0	4
8752	0	4
91710	0	4
1883	0	4
624	0	4
11930	0	4
76878	0	4
17	0	4
83261	0	4
24679	0	4
35213	0	4
92274	0	4
38080	0	4
231	0	4
1322	0	4
162	0	4
3113	0	4
26776	0	4
29631	0	4
6	0	4
18273	0	4
100946	0	4
49762	0	4
39081	0	4
55713	0	4
4570	0	4
41973	0	4
23516	0	4
61224	0	4
17282	0	4
4070	0	4
7449	0	4
4788	0	4
7858	0	4
18	0	4
17	0	4
2	0	2
2	0	2
125	0	4
76417	0	4
87827	0	4
27933	0	4
5358	0	4
21414	0	4
6563	0	4
69049	0	4
99340	0	4
56692	0	4
140	0	4
74139	0	4
101465	0	4
184	0	4
13294	0	4
250	0	4
169	0	4
90166	0	4
54982	0	4
209	0	4
2071	0	4
10156	0	4
39746	0	4
3238	0	4
47611	0	4
91262	0	4
7946	0	4
28238	0	4
70385	0	4
75327	0	4
71389	0	4
82717	0	4
9167	0	4
57355	0	4
19819	0	4
14	0	4
72777	0	4
25701	0	4
68364	0	4
56211	0	4
69505	0	4
692	0	4
588	0	4
75159	0	4
355	0	4
50228	0	4
1497	0	4
75604	0	4
1826	0	4
110	0	4
99692	0	4
13923	0	4
67283	0	4
47130	0	4
81019	0	4
5471	0	4
78260	0	4
10765	0	4
28583	0	4
51969	0	4
48065	0	4
11295	0	4
652	0	4
38178	0	4
96880	0	4
18944	0	4
43678	0	4
37	0	4
34	0	4
42837	0	4
100065	0	4
49383	0	4
42249	0	4
50203	0	4
2258	0	4
55807	0	4
23502	0	4
4935	0	4
46760	0	4
81848	0	4
23331	0	4
48391	0	4
265	0	4
389	0	4
4927	0	4
11152	0	4
84382	0	4
41566	0	4
65374	0	4
28391	0	4
89091	0	4
5215	0	4
98858	0	4
85916	0	4
705	0	4
70365	0	4
58445	0	4
145	0	4
536	0	4
642	0	4
2336	0	4
33150	0	4
77176	0	4
71081	0	4
46	0	4
53	0	4
7766	0	4
93940	0	4
101463	0	4
9918	0	4
1008	0	4
855	0	4
98528	0	4
55917	0	4
16414	0	4
333	0	4
673	0	4
1607	0	4
583	0	4
14820	0	4
37	0	4
5046	0	4
14339	0	4
37387	0	4
3	0	3
91689	0	4
75	0	4
9358	0	4
31248	0	4
67393	0	4
51	0	4
65085	0	4
7496	0	4
10	0	4
69695	0	4
94822	0	4
659	0	4
70090	0	4
11	0	4
56771	0	4
