Result	Accuracy	Rank
8	0	4
124	0	4
36585	0	4
88535	0	4
52456	0	4
90287	0	4
45831	0	4
1142	0	4
5785	0	4
23	0	4
77114	0	4
171	0	4
77066	0	4
2	0	2
235	0	4
3448	0	4
230	0	4
8	0	4
22823	0	4
72215	0	4
737	0	4
9095	0	4
1649	0	4
244	0	4
6	0	4
184	0	4
7	0	4
17	0	4
71	0	4
5073	0	4
243	0	4
432	0	4
134	0	4
18335	0	4
17997	0	4
2108	0	4
8828	0	4
15799	0	4
2801	0	4
3	0	3
2592	0	4
9	0	4
28340	0	4
25228	0	4
132	0	4
65949	0	4
7	0	4
174	0	4
652	0	4
1106	0	4
48886	0	4
1895	0	4
26850	0	4
14	0	4
183	0	4
2032	0	4
79634	0	4
200	0	4
315	0	4
679	0	4
10974	0	4
577	0	4
8	0	4
1731	0	4
736	0	4
158	0	4
7752	0	4
37	0	4
1	1	1
62015	0	4
667	0	4
17	0	4
81	0	4
6816	0	4
23	0	4
56	0	4
41	0	4
94	0	4
6027	0	4
8	0	4
5	0	4
96027	0	4
16013	0	4
799	0	4
358	0	4
15	0	4
4	0	4
470	0	4
16	0	4
87	0	4
634	0	4
106	0	4
38	0	4
74	0	4
56126	0	4
1460	0	4
17186	0	4
14376	0	4
1	1	1
101030	0	4
25	0	4
14	0	4
9897	0	4
2415	0	4
5	0	4
17	0	4
10452	0	4
3	0	3
20	0	4
4	0	4
233	0	4
3010	0	4
4277	0	4
157	0	4
333	0	4
11906	0	4
33371	0	4
1584	0	4
13211	0	4
4655	0	4
6360	0	4
2	0	2
3	0	3
33570	0	4
9	0	4
695	0	4
15684	0	4
103	0	4
11	0	4
24	0	4
23459	0	4
37701	0	4
2196	0	4
111	0	4
63836	0	4
5	0	4
268	0	4
35140	0	4
62718	0	4
20	0	4
53	0	4
16	0	4
7	0	4
6031	0	4
7736	0	4
82	0	4
32503	0	4
261	0	4
58629	0	4
54677	0	4
6	0	4
7547	0	4
3300	0	4
4973	0	4
12111	0	4
1004	0	4
1	1	1
3	0	3
20506	0	4
5	0	4
4	0	4
100	0	4
15	0	4
116	0	4
40	0	4
2	0	2
6	0	4
67	0	4
11854	0	4
30625	0	4
19262	0	4
166	0	4
48313	0	4
37045	0	4
72	0	4
22885	0	4
75673	0	4
4613	0	4
40	0	4
52343	0	4
42812	0	4
4774	0	4
488	0	4
52268	0	4
72460	0	4
67301	0	4
9381	0	4
22696	0	4
202	0	4
11870	0	4
4804	0	4
32836	0	4
17678	0	4
8	0	4
2058	0	4
2	0	2
2062	0	4
45	0	4
10058	0	4
49	0	4
1484	0	4
71	0	4
41167	0	4
37058	0	4
3	0	3
63	0	4
3106	0	4
64116	0	4
119	0	4
557	0	4
4	0	4
9768	0	4
9	0	4
314	0	4
94700	0	4
208	0	4
9	0	4
82549	0	4
91172	0	4
52	0	4
16587	0	4
29916	0	4
5	0	4
303	0	4
7588	0	4
8	0	4
20891	0	4
439	0	4
35402	0	4
22	0	4
52	0	4
6	0	4
4	0	4
12	0	4
2	0	2
2806	0	4
5	0	4
39990	0	4
6163	0	4
428	0	4
6141	0	4
544	0	4
65100	0	4
19	0	4
31904	0	4
2	0	2
1092	0	4
68605	0	4
10	0	4
164	0	4
99	0	4
11	0	4
76821	0	4
196	0	4
120	0	4
39	0	4
65712	0	4
69094	0	4
80	0	4
82842	0	4
209	0	4
92207	0	4
2217	0	4
4021	0	4
24835	0	4
60573	0	4
19838	0	4
20	0	4
22063	0	4
32515	0	4
82	0	4
74	0	4
612	0	4
1089	0	4
3379	0	4
7020	0	4
1781	0	4
1011	0	4
11877	0	4
14	0	4
16453	0	4
52	0	4
18215	0	4
19	0	4
8	0	4
13442	0	4
4831	0	4
1090	0	4
5799	0	4
33	0	4
8	0	4
9	0	4
580	0	4
5250	0	4
125	0	4
38157	0	4
919	0	4
669	0	4
10770	0	4
100	0	4
118	0	4
105	0	4
2	0	2
35	0	4
4719	0	4
16948	0	4
7	0	4
11	0	4
84581	0	4
34767	0	4
11570	0	4
549	0	4
59110	0	4
11	0	4
5769	0	4
946	0	4
101606	0	4
32	0	4
46289	0	4
3087	0	4
3034	0	4
73925	0	4
1194	0	4
24162	0	4
5849	0	4
2266	0	4
17700	0	4
5390	0	4
35044	0	4
553	0	4
90444	0	4
16	0	4
51544	0	4
4245	0	4
17659	0	4
90	0	4
196	0	4
6	0	4
4	0	4
3	0	3
9	0	4
1454	0	4
707	0	4
14762	0	4
7989	0	4
15	0	4
1393	0	4
5237	0	4
5	0	4
43315	0	4
90	0	4
1	1	1
5851	0	4
200	0	4
1395	0	4
82	0	4
267	0	4
15135	0	4
7543	0	4
92	0	4
33651	0	4
142	0	4
47600	0	4
63440	0	4
59	0	4
4	0	4
8402	0	4
50180	0	4
2	0	2
77	0	4
33398	0	4
16135	0	4
21947	0	4
6	0	4
65476	0	4
44063	0	4
48	0	4
14	0	4
25401	0	4
5370	0	4
3844	0	4
38766	0	4
360	0	4
86	0	4
76	0	4
154	0	4
143	0	4
36	0	4
1026	0	4
7	0	4
25018	0	4
3778	0	4
242	0	4
381	0	4
71	0	4
1	1	1
31697	0	4
9478	0	4
132	0	4
7	0	4
1302	0	4
1364	0	4
13	0	4
42	0	4
200	0	4
30259	0	4
45591	0	4
50	0	4
5	0	4
9905	0	4
523	0	4
16599	0	4
153	0	4
5699	0	4
1420	0	4
2934	0	4
36870	0	4
24603	0	4
7707	0	4
102	0	4
183	0	4
17	0	4
232	0	4
55	0	4
536	0	4
27370	0	4
42888	0	4
5	0	4
1168	0	4
60	0	4
100538	0	4
6509	0	4
16116	0	4
75065	0	4
434	0	4
8368	0	4
49935	0	4
79981	0	4
12832	0	4
2043	0	4
27	0	4
10141	0	4
84329	0	4
795	0	4
2	0	2
282	0	4
133	0	4
95	0	4
91977	0	4
28	0	4
94	0	4
12287	0	4
21543	0	4
24136	0	4
333	0	4
74	0	4
29	0	4
54759	0	4
27151	0	4
1152	0	4
17240	0	4
56242	0	4
19	0	4
3878	0	4
65330	0	4
834	0	4
743	0	4
4328	0	4
864	0	4
1770	0	4
22976	0	4
546	0	4
6136	0	4
97	0	4
17869	0	4
46217	0	4
83209	0	4
8278	0	4
19353	0	4
2402	0	4
59	0	4
149	0	4
526	0	4
80349	0	4
7	0	4
1537	0	4
2542	0	4
45	0	4
30	0	4
12	0	4
168	0	4
9292	0	4
746	0	4
134	0	4
20	0	4
13649	0	4
9	0	4
1183	0	4
69264	0	4
10913	0	4
40647	0	4
6389	0	4
42667	0	4
4	0	4
58994	0	4
15	0	4
273	0	4
24	0	4
35	0	4
1	1	1
42869	0	4
5607	0	4
46	0	4
2290	0	4
5441	0	4
41	0	4
75	0	4
4511	0	4
57546	0	4
3	0	3
41977	0	4
63336	0	4
36796	0	4
8	0	4
9	0	4
4811	0	4
22604	0	4
28	0	4
5795	0	4
2977	0	4
11308	0	4
3283	0	4
15952	0	4
57520	0	4
79544	0	4
604	0	4
7	0	4
76458	0	4
1	1	1
11	0	4
21172	0	4
17004	0	4
9921	0	4
22	0	4
49	0	4
1924	0	4
16	0	4
1166	0	4
21	0	4
6386	0	4
14	0	4
40	0	4
18594	0	4
76450	0	4
829	0	4
305	0	4
63347	0	4
7403	0	4
2229	0	4
12316	0	4
1639	0	4
24128	0	4
14	0	4
22413	0	4
52	0	4
1401	0	4
53291	0	4
28	0	4
200	0	4
29425	0	4
5	0	4
19616	0	4
8	0	4
9	0	4
13585	0	4
1626	0	4
22554	0	4
17376	0	4
4	0	4
46134	0	4
21	0	4
33	0	4
2	0	2
2	0	2
29344	0	4
3135	0	4
45161	0	4
26719	0	4
4170	0	4
2	0	2
4	0	4
6509	0	4
3102	0	4
183	0	4
6315	0	4
197	0	4
444	0	4
103	0	4
62917	0	4
58454	0	4
18	0	4
6	0	4
11773	0	4
8780	0	4
58049	0	4
95219	0	4
212	0	4
23270	0	4
74531	0	4
5	0	4
13377	0	4
13714	0	4
93051	0	4
52151	0	4
1137	0	4
1787	0	4
53359	0	4
3156	0	4
4	0	4
297	0	4
6862	0	4
8	0	4
4	0	4
1	1	1
20	0	4
23879	0	4
1240	0	4
3933	0	4
265	0	4
15207	0	4
13551	0	4
75016	0	4
2333	0	4
57161	0	4
7	0	4
2948	0	4
1012	0	4
10	0	4
24502	0	4
4911	0	4
7350	0	4
162	0	4
48464	0	4
55	0	4
5842	0	4
80692	0	4
3592	0	4
4176	0	4
15433	0	4
1482	0	4
13	0	4
14340	0	4
489	0	4
14483	0	4
4842	0	4
60777	0	4
415	0	4
2342	0	4
72433	0	4
888	0	4
59839	0	4
506	0	4
741	0	4
61	0	4
466	0	4
20	0	4
8	0	4
17004	0	4
10546	0	4
15122	0	4
8	0	4
26165	0	4
3593	0	4
15006	0	4
77	0	4
279	0	4
3	0	3
7605	0	4
1106	0	4
5970	0	4
2	0	2
77	0	4
79	0	4
2	0	2
16941	0	4
28597	0	4
3	0	3
128	0	4
109	0	4
266	0	4
19614	0	4
18	0	4
54	0	4
25673	0	4
16	0	4
24564	0	4
12232	0	4
1145	0	4
45617	0	4
13244	0	4
59	0	4
35776	0	4
978	0	4
108	0	4
192	0	4
1953	0	4
3926	0	4
28359	0	4
18894	0	4
2	0	2
1	1	1
2	0	2
6375	0	4
39427	0	4
3	0	3
28709	0	4
7107	0	4
70371	0	4
16520	0	4
492	0	4
7468	0	4
6	0	4
18	0	4
49305	0	4
12758	0	4
61	0	4
14377	0	4
60437	0	4
29517	0	4
47098	0	4
20	0	4
27	0	4
4644	0	4
278	0	4
9442	0	4
16590	0	4
3	0	3
2459	0	4
3411	0	4
6213	0	4
758	0	4
3934	0	4
16	0	4
74	0	4
54567	0	4
15282	0	4
437	0	4
295	0	4
3452	0	4
2145	0	4
1440	0	4
35	0	4
833	0	4
53901	0	4
173	0	4
812	0	4
14	0	4
29	0	4
18443	0	4
1	1	1
60373	0	4
43646	0	4
22	0	4
19	0	4
53856	0	4
60295	0	4
30	0	4
51266	0	4
298	0	4
30	0	4
952	0	4
86411	0	4
86725	0	4
379	0	4
2	0	2
23	0	4
1	1	1
6997	0	4
1813	0	4
995	0	4
24	0	4
1367	0	4
25581	0	4
4	0	4
5	0	4
2	0	2
2	0	2
7445	0	4
552	0	4
13	0	4
34076	0	4
2270	0	4
18554	0	4
791	0	4
37097	0	4
1541	0	4
33	0	4
20331	0	4
40088	0	4
2057	0	4
13706	0	4
2	0	2
53010	0	4
49836	0	4
68	0	4
77699	0	4
3647	0	4
49534	0	4
6845	0	4
127	0	4
4139	0	4
1131	0	4
2	0	2
2100	0	4
417	0	4
28838	0	4
291	0	4
11165	0	4
15	0	4
32	0	4
95173	0	4
99	0	4
4312	0	4
199	0	4
932	0	4
28865	0	4
792	0	4
8467	0	4
159	0	4
706	0	4
2	0	2
16	0	4
4	0	4
39	0	4
1286	0	4
1859	0	4
58	0	4
13	0	4
26	0	4
71	0	4
4674	0	4
21031	0	4
11944	0	4
23376	0	4
26373	0	4
1425	0	4
20	0	4
4840	0	4
1915	0	4
4695	0	4
18	0	4
487	0	4
771	0	4
88	0	4
8578	0	4
436	0	4
91816	0	4
5	0	4
2	0	2
105	0	4
2905	0	4
988	0	4
17	0	4
18	0	4
19	0	4
54344	0	4
80875	0	4
4	0	4
778	0	4
46904	0	4
1095	0	4
54499	0	4
96	0	4
38903	0	4
154	0	4
18247	0	4
3518	0	4
18	0	4
15328	0	4
86	0	4
6288	0	4
1	1	1
4160	0	4
42	0	4
12	0	4
1602	0	4
27	0	4
3	0	3
1892	0	4
11972	0	4
36834	0	4
17	0	4
62706	0	4
1478	0	4
1816	0	4
61430	0	4
9751	0	4
8628	0	4
35533	0	4
68	0	4
51170	0	4
228	0	4
207	0	4
4	0	4
80857	0	4
140	0	4
967	0	4
45	0	4
220	0	4
28	0	4
424	0	4
99683	0	4
138	0	4
167	0	4
456	0	4
61	0	4
49	0	4
28	0	4
