Result	Accuracy	Rank
11	0	4
4	0	4
14262	0	4
70059	0	4
602	0	4
95792	0	4
10	0	4
408	0	4
823	0	4
119	0	4
8470	0	4
705	0	4
17161	0	4
8279	0	4
1706	0	4
288	0	4
551	0	4
1	1	1
11589	0	4
6741	0	4
18128	0	4
8987	0	4
3034	0	4
5374	0	4
3	0	3
27	0	4
94	0	4
16	0	4
42	0	4
1106	0	4
6270	0	4
424	0	4
4	0	4
9949	0	4
31234	0	4
153	0	4
312	0	4
348	0	4
8421	0	4
6	0	4
944	0	4
1	1	1
2364	0	4
37446	0	4
339	0	4
19610	0	4
22	0	4
19836	0	4
21213	0	4
8221	0	4
9257	0	4
406	0	4
4170	0	4
7	0	4
7692	0	4
145	0	4
7139	0	4
1882	0	4
833	0	4
10498	0	4
4598	0	4
299	0	4
15	0	4
321	0	4
143	0	4
286	0	4
37549	0	4
2	0	2
1	1	1
42471	0	4
3491	0	4
7162	0	4
3382	0	4
297	0	4
1867	0	4
115	0	4
9092	0	4
7642	0	4
966	0	4
33	0	4
3	0	3
76237	0	4
1102	0	4
5426	0	4
292	0	4
11051	0	4
6	0	4
41	0	4
352	0	4
5004	0	4
20808	0	4
14886	0	4
18445	0	4
27	0	4
32087	0	4
84	0	4
4779	0	4
3942	0	4
942	0	4
85737	0	4
22	0	4
62	0	4
10929	0	4
6798	0	4
1	1	1
20	0	4
894	0	4
2	0	2
2	0	2
3	0	3
227	0	4
5872	0	4
510	0	4
88	0	4
326	0	4
3813	0	4
377	0	4
672	0	4
10828	0	4
1889	0	4
174	0	4
3	0	3
3	0	3
24830	0	4
2	0	2
4202	0	4
7734	0	4
9	0	4
5	0	4
87	0	4
9495	0	4
12641	0	4
2039	0	4
9216	0	4
30854	0	4
2	0	2
1740	0	4
10134	0	4
78	0	4
3	0	3
83	0	4
3104	0	4
7282	0	4
16045	0	4
6114	0	4
1	1	1
2098	0	4
4	0	4
28377	0	4
6751	0	4
62	0	4
558	0	4
19969	0	4
8553	0	4
8	0	4
19396	0	4
1551	0	4
3	0	3
7025	0	4
2	0	2
3155	0	4
6468	0	4
7835	0	4
51	0	4
65	0	4
4	0	4
3	0	3
15	0	4
669	0	4
5224	0	4
142	0	4
5153	0	4
1908	0	4
12423	0	4
11	0	4
26268	0	4
16767	0	4
13399	0	4
9930	0	4
42619	0	4
22774	0	4
153	0	4
430	0	4
42473	0	4
58559	0	4
