Result	Accuracy	Rank
12	0	4
38	0	4
49393	0	4
30966	0	4
66903	0	4
96144	0	4
5	0	4
11	0	4
10766	0	4
10503	0	4
65888	0	4
1762	0	4
35698	0	4
2	0	2
478	0	4
1581	0	4
9	0	4
4	0	4
3007	0	4
18259	0	4
1691	0	4
24012	0	4
3148	0	4
1447	0	4
8	0	4
319	0	4
245	0	4
38	0	4
29	0	4
2198	0	4
75	0	4
111	0	4
287	0	4
296	0	4
66456	0	4
19	0	4
1422	0	4
727	0	4
5070	0	4
5	0	4
5228	0	4
4	0	4
14135	0	4
20541	0	4
16	0	4
37159	0	4
13	0	4
11693	0	4
17248	0	4
52	0	4
35793	0	4
1926	0	4
3830	0	4
4	0	4
38	0	4
25	0	4
93059	0	4
49	0	4
20	0	4
866	0	4
1156	0	4
248	0	4
9	0	4
558	0	4
186	0	4
703	0	4
4414	0	4
1	1	1
1	1	1
30949	0	4
3755	0	4
37	0	4
2296	0	4
2718	0	4
10	0	4
40	0	4
17	0	4
14	0	4
2737	0	4
4	0	4
1	1	1
59481	0	4
48976	0	4
583	0	4
8209	0	4
7	0	4
8	0	4
1548	0	4
87	0	4
101	0	4
10103	0	4
850	0	4
244	0	4
56	0	4
71309	0	4
55	0	4
369	0	4
1386	0	4
2	0	2
71204	0	4
1	1	1
3	0	3
945	0	4
18369	0	4
4	0	4
26	0	4
9195	0	4
2	0	2
125	0	4
5	0	4
329	0	4
14638	0	4
110	0	4
3209	0	4
14183	0	4
52081	0	4
39554	0	4
2085	0	4
21299	0	4
106	0	4
59858	0	4
5	0	4
4	0	4
73480	0	4
2	0	2
15686	0	4
514	0	4
76	0	4
3	0	3
185	0	4
61887	0	4
75671	0	4
17067	0	4
115	0	4
44899	0	4
3	0	3
25	0	4
35692	0	4
22691	0	4
354	0	4
148	0	4
227	0	4
1	1	1
18594	0	4
16178	0	4
3	0	3
54278	0	4
11	0	4
19716	0	4
92380	0	4
3	0	3
368	0	4
15373	0	4
161	0	4
16771	0	4
1253	0	4
1	1	1
77	0	4
83215	0	4
7	0	4
8	0	4
8	0	4
8	0	4
10	0	4
22	0	4
18	0	4
8	0	4
135	0	4
12779	0	4
33644	0	4
13358	0	4
109	0	4
80673	0	4
25909	0	4
52	0	4
19924	0	4
87343	0	4
509	0	4
11	0	4
93590	0	4
80808	0	4
83	0	4
306	0	4
44838	0	4
15921	0	4
93294	0	4
33249	0	4
2357	0	4
236	0	4
6971	0	4
8359	0	4
64816	0	4
29210	0	4
362	0	4
812	0	4
2	0	2
145	0	4
24	0	4
19786	0	4
36	0	4
168	0	4
14	0	4
61293	0	4
23530	0	4
4	0	4
5	0	4
90259	0	4
72430	0	4
688	0	4
25	0	4
8	0	4
21381	0	4
2	0	2
1116	0	4
50133	0	4
1266	0	4
494	0	4
13392	0	4
45213	0	4
334	0	4
25993	0	4
15987	0	4
2	0	2
19	0	4
33941	0	4
4	0	4
50943	0	4
218	0	4
20258	0	4
1	1	1
4	0	4
7	0	4
3	0	3
3	0	3
5	0	4
131	0	4
15	0	4
88731	0	4
1123	0	4
19651	0	4
14683	0	4
989	0	4
34375	0	4
5	0	4
6922	0	4
3	0	3
1694	0	4
84873	0	4
100	0	4
3	0	3
14	0	4
2	0	2
76146	0	4
159	0	4
7	0	4
53	0	4
4618	0	4
88344	0	4
13	0	4
84179	0	4
12	0	4
68622	0	4
384	0	4
9755	0	4
43756	0	4
7363	0	4
911	0	4
10	0	4
6409	0	4
5239	0	4
14	0	4
9	0	4
300	0	4
252	0	4
554	0	4
902	0	4
35226	0	4
6423	0	4
40214	0	4
8	0	4
10241	0	4
5194	0	4
17323	0	4
4	0	4
12	0	4
89653	0	4
2741	0	4
520	0	4
1907	0	4
193	0	4
1	1	1
5	0	4
304	0	4
104	0	4
28	0	4
54811	0	4
389	0	4
39	0	4
17119	0	4
476	0	4
15	0	4
13	0	4
5	0	4
1013	0	4
5345	0	4
82935	0	4
274	0	4
960	0	4
75906	0	4
1516	0	4
32941	0	4
1883	0	4
56833	0	4
1	1	1
1529	0	4
147	0	4
101611	0	4
16	0	4
41266	0	4
9021	0	4
7451	0	4
29607	0	4
22	0	4
12897	0	4
14718	0	4
25286	0	4
72900	0	4
1711	0	4
33401	0	4
2	0	2
61594	0	4
12	0	4
35089	0	4
54	0	4
165	0	4
116	0	4
724	0	4
3	0	3
2	0	2
1	1	1
3	0	3
3751	0	4
1729	0	4
35830	0	4
213	0	4
5	0	4
1460	0	4
112	0	4
3	0	3
48817	0	4
24	0	4
5	0	4
55213	0	4
26	0	4
439	0	4
16	0	4
1387	0	4
45620	0	4
2509	0	4
25	0	4
18145	0	4
414	0	4
53040	0	4
30068	0	4
9	0	4
3	0	3
1029	0	4
4484	0	4
1	1	1
14	0	4
72138	0	4
21011	0	4
74742	0	4
24	0	4
40775	0	4
26317	0	4
858	0	4
6	0	4
18859	0	4
5436	0	4
14431	0	4
51401	0	4
175	0	4
651	0	4
272	0	4
51	0	4
55	0	4
300	0	4
131	0	4
5	0	4
50748	0	4
15291	0	4
26	0	4
10963	0	4
1053	0	4
1	1	1
44212	0	4
698	0	4
21	0	4
5	0	4
12380	0	4
5656	0	4
7	0	4
7	0	4
7787	0	4
15913	0	4
71865	0	4
25	0	4
2513	0	4
8677	0	4
811	0	4
2187	0	4
32	0	4
614	0	4
11894	0	4
544	0	4
13254	0	4
46788	0	4
41506	0	4
67	0	4
147	0	4
3	0	3
509	0	4
2	0	2
15	0	4
56032	0	4
44805	0	4
45	0	4
21795	0	4
6442	0	4
59130	0	4
31328	0	4
20048	0	4
33097	0	4
2511	0	4
28415	0	4
93976	0	4
78324	0	4
19256	0	4
723	0	4
34	0	4
13565	0	4
68758	0	4
12385	0	4
1	1	1
696	0	4
45	0	4
1347	0	4
68751	0	4
44	0	4
26	0	4
25089	0	4
14179	0	4
25405	0	4
217	0	4
8	0	4
28	0	4
55396	0	4
79511	0	4
386	0	4
8067	0	4
51119	0	4
3	0	3
12864	0	4
59894	0	4
1373	0	4
189	0	4
23055	0	4
12	0	4
1328	0	4
18297	0	4
1259	0	4
2876	0	4
2	0	2
21882	0	4
37239	0	4
45775	0	4
2596	0	4
46081	0	4
19480	0	4
274	0	4
8	0	4
907	0	4
79647	0	4
37	0	4
7410	0	4
6512	0	4
13	0	4
155	0	4
10	0	4
93	0	4
31149	0	4
453	0	4
1525	0	4
296	0	4
139	0	4
4	0	4
13886	0	4
69331	0	4
49341	0	4
59141	0	4
120	0	4
1222	0	4
2	0	2
30935	0	4
196	0	4
45	0	4
221	0	4
91	0	4
2	0	2
2608	0	4
5681	0	4
13	0	4
2865	0	4
11780	0	4
2877	0	4
336	0	4
55210	0	4
42406	0	4
2	0	2
72666	0	4
59835	0	4
28283	0	4
155	0	4
3	0	3
12014	0	4
954	0	4
6	0	4
894	0	4
4	0	4
43844	0	4
1172	0	4
13976	0	4
92125	0	4
68261	0	4
1	1	1
11	0	4
24153	0	4
12	0	4
52	0	4
60560	0	4
76992	0	4
38077	0	4
114	0	4
82	0	4
2767	0	4
40	0	4
3509	0	4
8	0	4
77200	0	4
6	0	4
11	0	4
12705	0	4
73555	0	4
185	0	4
70	0	4
89045	0	4
2569	0	4
27	0	4
46126	0	4
4604	0	4
3106	0	4
3	0	3
19129	0	4
20	0	4
4368	0	4
52524	0	4
58	0	4
45	0	4
23678	0	4
14	0	4
62228	0	4
1	1	1
39	0	4
24112	0	4
291	0	4
20011	0	4
66950	0	4
1	1	1
14374	0	4
13	0	4
50595	0	4
2	0	2
2	0	2
7832	0	4
3117	0	4
26571	0	4
21287	0	4
5129	0	4
3	0	3
1	1	1
11651	0	4
7847	0	4
184	0	4
401	0	4
32	0	4
2086	0	4
4	0	4
65396	0	4
68305	0	4
733	0	4
3	0	3
9294	0	4
11557	0	4
55708	0	4
91317	0	4
3654	0	4
39572	0	4
91331	0	4
1	1	1
1177	0	4
14723	0	4
70313	0	4
74194	0	4
1370	0	4
2760	0	4
82387	0	4
75564	0	4
1318	0	4
438	0	4
85332	0	4
2	0	2
1	1	1
36	0	4
5	0	4
17715	0	4
25595	0	4
15405	0	4
35	0	4
6892	0	4
4929	0	4
62389	0	4
17512	0	4
10237	0	4
7	0	4
5433	0	4
637	0	4
3	0	3
36893	0	4
48385	0	4
6235	0	4
89	0	4
34715	0	4
15	0	4
9782	0	4
93363	0	4
96	0	4
7920	0	4
21484	0	4
4713	0	4
6	0	4
7287	0	4
1442	0	4
23609	0	4
24019	0	4
53835	0	4
108	0	4
7574	0	4
37445	0	4
1294	0	4
32188	0	4
13837	0	4
1197	0	4
823	0	4
6441	0	4
13	0	4
1	1	1
541	0	4
9323	0	4
72	0	4
3	0	3
41923	0	4
20880	0	4
3703	0	4
1	1	1
8	0	4
4	0	4
7506	0	4
963	0	4
23883	0	4
3	0	3
220	0	4
