Result	Accuracy	Rank
17	0	4
4	0	4
54853	0	4
32312	0	4
46034	0	4
61674	0	4
61	0	4
11193	0	4
3287	0	4
11674	0	4
86792	0	4
14903	0	4
54998	0	4
9	0	4
713	0	4
171	0	4
12	0	4
4	0	4
5194	0	4
93863	0	4
231	0	4
9602	0	4
560	0	4
8355	0	4
5	0	4
42	0	4
26	0	4
80	0	4
73	0	4
2485	0	4
105	0	4
32	0	4
324	0	4
15	0	4
50083	0	4
185	0	4
756	0	4
1145	0	4
2222	0	4
1	1	1
3748	0	4
3	0	3
5660	0	4
34457	0	4
708	0	4
6761	0	4
9	0	4
39525	0	4
36536	0	4
4822	0	4
12943	0	4
1898	0	4
8565	0	4
3	0	3
115	0	4
137	0	4
85054	0	4
152	0	4
1213	0	4
1305	0	4
2549	0	4
1909	0	4
5	0	4
603	0	4
86	0	4
1126	0	4
12241	0	4
1	1	1
1	1	1
19444	0	4
6741	0	4
251	0	4
7721	0	4
2475	0	4
5	0	4
15	0	4
284	0	4
77	0	4
368	0	4
58	0	4
1	1	1
100634	0	4
54780	0	4
8768	0	4
145	0	4
10	0	4
2	0	2
484	0	4
92	0	4
3166	0	4
671	0	4
442	0	4
148	0	4
48	0	4
94656	0	4
10605	0	4
391	0	4
2785	0	4
69	0	4
93313	0	4
5	0	4
2	0	2
20926	0	4
41252	0	4
1	1	1
22	0	4
7789	0	4
2	0	2
12	0	4
66	0	4
205	0	4
688	0	4
5279	0	4
351	0	4
732	0	4
2591	0	4
70573	0	4
3993	0	4
3598	0	4
2133	0	4
17179	0	4
6	0	4
34	0	4
56961	0	4
2	0	2
6557	0	4
3508	0	4
6	0	4
4	0	4
25	0	4
6191	0	4
36882	0	4
18875	0	4
1221	0	4
56229	0	4
5	0	4
338	0	4
11319	0	4
7645	0	4
3588	0	4
408	0	4
4677	0	4
1	1	1
2753	0	4
45436	0	4
3	0	3
45954	0	4
10	0	4
5936	0	4
76743	0	4
1	1	1
181	0	4
10577	0	4
904	0	4
5319	0	4
3049	0	4
1	1	1
34	0	4
9491	0	4
58	0	4
822	0	4
2810	0	4
2	0	2
47	0	4
56	0	4
36	0	4
1	1	1
12	0	4
4151	0	4
8862	0	4
4179	0	4
307	0	4
61569	0	4
18401	0	4
376	0	4
40160	0	4
