Result	Accuracy	Rank
2	0	2
136	0	4
147	0	4
50	0	4
24	0	4
63	0	4
1	1	1
328	0	4
1030	0	4
69	0	4
450	0	4
33	0	4
180	0	4
9	0	4
937	0	4
714	0	4
2203	0	4
27	0	4
9841	0	4
175	0	4
169	0	4
1164	0	4
1306	0	4
18484	0	4
9	0	4
55	0	4
14	0	4
30	0	4
798	0	4
2156	0	4
57	0	4
36	0	4
164	0	4
3	0	3
192	0	4
116	0	4
3513	0	4
2754	0	4
6803	0	4
65	0	4
3399	0	4
7	0	4
15243	0	4
10	0	4
5	0	4
2066	0	4
3	0	3
26	0	4
2	0	2
500	0	4
13253	0	4
4581	0	4
12	0	4
3	0	3
77	0	4
408	0	4
59	0	4
10	0	4
12	0	4
214	0	4
13737	0	4
161	0	4
2	0	2
2207	0	4
538	0	4
149	0	4
19007	0	4
1	1	1
1	1	1
225	0	4
446	0	4
21	0	4
25	0	4
489	0	4
11	0	4
60	0	4
1028	0	4
9	0	4
12	0	4
16	0	4
3	0	3
13	0	4
17	0	4
4	0	4
24	0	4
7	0	4
3	0	3
25	0	4
2854	0	4
54	0	4
798	0	4
207	0	4
73	0	4
43	0	4
276	0	4
10	0	4
4168	0	4
13643	0	4
9	0	4
92033	0	4
10	0	4
2	0	2
1	1	1
127	0	4
6	0	4
1462	0	4
3	0	3
1	1	1
17	0	4
36	0	4
141	0	4
2271	0	4
97	0	4
1022	0	4
5961	0	4
422	0	4
14	0	4
2008	0	4
18	0	4
41	0	4
5	0	4
1	1	1
20	0	4
18	0	4
4	0	4
50	0	4
8396	0	4
102	0	4
42	0	4
26	0	4
152	0	4
11	0	4
1767	0	4
177	0	4
694	0	4
14	0	4
84	0	4
2298	0	4
5	0	4
2	0	2
10	0	4
18	0	4
10	0	4
2991	0	4
12	0	4
2328	0	4
92	0	4
1	1	1
1623	0	4
19	0	4
6	0	4
206	0	4
511	0	4
6	0	4
4	0	4
66	0	4
1	1	1
1	1	1
14827	0	4
18	0	4
4	0	4
16	0	4
4	0	4
28	0	4
36	0	4
2	0	2
35	0	4
12	0	4
4	0	4
24710	0	4
35	0	4
99	0	4
32	0	4
12	0	4
9	0	4
2589	0	4
368	0	4
25	0	4
9	0	4
445	0	4
5	0	4
25	0	4
13	0	4
21	0	4
17	0	4
499	0	4
67	0	4
428	0	4
2	0	2
315	0	4
3837	0	4
1904	0	4
2	0	2
279	0	4
83	0	4
10	0	4
2	0	2
20	0	4
20	0	4
90	0	4
27953	0	4
48	0	4
121	0	4
9	0	4
21	0	4
22	0	4
86	0	4
23	0	4
105	0	4
399	0	4
2	0	2
30	0	4
14	0	4
16857	0	4
38731	0	4
17	0	4
4	0	4
5553	0	4
34	0	4
5	0	4
9	0	4
131	0	4
5	0	4
1291	0	4
201	0	4
50	0	4
2463	0	4
1966	0	4
2	0	2
265	0	4
5	0	4
2	0	2
2	0	2
2	0	2
1	1	1
16	0	4
4	0	4
231	0	4
200	0	4
70	0	4
8	0	4
4	0	4
160	0	4
90	0	4
6520	0	4
1	1	1
8	0	4
17646	0	4
7	0	4
55	0	4
16	0	4
2	0	2
2005	0	4
106	0	4
26	0	4
3	0	3
7096	0	4
54	0	4
308	0	4
1459	0	4
55	0	4
4	0	4
471	0	4
13408	0	4
24	0	4
1529	0	4
43	0	4
63	0	4
14	0	4
169	0	4
170	0	4
282	0	4
8446	0	4
8	0	4
25747	0	4
49135	0	4
138	0	4
9	0	4
2	0	2
4	0	4
143	0	4
327	0	4
593	0	4
4	0	4
7	0	4
734	0	4
3913	0	4
506	0	4
16134	0	4
11	0	4
2	0	2
4	0	4
3268	0	4
9	0	4
23	0	4
1900	0	4
216	0	4
51	0	4
84	0	4
1671	0	4
1637	0	4
6	0	4
1	1	1
1	1	1
234	0	4
2	0	2
11	0	4
105	0	4
11801	0	4
87	0	4
23	0	4
603	0	4
322	0	4
2	0	2
2081	0	4
39	0	4
2356	0	4
18	0	4
115	0	4
54	0	4
11	0	4
9098	0	4
71	0	4
321	0	4
33	0	4
836	0	4
123	0	4
2104	0	4
35333	0	4
13	0	4
5298	0	4
23	0	4
2	0	2
40	0	4
64	0	4
5572	0	4
23	0	4
8	0	4
4	0	4
2	0	2
5	0	4
449	0	4
71	0	4
27082	0	4
5	0	4
163	0	4
5	0	4
572	0	4
7	0	4
134	0	4
17	0	4
1	1	1
7	0	4
29	0	4
254	0	4
1529	0	4
1557	0	4
1	1	1
2738	0	4
211	0	4
353	0	4
496	0	4
12107	0	4
2537	0	4
16	0	4
3	0	3
9	0	4
41	0	4
2	0	2
35	0	4
167	0	4
233	0	4
24	0	4
1	1	1
1458	0	4
542	0	4
79	0	4
17	0	4
8406	0	4
128	0	4
35	0	4
94	0	4
12	0	4
265	0	4
2	0	2
2	0	2
220	0	4
82	0	4
192	0	4
1	1	1
1997	0	4
88	0	4
12	0	4
163	0	4
3818	0	4
1	1	1
1477	0	4
11308	0	4
15	0	4
5	0	4
1665	0	4
173	0	4
102	0	4
41	0	4
311	0	4
1497	0	4
5	0	4
62	0	4
10	0	4
5974	0	4
1495	0	4
20638	0	4
6708	0	4
4602	0	4
24	0	4
75	0	4
2983	0	4
2	0	2
2805	0	4
210	0	4
1385	0	4
2	0	2
173	0	4
4	0	4
79	0	4
140	0	4
239	0	4
28	0	4
17	0	4
125	0	4
27601	0	4
153	0	4
16	0	4
46	0	4
5	0	4
465	0	4
4972	0	4
1816	0	4
238	0	4
1978	0	4
881	0	4
623	0	4
876	0	4
640	0	4
1	1	1
605	0	4
9	0	4
84	0	4
514	0	4
11	0	4
22	0	4
22947	0	4
30	0	4
941	0	4
59	0	4
9	0	4
28	0	4
6	0	4
4	0	4
1124	0	4
45	0	4
19006	0	4
13	0	4
4	0	4
119	0	4
23	0	4
10952	0	4
801	0	4
1869	0	4
17	0	4
33	0	4
15	0	4
2880	0	4
7	0	4
23264	0	4
5349	0	4
35698	0	4
2576	0	4
906	0	4
332	0	4
37	0	4
45	0	4
2549	0	4
433	0	4
3	0	3
3338	0	4
253	0	4
6	0	4
314	0	4
13	0	4
354	0	4
13	0	4
9	0	4
21	0	4
433	0	4
8	0	4
4	0	4
19	0	4
1589	0	4
2	0	2
621	0	4
2753	0	4
4	0	4
1	1	1
507	0	4
22	0	4
27	0	4
6	0	4
592	0	4
2	0	2
354	0	4
7153	0	4
42	0	4
8105	0	4
20650	0	4
7	0	4
4	0	4
13	0	4
2508	0	4
6	0	4
23077	0	4
5478	0	4
32198	0	4
22	0	4
6	0	4
48722	0	4
73	0	4
18	0	4
183	0	4
4	0	4
13	0	4
119	0	4
2519	0	4
10	0	4
36	0	4
203	0	4
1	1	1
275	0	4
1	1	1
2	0	2
28541	0	4
687	0	4
55539	0	4
9	0	4
100	0	4
60	0	4
14	0	4
8	0	4
4	0	4
3	0	3
19	0	4
49	0	4
101	0	4
569	0	4
1102	0	4
140	0	4
513	0	4
420	0	4
12	0	4
659	0	4
3191	0	4
1933	0	4
8	0	4
788	0	4
548	0	4
131	0	4
396	0	4
6	0	4
139	0	4
1129	0	4
2	0	2
698	0	4
63	0	4
286	0	4
309	0	4
128	0	4
34	0	4
896	0	4
1	1	1
1209	0	4
37	0	4
209	0	4
2	0	2
1	1	1
954	0	4
10	0	4
417	0	4
7930	0	4
992	0	4
26	0	4
3	0	3
114	0	4
866	0	4
1752	0	4
1699	0	4
55	0	4
313	0	4
4	0	4
4138	0	4
1256	0	4
15	0	4
26	0	4
16207	0	4
90	0	4
460	0	4
1671	0	4
4	0	4
4256	0	4
61	0	4
4	0	4
388	0	4
1461	0	4
4441	0	4
3178	0	4
1844	0	4
3119	0	4
8	0	4
15	0	4
2	0	2
380	0	4
576	0	4
6	0	4
4	0	4
6	0	4
25	0	4
1379	0	4
72	0	4
31	0	4
50	0	4
112	0	4
821	0	4
427	0	4
59	0	4
4	0	4
8	0	4
8099	0	4
454	0	4
13	0	4
10634	0	4
617	0	4
3010	0	4
41	0	4
45	0	4
5	0	4
2602	0	4
5	0	4
17	0	4
5823	0	4
2695	0	4
62	0	4
13	0	4
2	0	2
101	0	4
61	0	4
3800	0	4
17154	0	4
764	0	4
6	0	4
784	0	4
1792	0	4
209	0	4
81	0	4
1155	0	4
139	0	4
5289	0	4
7	0	4
1	1	1
10	0	4
6	0	4
448	0	4
1	1	1
945	0	4
12855	0	4
21264	0	4
1	1	1
6	0	4
4	0	4
3	0	3
69	0	4
84	0	4
4	0	4
12	0	4
31	0	4
1	1	1
12	0	4
1273	0	4
2	0	2
3	0	3
2	0	2
18	0	4
3558	0	4
19	0	4
22	0	4
418	0	4
3	0	3
5	0	4
6	0	4
6	0	4
26755	0	4
8983	0	4
69	0	4
402	0	4
52	0	4
5	0	4
2318	0	4
351	0	4
460	0	4
22094	0	4
96	0	4
1	1	1
1	1	1
1	1	1
20	0	4
4817	0	4
16	0	4
847	0	4
208	0	4
31384	0	4
79	0	4
30	0	4
39	0	4
5	0	4
11	0	4
76	0	4
47	0	4
754	0	4
303	0	4
1318	0	4
10000	0	4
5	0	4
1	1	1
36	0	4
625	0	4
6	0	4
852	0	4
326	0	4
5	0	4
3736	0	4
4851	0	4
95	0	4
327	0	4
94	0	4
13	0	4
23	0	4
14485	0	4
2425	0	4
18	0	4
28	0	4
46	0	4
420	0	4
19	0	4
2	0	2
10	0	4
30	0	4
111	0	4
3	0	3
3	0	3
30	0	4
10	0	4
4	0	4
11317	0	4
274	0	4
26	0	4
25	0	4
3422	0	4
1733	0	4
4	0	4
7	0	4
6	0	4
163	0	4
110	0	4
9262	0	4
5247	0	4
16	0	4
1	1	1
15	0	4
1	1	1
54160	0	4
714	0	4
338	0	4
46	0	4
4	0	4
13	0	4
4	0	4
3	0	3
1	1	1
1	1	1
4282	0	4
157	0	4
4	0	4
21	0	4
13	0	4
4	0	4
54	0	4
684	0	4
4	0	4
6	0	4
5890	0	4
13	0	4
286	0	4
12	0	4
4	0	4
7	0	4
329	0	4
18	0	4
18892	0	4
20344	0	4
5	0	4
7756	0	4
523	0	4
5647	0	4
6	0	4
2	0	2
703	0	4
28	0	4
2813	0	4
69	0	4
801	0	4
5	0	4
2	0	2
8478	0	4
12	0	4
7	0	4
14	0	4
2	0	2
199	0	4
1754	0	4
16613	0	4
3	0	3
1	1	1
6	0	4
28	0	4
7	0	4
842	0	4
160	0	4
7	0	4
59	0	4
5	0	4
11	0	4
3	0	3
117	0	4
373	0	4
698	0	4
2138	0	4
6398	0	4
32	0	4
2	0	2
12281	0	4
2595	0	4
16	0	4
1	1	1
78	0	4
10	0	4
36	0	4
2007	0	4
2531	0	4
1839	0	4
1	1	1
2	0	2
291	0	4
4	0	4
788	0	4
11	0	4
5	0	4
1579	0	4
176	0	4
2633	0	4
29	0	4
118	0	4
836	0	4
62	0	4
58	0	4
3	0	3
88596	0	4
7	0	4
3756	0	4
257	0	4
12	0	4
3	0	3
71	0	4
1284	0	4
1	1	1
49	0	4
122	0	4
23	0	4
28	0	4
52	0	4
2	0	2
162	0	4
287	0	4
1372	0	4
125	0	4
728	0	4
33	0	4
257	0	4
58	0	4
7	0	4
3	0	3
45790	0	4
3	0	3
287	0	4
581	0	4
9	0	4
8	0	4
4435	0	4
6	0	4
2538	0	4
6	0	4
51	0	4
4	0	4
450	0	4
17255	0	4
160	0	4
176	0	4
58	0	4
96	0	4
97	0	4
57	0	4
1352	0	4
9	0	4
1	1	1
66	0	4
25	0	4
14491	0	4
8	0	4
8	0	4
275	0	4
2	0	2
607	0	4
476	0	4
63	0	4
9	0	4
17	0	4
1332	0	4
202	0	4
1397	0	4
3105	0	4
5	0	4
67	0	4
4	0	4
600	0	4
664	0	4
592	0	4
53	0	4
1279	0	4
1902	0	4
1	1	1
71	0	4
120	0	4
74	0	4
13	0	4
53	0	4
1432	0	4
5544	0	4
51	0	4
490	0	4
3	0	3
3	0	3
23	0	4
4339	0	4
165	0	4
5	0	4
2	0	2
50	0	4
1	1	1
3	0	3
5	0	4
1221	0	4
959	0	4
4	0	4
6	0	4
510	0	4
52	0	4
3856	0	4
2	0	2
223	0	4
3	0	3
37	0	4
684	0	4
20	0	4
34	0	4
14	0	4
1	1	1
919	0	4
6450	0	4
1216	0	4
661	0	4
2557	0	4
7	0	4
30	0	4
131	0	4
3	0	3
3495	0	4
6	0	4
2	0	2
3	0	3
6	0	4
79	0	4
48	0	4
1182	0	4
1	1	1
244	0	4
108	0	4
67	0	4
16	0	4
6807	0	4
3008	0	4
21	0	4
64	0	4
85	0	4
16	0	4
15160	0	4
8186	0	4
30	0	4
1	1	1
2	0	2
4	0	4
6637	0	4
7	0	4
6	0	4
495	0	4
168	0	4
480	0	4
705	0	4
3266	0	4
137	0	4
9	0	4
516	0	4
3309	0	4
27	0	4
46	0	4
5	0	4
844	0	4
131	0	4
9536	0	4
4723	0	4
1544	0	4
3637	0	4
2	0	2
94	0	4
115	0	4
1940	0	4
2617	0	4
2	0	2
6	0	4
601	0	4
6	0	4
10	0	4
1525	0	4
362	0	4
4	0	4
9681	0	4
21	0	4
37	0	4
492	0	4
17	0	4
22	0	4
765	0	4
50	0	4
17	0	4
64	0	4
15	0	4
3440	0	4
15	0	4
174	0	4
18	0	4
9038	0	4
1	1	1
5	0	4
685	0	4
120	0	4
8	0	4
2	0	2
44	0	4
5255	0	4
1725	0	4
197	0	4
3	0	3
31	0	4
6	0	4
3271	0	4
3	0	3
79	0	4
516	0	4
50	0	4
19602	0	4
84	0	4
10	0	4
41	0	4
819	0	4
1698	0	4
3416	0	4
3	0	3
25	0	4
1	1	1
22591	0	4
6	0	4
236	0	4
860	0	4
7	0	4
1	1	1
25	0	4
206	0	4
1165	0	4
111	0	4
23	0	4
13	0	4
14	0	4
51	0	4
684	0	4
70	0	4
4	0	4
43	0	4
16	0	4
871	0	4
112	0	4
8	0	4
2886	0	4
2	0	2
3	0	3
1	1	1
13374	0	4
6	0	4
1	1	1
63	0	4
8	0	4
777	0	4
4552	0	4
2764	0	4
62	0	4
16	0	4
50	0	4
294	0	4
71	0	4
1297	0	4
9	0	4
2160	0	4
1263	0	4
1743	0	4
6	0	4
3	0	3
176	0	4
1716	0	4
12635	0	4
7466	0	4
9	0	4
11	0	4
20842	0	4
30	0	4
329	0	4
29	0	4
19	0	4
26	0	4
29	0	4
3	0	3
1038	0	4
7	0	4
47	0	4
14	0	4
26	0	4
22	0	4
10	0	4
7972	0	4
2	0	2
245	0	4
161	0	4
1664	0	4
172	0	4
26	0	4
56	0	4
869	0	4
49	0	4
173	0	4
16	0	4
4	0	4
1	1	1
9	0	4
840	0	4
10	0	4
11858	0	4
90	0	4
29	0	4
20	0	4
122	0	4
6	0	4
339	0	4
1096	0	4
482	0	4
16910	0	4
115	0	4
2092	0	4
632	0	4
184	0	4
66	0	4
690	0	4
2006	0	4
12	0	4
21	0	4
48	0	4
5	0	4
11	0	4
449	0	4
2179	0	4
516	0	4
111	0	4
10	0	4
40	0	4
21874	0	4
2	0	2
11	0	4
172	0	4
1740	0	4
423	0	4
131	0	4
23	0	4
9	0	4
158	0	4
165	0	4
23	0	4
9	0	4
3	0	3
1	1	1
323	0	4
23188	0	4
55	0	4
54	0	4
204	0	4
2	0	2
638	0	4
4618	0	4
2004	0	4
1	1	1
43	0	4
21	0	4
837	0	4
24	0	4
84515	0	4
79	0	4
5	0	4
7	0	4
482	0	4
1	1	1
823	0	4
1553	0	4
1	1	1
18233	0	4
20912	0	4
213	0	4
1533	0	4
29	0	4
501	0	4
1	1	1
35	0	4
78	0	4
32	0	4
25	0	4
5	0	4
301	0	4
2	0	2
32	0	4
1407	0	4
22	0	4
15743	0	4
11904	0	4
77	0	4
574	0	4
6599	0	4
15874	0	4
44	0	4
3	0	3
104	0	4
4156	0	4
4	0	4
249	0	4
4628	0	4
15	0	4
905	0	4
42	0	4
52	0	4
189	0	4
6	0	4
9	0	4
20	0	4
5	0	4
2798	0	4
11	0	4
1	1	1
13826	0	4
4	0	4
1988	0	4
44	0	4
2	0	2
1624	0	4
503	0	4
858	0	4
3476	0	4
1098	0	4
1	1	1
20	0	4
8	0	4
298	0	4
77	0	4
83	0	4
36	0	4
100	0	4
9847	0	4
1	1	1
34768	0	4
260	0	4
1206	0	4
53	0	4
29	0	4
8186	0	4
957	0	4
128	0	4
8	0	4
15539	0	4
1	1	1
191	0	4
13	0	4
1302	0	4
20	0	4
5	0	4
4	0	4
15	0	4
4	0	4
841	0	4
239	0	4
4	0	4
447	0	4
2722	0	4
