Result	Accuracy	Rank
2	0	2
50	0	4
249	0	4
101	0	4
36	0	4
84	0	4
1	1	1
1215	0	4
103	0	4
5	0	4
167	0	4
80	0	4
135	0	4
10	0	4
344	0	4
5057	0	4
1584	0	4
7	0	4
1431	0	4
225	0	4
327	0	4
2154	0	4
1523	0	4
7796	0	4
7	0	4
23	0	4
6	0	4
28	0	4
216	0	4
3249	0	4
130	0	4
44	0	4
370	0	4
25	0	4
71	0	4
18	0	4
2055	0	4
618	0	4
714	0	4
26	0	4
3192	0	4
6	0	4
3975	0	4
10	0	4
5	0	4
1860	0	4
3	0	3
8	0	4
2	0	2
190	0	4
9732	0	4
3197	0	4
25	0	4
3	0	3
43	0	4
141	0	4
71	0	4
25	0	4
7	0	4
229	0	4
3858	0	4
76	0	4
2	0	2
690	0	4
73	0	4
494	0	4
19303	0	4
1	1	1
1	1	1
336	0	4
286	0	4
4	0	4
57	0	4
2476	0	4
11	0	4
6	0	4
346	0	4
16	0	4
53	0	4
7	0	4
1	1	1
226	0	4
15	0	4
6	0	4
33	0	4
7	0	4
3	0	3
498	0	4
4550	0	4
54	0	4
172	0	4
88	0	4
40	0	4
59	0	4
162	0	4
2	0	2
8280	0	4
21371	0	4
24	0	4
69831	0	4
74	0	4
8	0	4
3	0	3
352	0	4
5	0	4
2170	0	4
6	0	4
2	0	2
34	0	4
15	0	4
20	0	4
1652	0	4
99	0	4
1241	0	4
3666	0	4
150	0	4
6	0	4
2107	0	4
13	0	4
22	0	4
3	0	3
1	1	1
27	0	4
63	0	4
7	0	4
440	0	4
4928	0	4
80	0	4
16	0	4
5	0	4
1678	0	4
10	0	4
484	0	4
15	0	4
644	0	4
23	0	4
62	0	4
858	0	4
3	0	3
2	0	2
9	0	4
10	0	4
7	0	4
1848	0	4
16	0	4
283	0	4
69	0	4
1	1	1
776	0	4
10	0	4
10	0	4
86	0	4
1583	0	4
19	0	4
4	0	4
126	0	4
1	1	1
4	0	4
7264	0	4
3	0	3
7	0	4
24	0	4
4	0	4
149	0	4
109	0	4
2	0	2
38	0	4
36	0	4
12	0	4
8725	0	4
13	0	4
189	0	4
16	0	4
160	0	4
15	0	4
36526	0	4
98	0	4
11	0	4
5	0	4
1302	0	4
10	0	4
22	0	4
17	0	4
14	0	4
18	0	4
107	0	4
120	0	4
201	0	4
2	0	2
100	0	4
3466	0	4
1456	0	4
2	0	2
38	0	4
209	0	4
9	0	4
2	0	2
16	0	4
22	0	4
403	0	4
20028	0	4
13	0	4
149	0	4
8	0	4
7	0	4
15	0	4
15	0	4
12	0	4
118	0	4
481	0	4
1	1	1
44	0	4
9	0	4
15711	0	4
4844	0	4
43	0	4
4	0	4
1674	0	4
15	0	4
3	0	3
4	0	4
412	0	4
3	0	3
2160	0	4
209	0	4
29	0	4
66	0	4
353	0	4
2	0	2
97	0	4
7	0	4
2	0	2
2	0	2
1	1	1
1	1	1
17	0	4
3	0	3
918	0	4
57	0	4
15	0	4
6	0	4
6	0	4
32	0	4
49	0	4
14013	0	4
2	0	2
4	0	4
7267	0	4
7	0	4
284	0	4
8	0	4
1	1	1
1003	0	4
83	0	4
22	0	4
1	1	1
2727	0	4
203	0	4
60	0	4
174	0	4
94	0	4
4	0	4
18	0	4
9501	0	4
20	0	4
90	0	4
134	0	4
242	0	4
24	0	4
92	0	4
28	0	4
114	0	4
9352	0	4
11	0	4
97	0	4
22758	0	4
88	0	4
9	0	4
2	0	2
2	0	2
105	0	4
52	0	4
204	0	4
2	0	2
25	0	4
118	0	4
4381	0	4
415	0	4
1127	0	4
10	0	4
1	1	1
4	0	4
3562	0	4
9	0	4
12	0	4
1506	0	4
333	0	4
231	0	4
46	0	4
147	0	4
1019	0	4
6	0	4
2	0	2
1	1	1
1205	0	4
2	0	2
8	0	4
69	0	4
416	0	4
236	0	4
50	0	4
581	0	4
130	0	4
3	0	3
811	0	4
134	0	4
898	0	4
9	0	4
8	0	4
77	0	4
47	0	4
1247	0	4
43	0	4
641	0	4
43	0	4
321	0	4
118	0	4
1697	0	4
20162	0	4
8	0	4
3016	0	4
35	0	4
5	0	4
76	0	4
22	0	4
2847	0	4
29	0	4
8	0	4
4	0	4
3	0	3
4	0	4
283	0	4
110	0	4
14648	0	4
4	0	4
76	0	4
2	0	2
87	0	4
7	0	4
127	0	4
13	0	4
1	1	1
3	0	3
12	0	4
426	0	4
176	0	4
861	0	4
1	1	1
3014	0	4
117	0	4
535	0	4
486	0	4
10537	0	4
1164	0	4
24	0	4
2	0	2
13	0	4
14	0	4
2	0	2
51	0	4
107	0	4
110	0	4
3	0	3
1	1	1
460	0	4
363	0	4
120	0	4
15	0	4
707	0	4
16	0	4
36	0	4
71	0	4
12	0	4
15	0	4
2	0	2
3	0	3
78	0	4
9	0	4
253	0	4
3	0	3
701	0	4
25	0	4
7	0	4
46	0	4
1886	0	4
1	1	1
2193	0	4
2092	0	4
6	0	4
6	0	4
859	0	4
41	0	4
56	0	4
71	0	4
116	0	4
341	0	4
2	0	2
28	0	4
5	0	4
1087	0	4
158	0	4
18995	0	4
777	0	4
2390	0	4
16	0	4
24	0	4
731	0	4
3	0	3
1674	0	4
64	0	4
1052	0	4
6	0	4
24	0	4
3	0	3
15	0	4
52	0	4
99	0	4
13	0	4
16	0	4
244	0	4
29379	0	4
55	0	4
23	0	4
24	0	4
18	0	4
266	0	4
2416	0	4
847	0	4
43	0	4
260	0	4
33	0	4
766	0	4
117	0	4
464	0	4
1	1	1
315	0	4
14	0	4
38	0	4
402	0	4
3	0	3
20	0	4
15882	0	4
12	0	4
19	0	4
27	0	4
7	0	4
20	0	4
34	0	4
3	0	3
1236	0	4
11	0	4
7837	0	4
10	0	4
3	0	3
50	0	4
3	0	3
2267	0	4
575	0	4
48	0	4
9	0	4
22	0	4
34	0	4
4097	0	4
11	0	4
9312	0	4
252	0	4
19367	0	4
1048	0	4
13	0	4
34	0	4
155	0	4
119	0	4
322	0	4
81	0	4
4	0	4
4416	0	4
273	0	4
6	0	4
28	0	4
4	0	4
131	0	4
97	0	4
6	0	4
14	0	4
31	0	4
12	0	4
15	0	4
21	0	4
590	0	4
2	0	2
649	0	4
84	0	4
5	0	4
1	1	1
1996	0	4
485	0	4
26	0	4
2	0	2
283	0	4
2	0	2
1888	0	4
3699	0	4
19	0	4
2317	0	4
4928	0	4
9	0	4
2	0	2
5	0	4
1798	0	4
3	0	3
24118	0	4
2353	0	4
19676	0	4
6	0	4
9	0	4
14548	0	4
180	0	4
20	0	4
241	0	4
4	0	4
10	0	4
28	0	4
631	0	4
9	0	4
98	0	4
13	0	4
4	0	4
121	0	4
1	1	1
2	0	2
23326	0	4
200	0	4
3411	0	4
12	0	4
96	0	4
51	0	4
7	0	4
6	0	4
3	0	3
3	0	3
10	0	4
44	0	4
162	0	4
64	0	4
222	0	4
18	0	4
712	0	4
526	0	4
4	0	4
127	0	4
600	0	4
3985	0	4
4	0	4
2400	0	4
292	0	4
51	0	4
2013	0	4
8	0	4
22	0	4
1575	0	4
23	0	4
800	0	4
33	0	4
80	0	4
313	0	4
204	0	4
22	0	4
204	0	4
1	1	1
570	0	4
19	0	4
213	0	4
3	0	3
1	1	1
210	0	4
7	0	4
808	0	4
2434	0	4
567	0	4
9	0	4
2	0	2
8	0	4
507	0	4
1413	0	4
1722	0	4
20	0	4
3504	0	4
3	0	3
3953	0	4
37	0	4
12	0	4
19	0	4
2651	0	4
566	0	4
2222	0	4
8403	0	4
4	0	4
3879	0	4
16	0	4
5	0	4
69	0	4
129	0	4
2464	0	4
870	0	4
739	0	4
1285	0	4
9	0	4
7	0	4
2	0	2
74	0	4
484	0	4
7	0	4
6	0	4
8	0	4
23	0	4
2447	0	4
119	0	4
34	0	4
87	0	4
17	0	4
120	0	4
199	0	4
65	0	4
2	0	2
6	0	4
1870	0	4
58	0	4
35	0	4
1916	0	4
926	0	4
2042	0	4
193	0	4
56	0	4
6	0	4
317	0	4
14	0	4
16	0	4
574	0	4
4021	0	4
17	0	4
20	0	4
2	0	2
162	0	4
62	0	4
872	0	4
24708	0	4
216	0	4
2	0	2
169	0	4
1185	0	4
94	0	4
19	0	4
1734	0	4
74	0	4
5910	0	4
5	0	4
1	1	1
10	0	4
2	0	2
424	0	4
1	1	1
784	0	4
4224	0	4
11543	0	4
1	1	1
3	0	3
3	0	3
3	0	3
71	0	4
62	0	4
111	0	4
12	0	4
27	0	4
1	1	1
9	0	4
20	0	4
2	0	2
3	0	3
2	0	2
36	0	4
783	0	4
6	0	4
42	0	4
469	0	4
2	0	2
19	0	4
100	0	4
2	0	2
14695	0	4
6023	0	4
14	0	4
93	0	4
139	0	4
5	0	4
191	0	4
24	0	4
65	0	4
10008	0	4
162	0	4
1	1	1
1	1	1
1	1	1
77	0	4
1002	0	4
16	0	4
609	0	4
875	0	4
7544	0	4
302	0	4
42	0	4
39	0	4
6	0	4
6	0	4
113	0	4
83	0	4
305	0	4
112	0	4
61	0	4
3999	0	4
8	0	4
3	0	3
7	0	4
2286	0	4
2	0	2
2870	0	4
107	0	4
4	0	4
3993	0	4
3027	0	4
105	0	4
154	0	4
92	0	4
15	0	4
11	0	4
9306	0	4
580	0	4
2	0	2
15	0	4
28	0	4
375	0	4
8	0	4
3	0	3
11	0	4
52	0	4
117	0	4
2	0	2
1	1	1
11	0	4
5	0	4
2	0	2
3916	0	4
273	0	4
6	0	4
12	0	4
642	0	4
716	0	4
12	0	4
19	0	4
8	0	4
234	0	4
144	0	4
22978	0	4
22434	0	4
42	0	4
1	1	1
9	0	4
1	1	1
11983	0	4
1249	0	4
561	0	4
18	0	4
8	0	4
13	0	4
2	0	2
4	0	4
1	1	1
1	1	1
3256	0	4
46	0	4
4	0	4
26	0	4
16	0	4
6	0	4
14	0	4
557	0	4
2	0	2
2	0	2
321	0	4
22	0	4
136	0	4
9	0	4
4	0	4
18	0	4
24	0	4
7	0	4
9765	0	4
3318	0	4
3	0	3
4017	0	4
595	0	4
1181	0	4
9	0	4
2	0	2
1279	0	4
21	0	4
712	0	4
127	0	4
90	0	4
2	0	2
2	0	2
17296	0	4
6	0	4
12	0	4
5	0	4
5	0	4
61	0	4
48	0	4
934	0	4
6	0	4
