Result	Accuracy	Rank
2	0	2
36	0	4
62273	0	4
6	0	4
21	0	4
364	0	4
1	1	1
846	0	4
3334	0	4
2	0	2
2028	0	4
9	0	4
1531	0	4
4	0	4
1283	0	4
2334	0	4
1315	0	4
21	0	4
4596	0	4
1518	0	4
27	0	4
19694	0	4
2830	0	4
10882	0	4
5	0	4
38	0	4
4	0	4
95	0	4
342	0	4
467	0	4
24	0	4
42	0	4
1989	0	4
243	0	4
179	0	4
49	0	4
616	0	4
8	0	4
48330	0	4
1686	0	4
1677	0	4
9	0	4
1133	0	4
2542	0	4
31	0	4
427	0	4
14	0	4
339	0	4
252	0	4
542	0	4
434	0	4
25412	0	4
480	0	4
2	0	2
356	0	4
403	0	4
2	0	2
1008	0	4
110	0	4
269	0	4
1735	0	4
661	0	4
20	0	4
967	0	4
2532	0	4
141	0	4
329	0	4
37	0	4
10	0	4
698	0	4
516	0	4
108	0	4
3983	0	4
398	0	4
26	0	4
106	0	4
2358	0	4
21	0	4
562	0	4
6	0	4
4	0	4
2382	0	4
460	0	4
2	0	2
321	0	4
7	0	4
6	0	4
12	0	4
901	0	4
22	0	4
150	0	4
30	0	4
44	0	4
83	0	4
100035	0	4
885	0	4
33	0	4
3223	0	4
9	0	4
33062	0	4
9	0	4
209	0	4
9	0	4
220	0	4
4	0	4
203	0	4
5	0	4
1	1	1
13	0	4
39	0	4
35896	0	4
8	0	4
351	0	4
354	0	4
320	0	4
3861	0	4
40	0	4
3413	0	4
1923	0	4
112	0	4
9	0	4
6	0	4
8	0	4
11	0	4
5	0	4
101369	0	4
2220	0	4
12	0	4
4	0	4
6	0	4
1670	0	4
23800	0	4
244	0	4
35	0	4
59257	0	4
3	0	3
6	0	4
1068	0	4
3	0	3
5	0	4
35	0	4
301	0	4
716	0	4
22729	0	4
202	0	4
1809	0	4
1735	0	4
1	1	1
32	0	4
376	0	4
5	0	4
85	0	4
724	0	4
19	0	4
2	0	2
42	0	4
1	1	1
64	0	4
35989	0	4
40	0	4
5	0	4
17	0	4
9	0	4
372	0	4
133	0	4
9	0	4
47048	0	4
990	0	4
107	0	4
2840	0	4
2058	0	4
102	0	4
765	0	4
25	0	4
13	0	4
21847	0	4
25689	0	4
795	0	4
4	0	4
4634	0	4
7	0	4
5	0	4
13	0	4
62	0	4
78	0	4
35311	0	4
158	0	4
14	0	4
4	0	4
1209	0	4
880	0	4
1806	0	4
1	1	1
522	0	4
113	0	4
180	0	4
5	0	4
19	0	4
52	0	4
285	0	4
9768	0	4
702	0	4
248	0	4
15	0	4
5	0	4
34	0	4
10	0	4
516	0	4
467	0	4
1390	0	4
1	1	1
23	0	4
41	0	4
25614	0	4
77213	0	4
38	0	4
3	0	3
786	0	4
50	0	4
1479	0	4
99	0	4
175	0	4
3	0	3
149	0	4
2882	0	4
495	0	4
10	0	4
6677	0	4
1	1	1
37	0	4
2	0	2
2	0	2
4	0	4
1	1	1
182	0	4
124	0	4
20	0	4
148	0	4
705	0	4
36	0	4
2	0	2
5	0	4
3867	0	4
30	0	4
11641	0	4
1	1	1
80	0	4
1115	0	4
105	0	4
46	0	4
28	0	4
1	1	1
801	0	4
645	0	4
58	0	4
3	0	3
906	0	4
752	0	4
1042	0	4
79	0	4
46	0	4
8	0	4
8	0	4
2307	0	4
2519	0	4
532	0	4
19	0	4
61	0	4
25	0	4
1990	0	4
578	0	4
923	0	4
1576	0	4
33	0	4
9725	0	4
19537	0	4
39	0	4
135	0	4
2	0	2
5	0	4
2282	0	4
112	0	4
36	0	4
15	0	4
29	0	4
1380	0	4
1346	0	4
520	0	4
2435	0	4
12	0	4
3	0	3
10	0	4
27	0	4
86	0	4
63	0	4
245	0	4
2191	0	4
930	0	4
17673	0	4
1012	0	4
426	0	4
5	0	4
1	1	1
1	1	1
56	0	4
25	0	4
60	0	4
33	0	4
49890	0	4
1230	0	4
27	0	4
3457	0	4
10723	0	4
2	0	2
1337	0	4
136	0	4
1744	0	4
4	0	4
3458	0	4
74571	0	4
470	0	4
20779	0	4
71	0	4
1084	0	4
29	0	4
39	0	4
2176	0	4
2196	0	4
2124	0	4
1	1	1
12186	0	4
363	0	4
12	0	4
59	0	4
17	0	4
17829	0	4
140	0	4
14	0	4
8	0	4
3	0	3
5	0	4
106	0	4
92	0	4
583	0	4
90	0	4
431	0	4
23	0	4
22	0	4
3	0	3
9	0	4
43	0	4
4	0	4
1183	0	4
3	0	3
90	0	4
1	1	1
213	0	4
2	0	2
553	0	4
97	0	4
4365	0	4
6572	0	4
101331	0	4
24	0	4
37	0	4
1	1	1
37722	0	4
13	0	4
2	0	2
24	0	4
1130	0	4
607	0	4
50	0	4
1	1	1
25	0	4
8289	0	4
1162	0	4
7	0	4
51	0	4
1650	0	4
3229	0	4
101	0	4
333	0	4
28194	0	4
7	0	4
180	0	4
129	0	4
11	0	4
51	0	4
1	1	1
51	0	4
10212	0	4
118	0	4
993	0	4
151	0	4
1	1	1
4684	0	4
1871	0	4
4	0	4
7	0	4
19	0	4
1472	0	4
21	0	4
16	0	4
546	0	4
274	0	4
28	0	4
25	0	4
4	0	4
1143	0	4
525	0	4
99693	0	4
3017	0	4
275	0	4
12	0	4
16	0	4
962	0	4
2	0	2
1206	0	4
22	0	4
26	0	4
3	0	3
32	0	4
2	0	2
112	0	4
42	0	4
79	0	4
626	0	4
8	0	4
38	0	4
8073	0	4
222	0	4
87	0	4
11	0	4
2	0	2
463	0	4
4364	0	4
349	0	4
7412	0	4
32	0	4
236	0	4
585	0	4
7366	0	4
13050	0	4
1	1	1
605	0	4
6	0	4
37	0	4
16	0	4
10	0	4
25	0	4
3299	0	4
15	0	4
4826	0	4
98	0	4
5	0	4
99	0	4
780	0	4
5	0	4
806	0	4
7	0	4
