Result	Accuracy	Rank
2	0	2
152	0	4
28065	0	4
840	0	4
51	0	4
3748	0	4
1	1	1
2367	0	4
4733	0	4
2	0	2
490	0	4
31	0	4
72	0	4
2	0	2
1643	0	4
4097	0	4
3587	0	4
7	0	4
2736	0	4
3478	0	4
18	0	4
4575	0	4
3577	0	4
3039	0	4
7	0	4
139	0	4
440	0	4
47	0	4
104	0	4
1992	0	4
19	0	4
115	0	4
4987	0	4
378	0	4
196	0	4
8	0	4
668	0	4
39	0	4
6180	0	4
366	0	4
2553	0	4
5	0	4
1145	0	4
444	0	4
4	0	4
1022	0	4
7	0	4
33	0	4
358	0	4
1118	0	4
1340	0	4
415	0	4
433	0	4
15	0	4
136	0	4
1288	0	4
41	0	4
889	0	4
366	0	4
848	0	4
1366	0	4
2307	0	4
5	0	4
698	0	4
1994	0	4
296	0	4
5926	0	4
28	0	4
2	0	2
574	0	4
895	0	4
415	0	4
6566	0	4
1131	0	4
50	0	4
161	0	4
2104	0	4
44	0	4
661	0	4
9	0	4
6	0	4
6616	0	4
165	0	4
8	0	4
165	0	4
17	0	4
1	1	1
1627	0	4
1047	0	4
56	0	4
121	0	4
93	0	4
94	0	4
7	0	4
46611	0	4
2	0	2
1292	0	4
9822	0	4
8	0	4
44826	0	4
108	0	4
753	0	4
32	0	4
82	0	4
5	0	4
1635	0	4
7	0	4
1	1	1
18	0	4
15	0	4
3823	0	4
298	0	4
108	0	4
903	0	4
372	0	4
670	0	4
46	0	4
1491	0	4
27	0	4
22	0	4
13	0	4
1	1	1
11	0	4
46	0	4
3	0	3
2249	0	4
3143	0	4
19	0	4
9	0	4
17	0	4
2689	0	4
1990	0	4
1099	0	4
4	0	4
2814	0	4
12	0	4
4	0	4
1307	0	4
5	0	4
3	0	3
15	0	4
15	0	4
232	0	4
5661	0	4
76	0	4
3051	0	4
801	0	4
2	0	2
622	0	4
116	0	4
10	0	4
305	0	4
211	0	4
126	0	4
3	0	3
164	0	4
1	1	1
138	0	4
5050	0	4
5	0	4
4	0	4
20	0	4
6	0	4
63	0	4
64	0	4
1	1	1
217	0	4
255	0	4
26	0	4
1838	0	4
188	0	4
17	0	4
52	0	4
4167	0	4
9	0	4
6804	0	4
131	0	4
244	0	4
4	0	4
4925	0	4
4522	0	4
45	0	4
24	0	4
8228	0	4
252	0	4
362	0	4
73	0	4
54	0	4
6	0	4
722	0	4
968	0	4
516	0	4
1	1	1
120	0	4
665	0	4
95	0	4
63	0	4
2	0	2
2	0	2
152	0	4
7671	0	4
16	0	4
137	0	4
101	0	4
3	0	3
26	0	4
248	0	4
140	0	4
319	0	4
1082	0	4
2	0	2
23	0	4
8	0	4
3003	0	4
4921	0	4
119	0	4
2	0	2
890	0	4
94	0	4
2	0	2
18	0	4
233	0	4
3	0	3
312	0	4
1427	0	4
126	0	4
10	0	4
8055	0	4
4	0	4
173	0	4
5	0	4
4	0	4
2	0	2
2	0	2
7	0	4
93	0	4
1	1	1
11087	0	4
148	0	4
14	0	4
2	0	2
5	0	4
1378	0	4
64	0	4
9348	0	4
2	0	2
23	0	4
6273	0	4
19	0	4
28	0	4
7	0	4
2	0	2
5085	0	4
81	0	4
20	0	4
1	1	1
455	0	4
2715	0	4
883	0	4
605	0	4
470	0	4
1654	0	4
30	0	4
3382	0	4
603	0	4
294	0	4
16	0	4
41	0	4
8	0	4
823	0	4
34	0	4
1031	0	4
3237	0	4
140	0	4
200	0	4
9122	0	4
67	0	4
41	0	4
2	0	2
6	0	4
462	0	4
56	0	4
34	0	4
3	0	3
34	0	4
495	0	4
653	0	4
455	0	4
264	0	4
3	0	3
1	1	1
6	0	4
643	0	4
99	0	4
115	0	4
766	0	4
145	0	4
191	0	4
274	0	4
697	0	4
283	0	4
17	0	4
2	0	2
1	1	1
141	0	4
2	0	2
33	0	4
25	0	4
24190	0	4
1316	0	4
432	0	4
6468	0	4
1158	0	4
3	0	3
1473	0	4
855	0	4
4300	0	4
8	0	4
141	0	4
5444	0	4
807	0	4
6246	0	4
51	0	4
1147	0	4
112	0	4
22	0	4
179	0	4
517	0	4
1219	0	4
78	0	4
1632	0	4
49	0	4
10	0	4
480	0	4
13	0	4
6861	0	4
14	0	4
38	0	4
7	0	4
6	0	4
4	0	4
58	0	4
52	0	4
2361	0	4
4	0	4
152	0	4
62	0	4
30	0	4
4	0	4
25	0	4
104	0	4
6	0	4
16	0	4
2	0	2
25	0	4
11	0	4
126	0	4
1	1	1
1492	0	4
52	0	4
1491	0	4
2167	0	4
40400	0	4
5281	0	4
33	0	4
2	0	2
404	0	4
39	0	4
2	0	2
47	0	4
163	0	4
351	0	4
16	0	4
1	1	1
147	0	4
3383	0	4
139	0	4
6	0	4
1096	0	4
188	0	4
2434	0	4
234	0	4
59	0	4
13	0	4
9	0	4
36	0	4
110	0	4
7	0	4
