Result	Accuracy	Rank
3	0	3
52	0	4
384	0	4
2185	0	4
29	0	4
221	0	4
1	1	1
595	0	4
2028	0	4
4	0	4
579	0	4
21	0	4
1443	0	4
2	0	2
485	0	4
15272	0	4
3989	0	4
5	0	4
11998	0	4
131	0	4
418	0	4
2656	0	4
1738	0	4
9771	0	4
8	0	4
165	0	4
7	0	4
38	0	4
125	0	4
14675	0	4
332	0	4
804	0	4
422	0	4
563	0	4
217	0	4
12	0	4
4495	0	4
117	0	4
4955	0	4
105	0	4
11770	0	4
6	0	4
4303	0	4
7584	0	4
3	0	3
54061	0	4
11	0	4
2	0	2
138	0	4
190	0	4
2631	0	4
36074	0	4
7	0	4
1	1	1
1342	0	4
2568	0	4
33	0	4
201	0	4
33	0	4
13826	0	4
40371	0	4
67	0	4
4	0	4
3679	0	4
8775	0	4
5710	0	4
14022	0	4
4	0	4
3	0	3
539	0	4
91855	0	4
12	0	4
1467	0	4
5505	0	4
14	0	4
62	0	4
32064	0	4
9	0	4
127	0	4
10	0	4
1	1	1
4501	0	4
1029	0	4
3	0	3
100	0	4
13	0	4
7	0	4
135	0	4
24110	0	4
671	0	4
2116	0	4
174	0	4
104	0	4
140	0	4
25109	0	4
23	0	4
220	0	4
68403	0	4
90	0	4
58856	0	4
10	0	4
45	0	4
11	0	4
372	0	4
10	0	4
10847	0	4
42829	0	4
1	1	1
20	0	4
11	0	4
638	0	4
2982	0	4
6725	0	4
3076	0	4
1542	0	4
57	0	4
8	0	4
465	0	4
11	0	4
2479	0	4
6	0	4
1	1	1
13	0	4
20	0	4
14	0	4
23460	0	4
26003	0	4
86	0	4
6	0	4
13	0	4
6237	0	4
11	0	4
1355	0	4
1041	0	4
21280	0	4
3	0	3
15	0	4
429	0	4
5	0	4
10	0	4
20	0	4
8	0	4
4516	0	4
9889	0	4
9	0	4
31764	0	4
63026	0	4
4	0	4
1154	0	4
335	0	4
46	0	4
3045	0	4
743	0	4
18	0	4
2	0	2
1840	0	4
1	1	1
280	0	4
14054	0	4
1505	0	4
3	0	3
27	0	4
4	0	4
37	0	4
409	0	4
5	0	4
141	0	4
96	0	4
8	0	4
21502	0	4
39	0	4
85	0	4
5	0	4
451	0	4
54	0	4
47543	0	4
639	0	4
406	0	4
7	0	4
2641	0	4
7302	0	4
15	0	4
14	0	4
173	0	4
352	0	4
3309	0	4
93	0	4
70	0	4
3	0	3
14838	0	4
29028	0	4
7261	0	4
1	1	1
1906	0	4
2168	0	4
13858	0	4
2	0	2
6	0	4
11	0	4
283	0	4
81341	0	4
19	0	4
233	0	4
26	0	4
2	0	2
139	0	4
2092	0	4
15	0	4
149	0	4
1360	0	4
1	1	1
47	0	4
12	0	4
71318	0	4
54376	0	4
13	0	4
4	0	4
23911	0	4
5193	0	4
8	0	4
229	0	4
1734	0	4
3	0	3
614	0	4
729	0	4
2531	0	4
79	0	4
13118	0	4
6	0	4
128	0	4
6	0	4
3	0	3
2	0	2
1	1	1
1	1	1
34	0	4
6	0	4
571	0	4
597	0	4
160	0	4
3	0	3
7	0	4
1126	0	4
14	0	4
62593	0	4
1	1	1
3	0	3
11462	0	4
75	0	4
1249	0	4
53	0	4
1	1	1
3134	0	4
2214	0	4
486	0	4
2	0	2
5182	0	4
93	0	4
413	0	4
25655	0	4
24	0	4
1923	0	4
391	0	4
40814	0	4
5526	0	4
783	0	4
123	0	4
111	0	4
550	0	4
254	0	4
481	0	4
895	0	4
8819	0	4
37	0	4
31602	0	4
79944	0	4
274	0	4
6	0	4
241	0	4
