Result	Accuracy	Rank
39821	0	4
14981	0	4
8748	0	4
99340	0	4
1145	0	4
18944	0	4
24681	0	4
4879	0	4
5817	0	4
2666	0	4
71181	0	4
5122	0	4
7009	0	4
1106	0	4
372	0	4
17177	0	4
96121	0	4
17245	0	4
511	0	4
41	0	4
268	0	4
1093	0	4
21	0	4
4243	0	4
29483	0	4
89994	0	4
358	0	4
36555	0	4
3346	0	4
2264	0	4
50080	0	4
18	0	4
23818	0	4
11996	0	4
818	0	4
4575	0	4
74	0	4
28	0	4
6600	0	4
76849	0	4
28233	0	4
321	0	4
1131	0	4
13192	0	4
1255	0	4
24116	0	4
53132	0	4
86034	0	4
385	0	4
18901	0	4
587	0	4
1249	0	4
1101	0	4
4866	0	4
2	0	2
2	0	2
33	0	4
13306	0	4
19652	0	4
8507	0	4
14375	0	4
1	1	1
434	0	4
82420	0	4
1	1	1
2	0	2
8350	0	4
99789	0	4
11	0	4
2185	0	4
397	0	4
9341	0	4
3153	0	4
3266	0	4
347	0	4
15323	0	4
152	0	4
92331	0	4
4038	0	4
7109	0	4
778	0	4
9047	0	4
28396	0	4
10	0	4
5783	0	4
75	0	4
38385	0	4
3342	0	4
14442	0	4
10200	0	4
54	0	4
1664	0	4
10929	0	4
7496	0	4
18711	0	4
83976	0	4
20509	0	4
8181	0	4
18331	0	4
15929	0	4
1877	0	4
5179	0	4
1	1	1
4	0	4
7493	0	4
10759	0	4
10714	0	4
238	0	4
6135	0	4
5855	0	4
3733	0	4
11100	0	4
1065	0	4
4	0	4
564	0	4
62	0	4
2767	0	4
14	0	4
5946	0	4
7771	0	4
7825	0	4
3150	0	4
37273	0	4
11304	0	4
1	1	1
16756	0	4
14926	0	4
6202	0	4
62611	0	4
3979	0	4
97599	0	4
13355	0	4
9750	0	4
37569	0	4
88040	0	4
1442	0	4
94244	0	4
11415	0	4
532	0	4
14451	0	4
3327	0	4
453	0	4
13852	0	4
14171	0	4
3513	0	4
64282	0	4
2737	0	4
29124	0	4
96	0	4
3297	0	4
2	0	2
2340	0	4
54637	0	4
78784	0	4
996	0	4
28215	0	4
81344	0	4
75174	0	4
17878	0	4
1232	0	4
61283	0	4
5201	0	4
32298	0	4
7534	0	4
4829	0	4
20234	0	4
860	0	4
2521	0	4
50343	0	4
1386	0	4
16501	0	4
1498	0	4
34132	0	4
7216	0	4
2056	0	4
13753	0	4
2584	0	4
1426	0	4
11343	0	4
6166	0	4
6629	0	4
20	0	4
9082	0	4
3116	0	4
61237	0	4
9124	0	4
5	0	4
149	0	4
15566	0	4
79	0	4
16978	0	4
59	0	4
73	0	4
233	0	4
50907	0	4
49929	0	4
2995	0	4
3347	0	4
885	0	4
46	0	4
318	0	4
8395	0	4
17490	0	4
79863	0	4
442	0	4
97487	0	4
7621	0	4
17319	0	4
8995	0	4
949	0	4
11998	0	4
2409	0	4
3682	0	4
2381	0	4
2163	0	4
91409	0	4
2206	0	4
343	0	4
2376	0	4
38255	0	4
698	0	4
8312	0	4
62882	0	4
6848	0	4
5225	0	4
21570	0	4
827	0	4
13	0	4
2680	0	4
65	0	4
6692	0	4
10275	0	4
44913	0	4
55607	0	4
1	1	1
12021	0	4
1933	0	4
5964	0	4
143	0	4
1936	0	4
350	0	4
1829	0	4
74486	0	4
1295	0	4
2341	0	4
61736	0	4
13966	0	4
17390	0	4
46923	0	4
2851	0	4
100865	0	4
1910	0	4
2663	0	4
64103	0	4
12283	0	4
87933	0	4
52531	0	4
599	0	4
715	0	4
8896	0	4
12681	0	4
56994	0	4
40950	0	4
11707	0	4
4511	0	4
18753	0	4
96870	0	4
1198	0	4
151	0	4
163	0	4
13821	0	4
69934	0	4
5420	0	4
38	0	4
18823	0	4
3117	0	4
4539	0	4
53	0	4
7377	0	4
11957	0	4
87654	0	4
3229	0	4
28	0	4
844	0	4
71347	0	4
101	0	4
2246	0	4
1444	0	4
3893	0	4
234	0	4
5056	0	4
1434	0	4
526	0	4
858	0	4
75617	0	4
14148	0	4
261	0	4
93	0	4
3867	0	4
2273	0	4
28670	0	4
10651	0	4
1201	0	4
3184	0	4
51	0	4
128	0	4
23854	0	4
23	0	4
15011	0	4
51172	0	4
386	0	4
1057	0	4
4746	0	4
87166	0	4
2648	0	4
569	0	4
851	0	4
99426	0	4
42667	0	4
8681	0	4
12552	0	4
3455	0	4
12515	0	4
10859	0	4
189	0	4
2422	0	4
4638	0	4
36266	0	4
11926	0	4
1613	0	4
89	0	4
82575	0	4
6319	0	4
56075	0	4
16841	0	4
246	0	4
16091	0	4
450	0	4
809	0	4
3964	0	4
15030	0	4
84374	0	4
1663	0	4
2584	0	4
12996	0	4
1	1	1
16835	0	4
3332	0	4
22684	0	4
13693	0	4
5984	0	4
14717	0	4
376	0	4
27264	0	4
11080	0	4
3768	0	4
32310	0	4
3513	0	4
94117	0	4
2841	0	4
14580	0	4
8647	0	4
15010	0	4
53536	0	4
1057	0	4
45739	0	4
74898	0	4
961	0	4
23918	0	4
1	1	1
975	0	4
15744	0	4
11293	0	4
3422	0	4
312	0	4
268	0	4
26535	0	4
4443	0	4
173	0	4
52319	0	4
2200	0	4
15781	0	4
169	0	4
4307	0	4
57511	0	4
3302	0	4
88963	0	4
69670	0	4
44549	0	4
42655	0	4
1182	0	4
57050	0	4
2505	0	4
89593	0	4
82717	0	4
42317	0	4
39986	0	4
14753	0	4
33028	0	4
100	0	4
43433	0	4
523	0	4
5219	0	4
971	0	4
4125	0	4
2421	0	4
2673	0	4
8659	0	4
3727	0	4
23639	0	4
8134	0	4
27431	0	4
6659	0	4
3742	0	4
16892	0	4
2179	0	4
590	0	4
2743	0	4
262	0	4
1	1	1
1010	0	4
36363	0	4
32767	0	4
21789	0	4
85078	0	4
125	0	4
152	0	4
219	0	4
2994	0	4
1408	0	4
239	0	4
73	0	4
1177	0	4
2346	0	4
87453	0	4
15287	0	4
12586	0	4
2514	0	4
57620	0	4
1633	0	4
57173	0	4
17915	0	4
1553	0	4
1030	0	4
149	0	4
5722	0	4
64629	0	4
471	0	4
5	0	4
49	0	4
16282	0	4
13224	0	4
6109	0	4
67878	0	4
4	0	4
6874	0	4
19305	0	4
62431	0	4
14	0	4
87009	0	4
88740	0	4
78564	0	4
68197	0	4
9169	0	4
4	0	4
6234	0	4
318	0	4
1594	0	4
94692	0	4
25	0	4
7	0	4
5740	0	4
1	1	1
24509	0	4
9983	0	4
161	0	4
163	0	4
61189	0	4
9732	0	4
3520	0	4
2	0	2
2776	0	4
40253	0	4
16897	0	4
5677	0	4
3479	0	4
7672	0	4
47499	0	4
14171	0	4
5869	0	4
2447	0	4
953	0	4
15988	0	4
29	0	4
3770	0	4
10518	0	4
46447	0	4
4510	0	4
4222	0	4
1716	0	4
43	0	4
59023	0	4
378	0	4
1646	0	4
46317	0	4
610	0	4
7024	0	4
14908	0	4
61830	0	4
91	0	4
25100	0	4
14437	0	4
3702	0	4
19244	0	4
15945	0	4
71491	0	4
1171	0	4
7945	0	4
16124	0	4
227	0	4
17485	0	4
4627	0	4
101281	0	4
22	0	4
15299	0	4
5035	0	4
27523	0	4
910	0	4
1304	0	4
2	0	2
890	0	4
11039	0	4
18541	0	4
53	0	4
8606	0	4
10568	0	4
19340	0	4
879	0	4
11515	0	4
20537	0	4
374	0	4
14679	0	4
1	1	1
4476	0	4
2057	0	4
9175	0	4
3	0	3
1052	0	4
2387	0	4
10	0	4
2288	0	4
50713	0	4
16242	0	4
205	0	4
2680	0	4
2	0	2
47998	0	4
23348	0	4
18471	0	4
69485	0	4
5455	0	4
3701	0	4
179	0	4
857	0	4
14644	0	4
29332	0	4
3590	0	4
264	0	4
4	0	4
19165	0	4
1666	0	4
4613	0	4
13188	0	4
12008	0	4
1	1	1
6532	0	4
36	0	4
57	0	4
16	0	4
65445	0	4
5183	0	4
1936	0	4
272	0	4
3133	0	4
1492	0	4
38554	0	4
423	0	4
970	0	4
3854	0	4
48418	0	4
518	0	4
2	0	2
12281	0	4
20613	0	4
3427	0	4
4216	0	4
611	0	4
7	0	4
3283	0	4
645	0	4
3346	0	4
2387	0	4
13097	0	4
4025	0	4
865	0	4
7202	0	4
52824	0	4
79596	0	4
581	0	4
51202	0	4
3780	0	4
15085	0	4
82	0	4
53	0	4
40732	0	4
71159	0	4
1657	0	4
153	0	4
23038	0	4
13211	0	4
842	0	4
10133	0	4
12041	0	4
4859	0	4
32149	0	4
2	0	2
14881	0	4
25660	0	4
1500	0	4
1267	0	4
2095	0	4
5	0	4
4032	0	4
3340	0	4
596	0	4
1107	0	4
14280	0	4
1	1	1
706	0	4
96	0	4
7771	0	4
7	0	4
3969	0	4
57872	0	4
750	0	4
26689	0	4
37215	0	4
225	0	4
18	0	4
34248	0	4
28303	0	4
90138	0	4
1732	0	4
50143	0	4
12148	0	4
11384	0	4
363	0	4
41262	0	4
1512	0	4
465	0	4
32722	0	4
296	0	4
9254	0	4
8422	0	4
7477	0	4
24333	0	4
631	0	4
231	0	4
61700	0	4
18719	0	4
5074	0	4
1	1	1
793	0	4
3177	0	4
39	0	4
10007	0	4
333	0	4
7	0	4
16995	0	4
5347	0	4
19841	0	4
4934	0	4
4971	0	4
102	0	4
100490	0	4
26922	0	4
56	0	4
86610	0	4
4759	0	4
1406	0	4
52	0	4
6392	0	4
12529	0	4
1	1	1
19035	0	4
1377	0	4
68499	0	4
59028	0	4
72983	0	4
10940	0	4
1612	0	4
48	0	4
30722	0	4
52	0	4
16846	0	4
4724	0	4
246	0	4
3	0	3
7615	0	4
10799	0	4
11876	0	4
15040	0	4
26	0	4
26732	0	4
108	0	4
9	0	4
101435	0	4
8332	0	4
8300	0	4
44365	0	4
1114	0	4
33854	0	4
8	0	4
95	0	4
2067	0	4
4	0	4
17940	0	4
3769	0	4
73470	0	4
1232	0	4
15928	0	4
72709	0	4
6300	0	4
12688	0	4
22491	0	4
80	0	4
58	0	4
18149	0	4
30237	0	4
1	1	1
443	0	4
4001	0	4
27069	0	4
478	0	4
18740	0	4
26834	0	4
3037	0	4
2	0	2
4217	0	4
5177	0	4
50	0	4
2587	0	4
10630	0	4
26525	0	4
2771	0	4
1815	0	4
11700	0	4
9	0	4
12409	0	4
3	0	3
55886	0	4
13	0	4
63870	0	4
39544	0	4
965	0	4
7437	0	4
77	0	4
20092	0	4
101023	0	4
58245	0	4
1667	0	4
51189	0	4
14053	0	4
3242	0	4
1324	0	4
5006	0	4
437	0	4
53142	0	4
7366	0	4
411	0	4
44380	0	4
3251	0	4
15293	0	4
3	0	3
1251	0	4
32619	0	4
13250	0	4
1901	0	4
6836	0	4
1849	0	4
252	0	4
91046	0	4
8185	0	4
20817	0	4
2469	0	4
19001	0	4
14	0	4
1	1	1
17744	0	4
18	0	4
94110	0	4
862	0	4
2424	0	4
90262	0	4
17852	0	4
8944	0	4
10614	0	4
38802	0	4
4758	0	4
7463	0	4
522	0	4
868	0	4
2552	0	4
1	1	1
7	0	4
1587	0	4
4995	0	4
6769	0	4
61590	0	4
89307	0	4
88017	0	4
247	0	4
1054	0	4
4688	0	4
95171	0	4
1434	0	4
808	0	4
5810	0	4
54	0	4
94137	0	4
44293	0	4
7312	0	4
2279	0	4
5170	0	4
55954	0	4
66900	0	4
1780	0	4
84437	0	4
469	0	4
14312	0	4
1084	0	4
1188	0	4
12273	0	4
5787	0	4
23736	0	4
1	1	1
84956	0	4
11503	0	4
6700	0	4
77259	0	4
33531	0	4
26	0	4
4205	0	4
49	0	4
