Result	Accuracy	Rank
31252	0	4
4594	0	4
1	1	1
90325	0	4
76	0	4
1551	0	4
15785	0	4
1216	0	4
84	0	4
2548	0	4
48285	0	4
348	0	4
335	0	4
7	0	4
171	0	4
4635	0	4
75758	0	4
1050	0	4
3674	0	4
2513	0	4
21	0	4
15924	0	4
19167	0	4
36063	0	4
21247	0	4
70495	0	4
533	0	4
12475	0	4
127	0	4
25	0	4
63257	0	4
2227	0	4
41758	0	4
2389	0	4
66	0	4
4047	0	4
1226	0	4
12611	0	4
4906	0	4
71125	0	4
13935	0	4
19586	0	4
6496	0	4
19567	0	4
1273	0	4
12600	0	4
73366	0	4
61966	0	4
2745	0	4
9633	0	4
419	0	4
2653	0	4
21307	0	4
542	0	4
2068	0	4
44	0	4
7	0	4
852	0	4
11482	0	4
7263	0	4
2	0	2
1	1	1
2120	0	4
64611	0	4
2	0	2
4	0	4
12684	0	4
91103	0	4
82	0	4
295	0	4
102	0	4
18	0	4
62	0	4
2	0	2
1	1	1
4334	0	4
260	0	4
101290	0	4
3211	0	4
6592	0	4
3	0	3
3205	0	4
8340	0	4
412	0	4
15235	0	4
5014	0	4
61047	0	4
2649	0	4
2562	0	4
42	0	4
1230	0	4
2158	0	4
1402	0	4
10860	0	4
9893	0	4
42515	0	4
482	0	4
30977	0	4
6	0	4
65955	0	4
1866	0	4
2628	0	4
30526	0	4
42	0	4
37	0	4
3746	0	4
21	0	4
1	1	1
4279	0	4
63	0	4
11	0	4
2181	0	4
19	0	4
1768	0	4
6023	0	4
4976	0	4
212	0	4
966	0	4
284	0	4
7683	0	4
8637	0	4
4360	0	4
31012	0	4
5181	0	4
7	0	4
22	0	4
1375	0	4
2	0	2
11152	0	4
184	0	4
90474	0	4
374	0	4
2953	0	4
19409	0	4
68329	0	4
673	0	4
63777	0	4
29	0	4
63713	0	4
34	0	4
104	0	4
7353	0	4
12539	0	4
143	0	4
13581	0	4
38747	0	4
2735	0	4
21873	0	4
10606	0	4
12	0	4
1	1	1
14057	0	4
88834	0	4
55529	0	4
98	0	4
16724	0	4
58106	0	4
84264	0	4
20040	0	4
119	0	4
59544	0	4
445	0	4
26379	0	4
3147	0	4
1	1	1
58113	0	4
152	0	4
14600	0	4
24736	0	4
8405	0	4
40	0	4
6	0	4
7042	0	4
588	0	4
3116	0	4
5787	0	4
24238	0	4
2802	0	4
84	0	4
3683	0	4
143	0	4
4	0	4
10932	0	4
631	0	4
56560	0	4
6603	0	4
1	1	1
17819	0	4
5849	0	4
95	0	4
1990	0	4
197	0	4
179	0	4
3027	0	4
44054	0	4
14790	0	4
1	1	1
21833	0	4
346	0	4
120	0	4
3	0	3
4346	0	4
3550	0	4
73517	0	4
300	0	4
93402	0	4
308	0	4
4922	0	4
2408	0	4
189	0	4
3318	0	4
5895	0	4
1	1	1
133	0	4
5818	0	4
65536	0	4
10594	0	4
1	1	1
11105	0	4
35033	0	4
4830	0	4
7190	0	4
36632	0	4
522	0	4
119	0	4
20320	0	4
1	1	1
31699	0	4
3	0	3
708	0	4
377	0	4
1	1	1
29498	0	4
28367	0	4
4	0	4
9825	0	4
6715	0	4
8268	0	4
20793	0	4
26	0	4
15	0	4
11	0	4
56774	0	4
15	0	4
24141	0	4
38711	0	4
9	0	4
3514	0	4
26004	0	4
5052	0	4
99741	0	4
110	0	4
10	0	4
4969	0	4
7322	0	4
92233	0	4
43042	0	4
18	0	4
10	0	4
4414	0	4
1325	0	4
40343	0	4
18707	0	4
8099	0	4
1152	0	4
21516	0	4
97567	0	4
10468	0	4
10642	0	4
5	0	4
12400	0	4
54869	0	4
