Result	Accuracy	Rank
96082	0	4
9	0	4
6	0	4
76708	0	4
1034	0	4
26012	0	4
16619	0	4
1299	0	4
7468	0	4
1398	0	4
44344	0	4
24	0	4
8965	0	4
29	0	4
1408	0	4
249	0	4
57685	0	4
9537	0	4
5	0	4
15	0	4
2267	0	4
109	0	4
26469	0	4
7966	0	4
32057	0	4
64548	0	4
10341	0	4
90405	0	4
19	0	4
5266	0	4
50015	0	4
528	0	4
31791	0	4
2583	0	4
6524	0	4
5781	0	4
451	0	4
11	0	4
1582	0	4
45204	0	4
26549	0	4
233	0	4
1086	0	4
2	0	2
17024	0	4
30893	0	4
101191	0	4
99554	0	4
121	0	4
17720	0	4
541	0	4
618	0	4
10621	0	4
491	0	4
14	0	4
4	0	4
39	0	4
869	0	4
28609	0	4
155	0	4
15620	0	4
1	1	1
4763	0	4
88534	0	4
3	0	3
7	0	4
2	0	2
96228	0	4
387	0	4
101	0	4
1654	0	4
9830	0	4
35	0	4
8171	0	4
3318	0	4
37991	0	4
1742	0	4
44842	0	4
15841	0	4
15658	0	4
1	1	1
14490	0	4
82447	0	4
6186	0	4
281	0	4
1956	0	4
44439	0	4
8041	0	4
23	0	4
32	0	4
19	0	4
343	0	4
14782	0	4
315	0	4
5	0	4
58018	0	4
71990	0	4
6364	0	4
2012	0	4
7834	0	4
5338	0	4
8307	0	4
11253	0	4
4984	0	4
4311	0	4
16242	0	4
13826	0	4
6742	0	4
3137	0	4
15209	0	4
293	0	4
6984	0	4
213	0	4
1621	0	4
2820	0	4
7558	0	4
122	0	4
11479	0	4
2615	0	4
12651	0	4
15953	0	4
16571	0	4
37082	0	4
1657	0	4
453	0	4
61	0	4
8909	0	4
430	0	4
26768	0	4
2	0	2
67883	0	4
58361	0	4
32529	0	4
46231	0	4
62522	0	4
24759	0	4
101474	0	4
3169	0	4
4298	0	4
10118	0	4
4	0	4
1722	0	4
10493	0	4
17558	0	4
738	0	4
50977	0	4
20085	0	4
36638	0	4
5955	0	4
4477	0	4
5	0	4
4050	0	4
55729	0	4
74678	0	4
275	0	4
93640	0	4
97615	0	4
55762	0	4
14713	0	4
3	0	3
47929	0	4
21060	0	4
99665	0	4
2627	0	4
493	0	4
42743	0	4
3938	0	4
1652	0	4
94099	0	4
3037	0	4
10334	0	4
597	0	4
46954	0	4
624	0	4
231	0	4
6121	0	4
9360	0	4
12247	0	4
1977	0	4
2689	0	4
5140	0	4
43	0	4
14703	0	4
9	0	4
101277	0	4
11760	0	4
4	0	4
1633	0	4
2024	0	4
711	0	4
33795	0	4
1	1	1
739	0	4
9	0	4
98484	0	4
25651	0	4
921	0	4
13048	0	4
6138	0	4
263	0	4
17	0	4
1	1	1
8866	0	4
72514	0	4
112	0	4
68798	0	4
12208	0	4
97369	0	4
22081	0	4
44904	0	4
330	0	4
6974	0	4
3	0	3
1347	0	4
7331	0	4
62490	0	4
3565	0	4
9481	0	4
47758	0	4
52117	0	4
16062	0	4
4925	0	4
52800	0	4
15303	0	4
1845	0	4
99004	0	4
1040	0	4
1	1	1
15517	0	4
1050	0	4
119	0	4
639	0	4
92061	0	4
98471	0	4
1759	0	4
7	0	4
1493	0	4
7763	0	4
1742	0	4
473	0	4
2	0	2
8	0	4
44017	0	4
3551	0	4
184	0	4
36033	0	4
1541	0	4
19055	0	4
85492	0	4
16171	0	4
67166	0	4
268	0	4
67	0	4
50689	0	4
8559	0	4
61116	0	4
89871	0	4
1	1	1
3579	0	4
6876	0	4
20590	0	4
17850	0	4
24071	0	4
4054	0	4
341	0	4
16320	0	4
96762	0	4
646	0	4
9	0	4
8757	0	4
8394	0	4
55686	0	4
1916	0	4
1095	0	4
5	0	4
3631	0	4
1	1	1
1775	0	4
52	0	4
23558	0	4
100759	0	4
5301	0	4
9	0	4
1123	0	4
88525	0	4
2888	0	4
24800	0	4
1390	0	4
10	0	4
1	1	1
2193	0	4
8	0	4
1805	0	4
230	0	4
48136	0	4
76826	0	4
9151	0	4
1703	0	4
286	0	4
8046	0	4
32662	0	4
4560	0	4
3584	0	4
9978	0	4
4646	0	4
431	0	4
63051	0	4
1455	0	4
93360	0	4
60335	0	4
840	0	4
1387	0	4
1133	0	4
63242	0	4
2215	0	4
6113	0	4
343	0	4
79643	0	4
99201	0	4
1391	0	4
4841	0	4
10622	0	4
11121	0	4
9096	0	4
38097	0	4
3634	0	4
17828	0	4
33483	0	4
11260	0	4
4450	0	4
1229	0	4
64689	0	4
22523	0	4
36183	0	4
24278	0	4
15924	0	4
16281	0	4
1910	0	4
11	0	4
5738	0	4
11105	0	4
73222	0	4
1036	0	4
15313	0	4
14588	0	4
4119	0	4
82	0	4
47	0	4
93520	0	4
605	0	4
3266	0	4
8633	0	4
199	0	4
16996	0	4
1430	0	4
5415	0	4
38463	0	4
2	0	2
62925	0	4
108	0	4
12606	0	4
969	0	4
15632	0	4
52558	0	4
626	0	4
37999	0	4
80570	0	4
271	0	4
26529	0	4
13942	0	4
1804	0	4
2738	0	4
4152	0	4
3359	0	4
5817	0	4
45527	0	4
38307	0	4
1	1	1
5298	0	4
58816	0	4
7097	0	4
2512	0	4
11924	0	4
14019	0	4
96680	0	4
3151	0	4
90666	0	4
53223	0	4
58059	0	4
50441	0	4
608	0	4
26061	0	4
358	0	4
94080	0	4
51761	0	4
43185	0	4
21038	0	4
42247	0	4
33453	0	4
5689	0	4
54917	0	4
7618	0	4
14146	0	4
31863	0	4
403	0	4
16	0	4
4165	0	4
