Result	Accuracy	Rank
100803	0	4
6591	0	4
53	0	4
72688	0	4
13890	0	4
484	0	4
19059	0	4
25	0	4
26	0	4
6	0	4
29423	0	4
359	0	4
17584	0	4
2103	0	4
48	0	4
11597	0	4
28150	0	4
1	1	1
544	0	4
206	0	4
294	0	4
1	1	1
33830	0	4
26	0	4
100168	0	4
62003	0	4
3901	0	4
22434	0	4
599	0	4
1979	0	4
42266	0	4
13909	0	4
33907	0	4
5235	0	4
7767	0	4
867	0	4
97	0	4
3	0	3
1	1	1
65452	0	4
53895	0	4
15731	0	4
7081	0	4
57	0	4
8930	0	4
13032	0	4
101587	0	4
50687	0	4
979	0	4
9870	0	4
5	0	4
3	0	3
12447	0	4
2393	0	4
10	0	4
125	0	4
2	0	2
2203	0	4
28246	0	4
91	0	4
9079	0	4
114	0	4
431	0	4
96990	0	4
198	0	4
41	0	4
20310	0	4
31406	0	4
2144	0	4
8805	0	4
2023	0	4
41	0	4
12431	0	4
651	0	4
3	0	3
7508	0	4
8244	0	4
96268	0	4
495	0	4
21624	0	4
2	0	2
24373	0	4
61811	0	4
5795	0	4
11033	0	4
739	0	4
38750	0	4
6169	0	4
3435	0	4
104	0	4
45	0	4
250	0	4
1017	0	4
56939	0	4
7613	0	4
17167	0	4
421	0	4
55	0	4
8891	0	4
23	0	4
483	0	4
1837	0	4
25627	0	4
18351	0	4
4	0	4
2998	0	4
51	0	4
3	0	3
3514	0	4
4093	0	4
183	0	4
1931	0	4
38	0	4
1	1	1
154	0	4
7853	0	4
1039	0	4
13536	0	4
590	0	4
6334	0	4
647	0	4
4889	0	4
53518	0	4
32223	0	4
3	0	3
3	0	3
170	0	4
2009	0	4
22026	0	4
1777	0	4
48297	0	4
3656	0	4
2368	0	4
40301	0	4
46980	0	4
2528	0	4
42826	0	4
7896	0	4
9847	0	4
2982	0	4
4	0	4
2527	0	4
100531	0	4
1783	0	4
3078	0	4
39563	0	4
12	0	4
19404	0	4
10054	0	4
1669	0	4
8542	0	4
75	0	4
10365	0	4
31854	0	4
16	0	4
92461	0	4
31507	0	4
88580	0	4
17988	0	4
14256	0	4
55510	0	4
2587	0	4
53299	0	4
1323	0	4
21	0	4
5424	0	4
11050	0	4
12309	0	4
59985	0	4
10499	0	4
3403	0	4
83	0	4
31565	0	4
4971	0	4
8002	0	4
873	0	4
148	0	4
3943	0	4
219	0	4
342	0	4
1196	0	4
8917	0	4
21106	0	4
19	0	4
40606	0	4
11824	0	4
2	0	2
245	0	4
14245	0	4
1526	0	4
10234	0	4
2	0	2
61	0	4
48	0	4
50862	0	4
16843	0	4
14	0	4
9	0	4
1007	0	4
5	0	4
1	1	1
11257	0	4
6424	0	4
91660	0	4
643	0	4
63318	0	4
2	0	2
11135	0	4
216	0	4
19479	0	4
6827	0	4
11024	0	4
42	0	4
6182	0	4
4416	0	4
95825	0	4
33337	0	4
1914	0	4
28749	0	4
43672	0	4
8512	0	4
79	0	4
20110	0	4
19	0	4
72	0	4
27260	0	4
76881	0	4
10215	0	4
1	1	1
26	0	4
13	0	4
10816	0	4
33469	0	4
74364	0	4
49	0	4
16613	0	4
8388	0	4
13130	0	4
5	0	4
574	0	4
2146	0	4
9461	0	4
65735	0	4
1	1	1
280	0	4
24917	0	4
549	0	4
14919	0	4
24728	0	4
3849	0	4
93538	0	4
38	0	4
2109	0	4
51280	0	4
22	0	4
47871	0	4
17481	0	4
9782	0	4
2920	0	4
13541	0	4
13935	0	4
41043	0	4
72961	0	4
7712	0	4
755	0	4
15771	0	4
54800	0	4
3472	0	4
3408	0	4
1	1	1
2962	0	4
133	0	4
7	0	4
3971	0	4
1	1	1
538	0	4
99	0	4
13624	0	4
18633	0	4
13003	0	4
60792	0	4
2455	0	4
82	0	4
115	0	4
52691	0	4
42	0	4
76	0	4
1380	0	4
5	0	4
1	1	1
165	0	4
12251	0	4
9464	0	4
150	0	4
70608	0	4
16276	0	4
2945	0	4
1	1	1
8578	0	4
224	0	4
18441	0	4
24512	0	4
7510	0	4
6465	0	4
9918	0	4
7785	0	4
2	0	2
4	0	4
11812	0	4
17255	0	4
348	0	4
12594	0	4
35201	0	4
92204	0	4
466	0	4
9630	0	4
1207	0	4
70590	0	4
5191	0	4
9	0	4
468	0	4
488	0	4
5302	0	4
11482	0	4
14970	0	4
56277	0	4
9734	0	4
14193	0	4
26	0	4
6594	0	4
1	1	1
31962	0	4
1	1	1
89456	0	4
56	0	4
6030	0	4
284	0	4
5635	0	4
1093	0	4
523	0	4
26257	0	4
94080	0	4
4559	0	4
41	0	4
113	0	4
57	0	4
29839	0	4
13767	0	4
101396	0	4
229	0	4
11032	0	4
3	0	3
8	0	4
14453	0	4
1620	0	4
76	0	4
29895	0	4
6310	0	4
51074	0	4
15500	0	4
8615	0	4
17023	0	4
11486	0	4
51607	0	4
115	0	4
44085	0	4
41744	0	4
231	0	4
3322	0	4
3701	0	4
490	0	4
7016	0	4
6	0	4
248	0	4
14823	0	4
7356	0	4
16199	0	4
514	0	4
1996	0	4
59030	0	4
1004	0	4
19148	0	4
13	0	4
27079	0	4
41661	0	4
6911	0	4
47832	0	4
85592	0	4
29551	0	4
17042	0	4
19530	0	4
66055	0	4
678	0	4
51080	0	4
51325	0	4
62876	0	4
66583	0	4
5	0	4
50019	0	4
4400	0	4
95979	0	4
8339	0	4
1	1	1
1298	0	4
1261	0	4
2	0	2
3813	0	4
3940	0	4
510	0	4
31885	0	4
645	0	4
11078	0	4
33	0	4
893	0	4
3535	0	4
5	0	4
1	1	1
13853	0	4
65	0	4
33	0	4
6012	0	4
47746	0	4
45066	0	4
63420	0	4
83316	0	4
8651	0	4
121	0	4
175	0	4
1755	0	4
1881	0	4
57008	0	4
42	0	4
15119	0	4
770	0	4
81194	0	4
10999	0	4
3127	0	4
1928	0	4
53717	0	4
70	0	4
19613	0	4
13094	0	4
23090	0	4
188	0	4
1733	0	4
7826	0	4
50468	0	4
288	0	4
5	0	4
102	0	4
3423	0	4
445	0	4
1595	0	4
78683	0	4
5835	0	4
235	0	4
38367	0	4
94898	0	4
1	1	1
87410	0	4
45607	0	4
43295	0	4
39033	0	4
975	0	4
672	0	4
726	0	4
505	0	4
260	0	4
52102	0	4
1246	0	4
2743	0	4
1414	0	4
179	0	4
48662	0	4
70	0	4
91	0	4
7938	0	4
86629	0	4
9374	0	4
481	0	4
1	1	1
118	0	4
12542	0	4
1	1	1
7781	0	4
1	1	1
136	0	4
2005	0	4
6361	0	4
13099	0	4
44367	0	4
20	0	4
13236	0	4
900	0	4
1986	0	4
214	0	4
40415	0	4
2034	0	4
18509	0	4
27	0	4
27	0	4
35215	0	4
20	0	4
6501	0	4
19372	0	4
10478	0	4
108	0	4
28175	0	4
99520	0	4
22909	0	4
55032	0	4
9681	0	4
4504	0	4
132	0	4
1669	0	4
36686	0	4
4754	0	4
9062	0	4
384	0	4
5	0	4
7006	0	4
6170	0	4
78118	0	4
10463	0	4
5	0	4
11718	0	4
71300	0	4
6155	0	4
202	0	4
29	0	4
21302	0	4
13597	0	4
371	0	4
1458	0	4
13223	0	4
17743	0	4
98691	0	4
8012	0	4
764	0	4
46020	0	4
5696	0	4
860	0	4
309	0	4
1443	0	4
15	0	4
4863	0	4
12138	0	4
3496	0	4
246	0	4
3656	0	4
600	0	4
14368	0	4
7042	0	4
10611	0	4
28232	0	4
600	0	4
41194	0	4
49509	0	4
42561	0	4
98809	0	4
49	0	4
9127	0	4
1220	0	4
2826	0	4
1214	0	4
22026	0	4
64	0	4
1181	0	4
11121	0	4
20028	0	4
5807	0	4
4385	0	4
952	0	4
2	0	2
3	0	3
5058	0	4
834	0	4
8318	0	4
11	0	4
90288	0	4
6792	0	4
1548	0	4
9	0	4
6907	0	4
31479	0	4
23021	0	4
14504	0	4
101	0	4
23785	0	4
29629	0	4
630	0	4
5862	0	4
457	0	4
44586	0	4
3649	0	4
1	1	1
4134	0	4
4	0	4
9563	0	4
13677	0	4
3467	0	4
7114	0	4
725	0	4
5134	0	4
70	0	4
646	0	4
12262	0	4
78398	0	4
4876	0	4
73039	0	4
1411	0	4
1499	0	4
23	0	4
620	0	4
92327	0	4
60821	0	4
39	0	4
19	0	4
33626	0	4
27612	0	4
1180	0	4
6664	0	4
4032	0	4
84394	0	4
53685	0	4
479	0	4
130	0	4
26664	0	4
18507	0	4
6185	0	4
120	0	4
24	0	4
5678	0	4
9619	0	4
4010	0	4
6014	0	4
190	0	4
3	0	3
227	0	4
142	0	4
26	0	4
472	0	4
16815	0	4
18609	0	4
1874	0	4
39244	0	4
56516	0	4
65701	0	4
2171	0	4
60437	0	4
22987	0	4
32347	0	4
22592	0	4
35144	0	4
36	0	4
8118	0	4
11341	0	4
41091	0	4
14061	0	4
1580	0	4
16042	0	4
224	0	4
10653	0	4
193	0	4
6695	0	4
20706	0	4
1220	0	4
28881	0	4
37583	0	4
30868	0	4
18733	0	4
1	1	1
3	0	3
1615	0	4
18	0	4
547	0	4
10895	0	4
5801	0	4
2	0	2
5186	0	4
594	0	4
4887	0	4
379	0	4
1239	0	4
85927	0	4
36711	0	4
15090	0	4
45636	0	4
7737	0	4
9334	0	4
124	0	4
18248	0	4
329	0	4
5971	0	4
975	0	4
4032	0	4
26259	0	4
97291	0	4
76967	0	4
24351	0	4
13689	0	4
6565	0	4
18362	0	4
9810	0	4
3138	0	4
148	0	4
1652	0	4
5645	0	4
1545	0	4
7330	0	4
18	0	4
362	0	4
9197	0	4
40760	0	4
5334	0	4
2310	0	4
84162	0	4
73	0	4
4941	0	4
13533	0	4
3431	0	4
28767	0	4
1971	0	4
681	0	4
8837	0	4
4538	0	4
2450	0	4
4511	0	4
27761	0	4
63	0	4
5111	0	4
30795	0	4
2772	0	4
2576	0	4
55406	0	4
95463	0	4
11578	0	4
9993	0	4
32849	0	4
6790	0	4
441	0	4
14982	0	4
469	0	4
19895	0	4
9971	0	4
24865	0	4
1220	0	4
22	0	4
19396	0	4
887	0	4
8343	0	4
477	0	4
71	0	4
86799	0	4
7602	0	4
11774	0	4
1231	0	4
4927	0	4
6185	0	4
1	1	1
49922	0	4
9821	0	4
51616	0	4
40543	0	4
718	0	4
12662	0	4
102	0	4
20895	0	4
90328	0	4
80510	0	4
5769	0	4
16365	0	4
31988	0	4
2	0	2
4712	0	4
557	0	4
11640	0	4
72214	0	4
3116	0	4
386	0	4
15431	0	4
5020	0	4
35151	0	4
13	0	4
25586	0	4
69787	0	4
26213	0	4
90	0	4
9784	0	4
1119	0	4
9730	0	4
81248	0	4
283	0	4
16171	0	4
4349	0	4
7249	0	4
72	0	4
22	0	4
931	0	4
389	0	4
29460	0	4
819	0	4
10305	0	4
78327	0	4
14937	0	4
430	0	4
662	0	4
11229	0	4
10590	0	4
2807	0	4
10204	0	4
44580	0	4
4530	0	4
7727	0	4
14485	0	4
18	0	4
330	0	4
795	0	4
85533	0	4
59103	0	4
55711	0	4
2961	0	4
11	0	4
25	0	4
67271	0	4
1957	0	4
4851	0	4
2034	0	4
44	0	4
64207	0	4
40913	0	4
4391	0	4
13652	0	4
4071	0	4
85011	0	4
10919	0	4
222	0	4
60806	0	4
253	0	4
7767	0	4
7	0	4
1145	0	4
206	0	4
594	0	4
7883	0	4
35	0	4
44155	0	4
13935	0	4
3318	0	4
33724	0	4
1043	0	4
8	0	4
48	0	4
237	0	4
5	0	4
4156	0	4
13776	0	4
25601	0	4
12472	0	4
28564	0	4
28	0	4
220	0	4
12	0	4
27873	0	4
11714	0	4
46024	0	4
18465	0	4
32780	0	4
9472	0	4
12220	0	4
29893	0	4
667	0	4
370	0	4
2	0	2
15052	0	4
44479	0	4
5719	0	4
78980	0	4
8904	0	4
24694	0	4
20160	0	4
1	1	1
83665	0	4
337	0	4
1	1	1
1621	0	4
12069	0	4
91161	0	4
462	0	4
24	0	4
63934	0	4
462	0	4
39022	0	4
32958	0	4
58	0	4
3516	0	4
46	0	4
28021	0	4
14	0	4
43	0	4
17990	0	4
358	0	4
35871	0	4
64059	0	4
11924	0	4
26025	0	4
24034	0	4
35385	0	4
187	0	4
1	1	1
67828	0	4
91988	0	4
9308	0	4
5360	0	4
3749	0	4
332	0	4
3517	0	4
32822	0	4
6796	0	4
26633	0	4
7744	0	4
2	0	2
11740	0	4
15043	0	4
12908	0	4
15239	0	4
17699	0	4
279	0	4
348	0	4
2317	0	4
