Result	Accuracy	Rank
33413	0	4
29987	0	4
13840	0	4
38281	0	4
445	0	4
4080	0	4
92	0	4
17547	0	4
54246	0	4
3452	0	4
3928	0	4
9519	0	4
7664	0	4
1041	0	4
12067	0	4
1534	0	4
30150	0	4
25	0	4
9245	0	4
79	0	4
2070	0	4
480	0	4
7611	0	4
950	0	4
59076	0	4
49128	0	4
7074	0	4
22181	0	4
14758	0	4
34242	0	4
12301	0	4
6768	0	4
39907	0	4
57832	0	4
11582	0	4
69857	0	4
251	0	4
91476	0	4
60999	0	4
52371	0	4
62501	0	4
34448	0	4
61565	0	4
13579	0	4
96677	0	4
3244	0	4
51340	0	4
28098	0	4
41832	0	4
53415	0	4
6	0	4
41650	0	4
10380	0	4
38753	0	4
10977	0	4
2	0	2
11064	0	4
74573	0	4
3897	0	4
5902	0	4
100107	0	4
97709	0	4
3066	0	4
21207	0	4
718	0	4
25361	0	4
9348	0	4
75370	0	4
8840	0	4
22804	0	4
16326	0	4
64693	0	4
87257	0	4
16130	0	4
4078	0	4
95740	0	4
6422	0	4
7500	0	4
85089	0	4
192	0	4
76182	0	4
55831	0	4
7034	0	4
56947	0	4
54445	0	4
26498	0	4
97859	0	4
70251	0	4
14795	0	4
51527	0	4
4557	0	4
58365	0	4
35548	0	4
32365	0	4
1043	0	4
38543	0	4
78878	0	4
24141	0	4
15024	0	4
2001	0	4
16118	0	4
64423	0	4
22012	0	4
19596	0	4
52009	0	4
8774	0	4
24147	0	4
9480	0	4
15606	0	4
59836	0	4
5900	0	4
86607	0	4
58883	0	4
8247	0	4
103	0	4
1280	0	4
66957	0	4
2778	0	4
9445	0	4
15469	0	4
20115	0	4
3326	0	4
16849	0	4
2464	0	4
11507	0	4
21391	0	4
595	0	4
32130	0	4
30059	0	4
99657	0	4
323	0	4
30906	0	4
97384	0	4
58287	0	4
14492	0	4
22361	0	4
31446	0	4
31516	0	4
5189	0	4
67612	0	4
13278	0	4
8103	0	4
255	0	4
1477	0	4
66155	0	4
42346	0	4
1159	0	4
53257	0	4
67898	0	4
47290	0	4
2	0	2
35250	0	4
85892	0	4
46053	0	4
42799	0	4
28876	0	4
38941	0	4
70551	0	4
14741	0	4
7227	0	4
78688	0	4
1751	0	4
46300	0	4
15395	0	4
76660	0	4
347	0	4
21012	0	4
26185	0	4
2350	0	4
37883	0	4
11194	0	4
88834	0	4
24118	0	4
57327	0	4
26480	0	4
51438	0	4
20607	0	4
13419	0	4
13454	0	4
53726	0	4
50	0	4
31944	0	4
92734	0	4
60588	0	4
62471	0	4
46262	0	4
444	0	4
1	1	1
72914	0	4
1788	0	4
92123	0	4
161	0	4
19114	0	4
3618	0	4
24595	0	4
37959	0	4
6481	0	4
1	1	1
50658	0	4
7265	0	4
5	0	4
38552	0	4
31111	0	4
64124	0	4
41849	0	4
72258	0	4
55739	0	4
61206	0	4
30511	0	4
9761	0	4
87402	0	4
43064	0	4
7661	0	4
42600	0	4
18565	0	4
15442	0	4
7299	0	4
8172	0	4
57985	0	4
78411	0	4
5226	0	4
5495	0	4
54064	0	4
2736	0	4
19237	0	4
6243	0	4
80723	0	4
1269	0	4
3591	0	4
18956	0	4
55128	0	4
803	0	4
40392	0	4
86814	0	4
16240	0	4
32337	0	4
80289	0	4
16104	0	4
20357	0	4
57366	0	4
86159	0	4
66498	0	4
25244	0	4
96527	0	4
777	0	4
6529	0	4
28209	0	4
15821	0	4
1229	0	4
4938	0	4
650	0	4
49421	0	4
24271	0	4
99849	0	4
89347	0	4
91869	0	4
54693	0	4
1	1	1
67136	0	4
23585	0	4
8433	0	4
86752	0	4
50814	0	4
91529	0	4
21553	0	4
11385	0	4
22056	0	4
33152	0	4
67843	0	4
3279	0	4
91196	0	4
39093	0	4
62030	0	4
26525	0	4
28079	0	4
6054	0	4
12161	0	4
18316	0	4
10944	0	4
30889	0	4
56789	0	4
74	0	4
58373	0	4
1488	0	4
12938	0	4
185	0	4
18246	0	4
61122	0	4
7341	0	4
2666	0	4
16899	0	4
11233	0	4
20748	0	4
35560	0	4
77458	0	4
67876	0	4
58399	0	4
5042	0	4
52455	0	4
11626	0	4
17704	0	4
63054	0	4
16182	0	4
40312	0	4
46441	0	4
3197	0	4
36056	0	4
9655	0	4
28759	0	4
35885	0	4
10452	0	4
3179	0	4
24919	0	4
44206	0	4
64016	0	4
59691	0	4
77176	0	4
49335	0	4
79158	0	4
1545	0	4
54697	0	4
55680	0	4
6890	0	4
73350	0	4
21999	0	4
24432	0	4
12588	0	4
25533	0	4
75204	0	4
178	0	4
76720	0	4
186	0	4
1882	0	4
8809	0	4
58527	0	4
42824	0	4
66764	0	4
82944	0	4
2929	0	4
1984	0	4
9878	0	4
22378	0	4
50	0	4
62002	0	4
102	0	4
385	0	4
4618	0	4
10855	0	4
3504	0	4
2474	0	4
24135	0	4
81546	0	4
2381	0	4
7529	0	4
1157	0	4
86661	0	4
43775	0	4
15346	0	4
61277	0	4
31305	0	4
92031	0	4
28936	0	4
5911	0	4
90948	0	4
22331	0	4
41345	0	4
4987	0	4
836	0	4
1520	0	4
40880	0	4
14632	0	4
78725	0	4
72469	0	4
41200	0	4
49433	0	4
8202	0	4
23958	0	4
3783	0	4
41181	0	4
146	0	4
3653	0	4
95985	0	4
19607	0	4
4	0	4
3739	0	4
64	0	4
38814	0	4
42793	0	4
82860	0	4
84504	0	4
58608	0	4
67446	0	4
45232	0	4
31613	0	4
27517	0	4
21117	0	4
68692	0	4
79834	0	4
7047	0	4
57637	0	4
69426	0	4
22059	0	4
21757	0	4
79420	0	4
21469	0	4
51049	0	4
54190	0	4
48490	0	4
10111	0	4
46002	0	4
16073	0	4
56826	0	4
3922	0	4
49555	0	4
9755	0	4
6291	0	4
5135	0	4
36962	0	4
421	0	4
3	0	3
67190	0	4
11229	0	4
10744	0	4
682	0	4
1947	0	4
80	0	4
25762	0	4
394	0	4
3490	0	4
11799	0	4
10694	0	4
45	0	4
1968	0	4
68796	0	4
8977	0	4
15383	0	4
10573	0	4
46	0	4
2875	0	4
54181	0	4
21725	0	4
45843	0	4
7977	0	4
94336	0	4
23949	0	4
72104	0	4
33566	0	4
836	0	4
295	0	4
86702	0	4
119	0	4
62554	0	4
30493	0	4
512	0	4
75035	0	4
78771	0	4
17578	0	4
42400	0	4
1693	0	4
6	0	4
48662	0	4
3276	0	4
57942	0	4
16754	0	4
282	0	4
26918	0	4
83881	0	4
11656	0	4
42428	0	4
6259	0	4
863	0	4
3960	0	4
809	0	4
81110	0	4
97474	0	4
5904	0	4
29183	0	4
83285	0	4
17990	0	4
5602	0	4
38262	0	4
6257	0	4
79674	0	4
97779	0	4
679	0	4
13769	0	4
187	0	4
33	0	4
100738	0	4
28821	0	4
22440	0	4
1012	0	4
12846	0	4
10	0	4
150	0	4
6921	0	4
23061	0	4
4533	0	4
66223	0	4
76762	0	4
21	0	4
15764	0	4
7736	0	4
4450	0	4
3680	0	4
6067	0	4
4153	0	4
71374	0	4
27	0	4
27971	0	4
11052	0	4
62317	0	4
71798	0	4
11450	0	4
19810	0	4
21581	0	4
88258	0	4
251	0	4
28285	0	4
85	0	4
9343	0	4
26034	0	4
75597	0	4
34394	0	4
84650	0	4
73975	0	4
12088	0	4
33149	0	4
6	0	4
27626	0	4
44236	0	4
96744	0	4
31701	0	4
3195	0	4
266	0	4
89702	0	4
60715	0	4
101122	0	4
74421	0	4
43677	0	4
3364	0	4
48539	0	4
111	0	4
14643	0	4
2761	0	4
6339	0	4
1713	0	4
76628	0	4
20116	0	4
75425	0	4
38461	0	4
15211	0	4
23056	0	4
37607	0	4
13613	0	4
4564	0	4
723	0	4
158	0	4
22677	0	4
11024	0	4
1606	0	4
24896	0	4
44009	0	4
12102	0	4
6241	0	4
8104	0	4
27020	0	4
10643	0	4
1770	0	4
4	0	4
25	0	4
858	0	4
2826	0	4
16856	0	4
7471	0	4
66604	0	4
11481	0	4
24102	0	4
2071	0	4
1895	0	4
6649	0	4
6753	0	4
217	0	4
46845	0	4
7688	0	4
96530	0	4
45325	0	4
19324	0	4
2907	0	4
2114	0	4
21522	0	4
2487	0	4
985	0	4
16296	0	4
85796	0	4
3434	0	4
73254	0	4
3	0	3
4930	0	4
80806	0	4
42260	0	4
4984	0	4
50438	0	4
81878	0	4
47639	0	4
2693	0	4
64076	0	4
73206	0	4
15090	0	4
78739	0	4
32884	0	4
16391	0	4
10210	0	4
7646	0	4
4107	0	4
33251	0	4
54917	0	4
66416	0	4
29783	0	4
4436	0	4
1031	0	4
62007	0	4
11692	0	4
38875	0	4
1791	0	4
5	0	4
3225	0	4
74365	0	4
58545	0	4
1349	0	4
63484	0	4
21243	0	4
38679	0	4
14351	0	4
45843	0	4
3041	0	4
44352	0	4
977	0	4
6353	0	4
29422	0	4
1030	0	4
764	0	4
38700	0	4
34355	0	4
19403	0	4
19133	0	4
49503	0	4
100	0	4
7342	0	4
66741	0	4
16124	0	4
51776	0	4
30363	0	4
39781	0	4
59657	0	4
18358	0	4
21014	0	4
72034	0	4
93059	0	4
576	0	4
50034	0	4
17959	0	4
19683	0	4
88035	0	4
99838	0	4
26330	0	4
1	1	1
3085	0	4
42309	0	4
18626	0	4
1308	0	4
739	0	4
11748	0	4
64640	0	4
1316	0	4
5	0	4
14640	0	4
704	0	4
18905	0	4
49224	0	4
48	0	4
3	0	3
3	0	3
10045	0	4
32141	0	4
16615	0	4
29518	0	4
23057	0	4
1351	0	4
48160	0	4
26173	0	4
10126	0	4
82464	0	4
2	0	2
61376	0	4
7597	0	4
24997	0	4
43985	0	4
24146	0	4
33863	0	4
24282	0	4
16809	0	4
38712	0	4
13559	0	4
17709	0	4
6608	0	4
3338	0	4
327	0	4
10070	0	4
33742	0	4
62777	0	4
77988	0	4
22786	0	4
77277	0	4
66306	0	4
80587	0	4
47131	0	4
75423	0	4
42008	0	4
56993	0	4
34274	0	4
16737	0	4
17567	0	4
25869	0	4
3012	0	4
1400	0	4
74468	0	4
1431	0	4
2546	0	4
5385	0	4
24450	0	4
18801	0	4
60386	0	4
58576	0	4
37255	0	4
7427	0	4
20	0	4
42545	0	4
29492	0	4
25046	0	4
15595	0	4
90002	0	4
32247	0	4
2841	0	4
40589	0	4
755	0	4
28506	0	4
54817	0	4
17562	0	4
29113	0	4
47	0	4
21	0	4
3593	0	4
3376	0	4
6602	0	4
7407	0	4
2808	0	4
2394	0	4
20884	0	4
343	0	4
5244	0	4
10887	0	4
1727	0	4
23266	0	4
1244	0	4
31974	0	4
22621	0	4
6	0	4
65599	0	4
21852	0	4
63837	0	4
78130	0	4
24651	0	4
2470	0	4
68311	0	4
1139	0	4
5650	0	4
5876	0	4
13729	0	4
1554	0	4
15640	0	4
2	0	2
5438	0	4
47129	0	4
18133	0	4
1022	0	4
1338	0	4
21791	0	4
8677	0	4
3384	0	4
4498	0	4
5239	0	4
65744	0	4
45273	0	4
85553	0	4
36688	0	4
34640	0	4
29310	0	4
2043	0	4
14369	0	4
70872	0	4
122	0	4
35558	0	4
77305	0	4
10398	0	4
3600	0	4
4150	0	4
997	0	4
8105	0	4
31848	0	4
364	0	4
29812	0	4
28241	0	4
6999	0	4
76425	0	4
4	0	4
69579	0	4
96	0	4
14698	0	4
2348	0	4
48800	0	4
21982	0	4
6583	0	4
1126	0	4
41457	0	4
9723	0	4
17531	0	4
5167	0	4
2364	0	4
17860	0	4
37271	0	4
937	0	4
6650	0	4
2088	0	4
81933	0	4
21	0	4
34809	0	4
82461	0	4
36097	0	4
70969	0	4
12	0	4
24598	0	4
63969	0	4
4689	0	4
58038	0	4
10511	0	4
90031	0	4
3976	0	4
72088	0	4
38300	0	4
31699	0	4
48821	0	4
67275	0	4
8146	0	4
7786	0	4
5561	0	4
96935	0	4
79874	0	4
67537	0	4
68542	0	4
3816	0	4
15	0	4
3048	0	4
20736	0	4
9213	0	4
11973	0	4
27358	0	4
61065	0	4
4255	0	4
2114	0	4
29257	0	4
7184	0	4
35936	0	4
2516	0	4
22173	0	4
46	0	4
460	0	4
64766	0	4
11593	0	4
6325	0	4
1300	0	4
155	0	4
27984	0	4
42040	0	4
4	0	4
11563	0	4
2374	0	4
36685	0	4
29059	0	4
3425	0	4
14137	0	4
359	0	4
2114	0	4
47309	0	4
13570	0	4
60127	0	4
101016	0	4
41125	0	4
18343	0	4
15931	0	4
23393	0	4
100183	0	4
33675	0	4
5955	0	4
4583	0	4
8181	0	4
73501	0	4
27732	0	4
3643	0	4
240	0	4
1910	0	4
20607	0	4
56423	0	4
15783	0	4
17276	0	4
91523	0	4
8660	0	4
2574	0	4
42931	0	4
73261	0	4
32996	0	4
83457	0	4
85868	0	4
61614	0	4
2817	0	4
783	0	4
39659	0	4
56040	0	4
58810	0	4
13903	0	4
40868	0	4
15099	0	4
82901	0	4
14339	0	4
53528	0	4
1138	0	4
52393	0	4
22940	0	4
3507	0	4
9443	0	4
83004	0	4
44358	0	4
64431	0	4
53674	0	4
183	0	4
10015	0	4
20226	0	4
54685	0	4
8267	0	4
12335	0	4
2448	0	4
37545	0	4
1	1	1
609	0	4
505	0	4
2034	0	4
5732	0	4
4063	0	4
5606	0	4
5112	0	4
40501	0	4
9448	0	4
575	0	4
80421	0	4
38272	0	4
38376	0	4
26108	0	4
62225	0	4
4857	0	4
40	0	4
20009	0	4
34370	0	4
63917	0	4
57606	0	4
3739	0	4
3184	0	4
19787	0	4
34310	0	4
17849	0	4
5383	0	4
1454	0	4
14219	0	4
38157	0	4
82649	0	4
44338	0	4
17	0	4
426	0	4
66769	0	4
1	1	1
92774	0	4
44100	0	4
32715	0	4
19975	0	4
93423	0	4
61	0	4
77535	0	4
2901	0	4
71763	0	4
28654	0	4
46300	0	4
81575	0	4
58623	0	4
1740	0	4
37413	0	4
17246	0	4
3	0	3
13408	0	4
94	0	4
21197	0	4
9763	0	4
3	0	3
82	0	4
46462	0	4
63869	0	4
36663	0	4
5999	0	4
37518	0	4
1643	0	4
2909	0	4
32919	0	4
11	0	4
16924	0	4
9724	0	4
47191	0	4
39534	0	4
8839	0	4
66	0	4
73281	0	4
9000	0	4
72308	0	4
36804	0	4
23182	0	4
31651	0	4
18304	0	4
29424	0	4
1978	0	4
184	0	4
67470	0	4
17923	0	4
18458	0	4
278	0	4
26911	0	4
1130	0	4
64810	0	4
19486	0	4
334	0	4
41056	0	4
15	0	4
1161	0	4
73	0	4
61	0	4
17097	0	4
54852	0	4
10354	0	4
14479	0	4
14686	0	4
3939	0	4
6	0	4
4392	0	4
1296	0	4
1177	0	4
10703	0	4
2301	0	4
7741	0	4
116	0	4
45604	0	4
14885	0	4
8558	0	4
54678	0	4
2795	0	4
13277	0	4
20481	0	4
1	1	1
80861	0	4
2569	0	4
84063	0	4
27424	0	4
19635	0	4
52822	0	4
177	0	4
56996	0	4
197	0	4
68779	0	4
46101	0	4
29754	0	4
8862	0	4
47293	0	4
35048	0	4
18	0	4
33110	0	4
14	0	4
18418	0	4
13624	0	4
19691	0	4
2490	0	4
26116	0	4
93150	0	4
18707	0	4
15039	0	4
1093	0	4
51331	0	4
42080	0	4
5055	0	4
14866	0	4
25116	0	4
80478	0	4
727	0	4
66829	0	4
90659	0	4
43643	0	4
24436	0	4
2281	0	4
2811	0	4
329	0	4
10725	0	4
29210	0	4
30885	0	4
1736	0	4
23507	0	4
95493	0	4
21993	0	4
39438	0	4
52373	0	4
93786	0	4
11665	0	4
36163	0	4
7446	0	4
14	0	4
125	0	4
11371	0	4
82770	0	4
10274	0	4
11550	0	4
27	0	4
73361	0	4
18420	0	4
9784	0	4
43225	0	4
8057	0	4
42282	0	4
13199	0	4
9721	0	4
4085	0	4
1662	0	4
38652	0	4
10710	0	4
2243	0	4
19472	0	4
35598	0	4
12573	0	4
35922	0	4
65543	0	4
96423	0	4
38065	0	4
761	0	4
34596	0	4
28217	0	4
87352	0	4
38379	0	4
2713	0	4
1300	0	4
2132	0	4
3078	0	4
51405	0	4
2767	0	4
85030	0	4
16438	0	4
19853	0	4
94708	0	4
65451	0	4
99829	0	4
62593	0	4
5293	0	4
23923	0	4
42358	0	4
6899	0	4
40201	0	4
25041	0	4
680	0	4
13110	0	4
86142	0	4
94862	0	4
235	0	4
20796	0	4
35252	0	4
4	0	4
12292	0	4
52561	0	4
26910	0	4
662	0	4
21932	0	4
4619	0	4
83509	0	4
685	0	4
11437	0	4
8039	0	4
96289	0	4
31312	0	4
107	0	4
32565	0	4
17921	0	4
67681	0	4
15532	0	4
255	0	4
48618	0	4
3389	0	4
34581	0	4
92064	0	4
41538	0	4
8454	0	4
5411	0	4
66693	0	4
3665	0	4
5667	0	4
37888	0	4
263	0	4
56502	0	4
4089	0	4
11489	0	4
88156	0	4
96401	0	4
61929	0	4
56933	0	4
693	0	4
8091	0	4
14985	0	4
5997	0	4
315	0	4
17756	0	4
54544	0	4
19914	0	4
22303	0	4
39491	0	4
29799	0	4
56999	0	4
15293	0	4
53267	0	4
7984	0	4
3065	0	4
510	0	4
77050	0	4
6778	0	4
11851	0	4
46802	0	4
48875	0	4
516	0	4
18343	0	4
60332	0	4
22117	0	4
8463	0	4
14123	0	4
631	0	4
22211	0	4
54217	0	4
19115	0	4
4569	0	4
7644	0	4
65429	0	4
56335	0	4
13463	0	4
13920	0	4
11731	0	4
8070	0	4
1559	0	4
12721	0	4
10477	0	4
6124	0	4
15864	0	4
60548	0	4
20735	0	4
62812	0	4
51326	0	4
40564	0	4
18909	0	4
4707	0	4
7898	0	4
107	0	4
25451	0	4
98304	0	4
8196	0	4
2326	0	4
1250	0	4
177	0	4
8969	0	4
40606	0	4
101224	0	4
12322	0	4
23813	0	4
20704	0	4
9611	0	4
4698	0	4
233	0	4
57139	0	4
69052	0	4
37337	0	4
28630	0	4
88939	0	4
13853	0	4
99962	0	4
28610	0	4
9369	0	4
6765	0	4
50857	0	4
3653	0	4
12949	0	4
11215	0	4
8654	0	4
100552	0	4
41554	0	4
33728	0	4
38075	0	4
79690	0	4
55008	0	4
396	0	4
13	0	4
115	0	4
44154	0	4
16974	0	4
7391	0	4
79267	0	4
90671	0	4
40549	0	4
603	0	4
50021	0	4
73853	0	4
5555	0	4
6222	0	4
7520	0	4
75916	0	4
7152	0	4
77065	0	4
1656	0	4
66493	0	4
32630	0	4
43088	0	4
42028	0	4
61330	0	4
42998	0	4
4	0	4
188	0	4
1597	0	4
11030	0	4
62731	0	4
6604	0	4
41656	0	4
6219	0	4
14155	0	4
31563	0	4
256	0	4
24950	0	4
69065	0	4
56651	0	4
1	1	1
60	0	4
802	0	4
77015	0	4
11906	0	4
8329	0	4
12883	0	4
27306	0	4
13815	0	4
6768	0	4
596	0	4
28934	0	4
7279	0	4
5628	0	4
8677	0	4
81856	0	4
19641	0	4
2476	0	4
89929	0	4
7604	0	4
11168	0	4
3203	0	4
6542	0	4
698	0	4
295	0	4
117	0	4
76740	0	4
5058	0	4
161	0	4
8123	0	4
93	0	4
32539	0	4
244	0	4
2366	0	4
46	0	4
835	0	4
75766	0	4
34537	0	4
54345	0	4
10209	0	4
5487	0	4
19834	0	4
90798	0	4
11427	0	4
43092	0	4
25114	0	4
23370	0	4
4395	0	4
56840	0	4
80686	0	4
7510	0	4
22917	0	4
8107	0	4
9	0	4
20137	0	4
39352	0	4
15110	0	4
9968	0	4
9449	0	4
71	0	4
3936	0	4
77853	0	4
38490	0	4
76484	0	4
34177	0	4
6005	0	4
42387	0	4
38116	0	4
83500	0	4
4866	0	4
49844	0	4
10812	0	4
1169	0	4
80240	0	4
93157	0	4
55797	0	4
66385	0	4
14757	0	4
50433	0	4
89735	0	4
24707	0	4
22548	0	4
45869	0	4
30	0	4
245	0	4
196	0	4
41166	0	4
88806	0	4
95820	0	4
628	0	4
6634	0	4
115	0	4
5083	0	4
11348	0	4
2952	0	4
28734	0	4
24159	0	4
57785	0	4
11738	0	4
68013	0	4
52809	0	4
47456	0	4
782	0	4
43780	0	4
69957	0	4
33534	0	4
76951	0	4
24	0	4
53654	0	4
43504	0	4
4215	0	4
38367	0	4
57527	0	4
3015	0	4
71832	0	4
91407	0	4
70551	0	4
88341	0	4
40775	0	4
17229	0	4
3613	0	4
15966	0	4
10416	0	4
35826	0	4
66497	0	4
10767	0	4
22991	0	4
3006	0	4
37771	0	4
4096	0	4
18622	0	4
2389	0	4
2468	0	4
49702	0	4
5	0	4
2	0	2
5475	0	4
4283	0	4
1795	0	4
19641	0	4
28506	0	4
770	0	4
5756	0	4
31379	0	4
7261	0	4
41642	0	4
17216	0	4
33130	0	4
8658	0	4
58713	0	4
97401	0	4
22496	0	4
31252	0	4
9609	0	4
7086	0	4
74416	0	4
73549	0	4
31818	0	4
45063	0	4
198	0	4
88618	0	4
76974	0	4
49325	0	4
17936	0	4
15391	0	4
5320	0	4
10045	0	4
48	0	4
43272	0	4
5801	0	4
83228	0	4
30634	0	4
13	0	4
17265	0	4
2076	0	4
381	0	4
45699	0	4
17744	0	4
33515	0	4
12421	0	4
19430	0	4
36603	0	4
6990	0	4
67962	0	4
46275	0	4
16446	0	4
75079	0	4
79912	0	4
