Result	Accuracy	Rank
26710	0	4
1602	0	4
550	0	4
45974	0	4
21274	0	4
64960	0	4
15220	0	4
30984	0	4
39834	0	4
6161	0	4
73169	0	4
55320	0	4
30861	0	4
81824	0	4
22622	0	4
51041	0	4
21352	0	4
94157	0	4
92240	0	4
82964	0	4
68423	0	4
5152	0	4
53271	0	4
30719	0	4
23000	0	4
40330	0	4
2619	0	4
27533	0	4
75723	0	4
35212	0	4
8568	0	4
232	0	4
16648	0	4
52720	0	4
62755	0	4
1072	0	4
56833	0	4
66989	0	4
12348	0	4
32389	0	4
56129	0	4
16682	0	4
22264	0	4
87756	0	4
156	0	4
53027	0	4
86342	0	4
46871	0	4
70706	0	4
4008	0	4
220	0	4
29151	0	4
20431	0	4
94647	0	4
16505	0	4
1003	0	4
1277	0	4
94272	0	4
53106	0	4
26173	0	4
2602	0	4
519	0	4
9444	0	4
82311	0	4
71953	0	4
93105	0	4
21737	0	4
78830	0	4
81905	0	4
836	0	4
58074	0	4
52486	0	4
2157	0	4
41540	0	4
48381	0	4
132	0	4
60046	0	4
80714	0	4
92553	0	4
93480	0	4
89840	0	4
6190	0	4
31695	0	4
85872	0	4
62273	0	4
93079	0	4
3181	0	4
70599	0	4
284	0	4
15	0	4
11	0	4
85393	0	4
24100	0	4
1204	0	4
73349	0	4
4	0	4
1	1	1
9991	0	4
42	0	4
4000	0	4
11854	0	4
87995	0	4
9753	0	4
60621	0	4
85119	0	4
3085	0	4
18848	0	4
21185	0	4
43441	0	4
78336	0	4
2909	0	4
82161	0	4
7295	0	4
16487	0	4
34834	0	4
45590	0	4
71185	0	4
57069	0	4
6216	0	4
29067	0	4
33008	0	4
96439	0	4
62615	0	4
27419	0	4
67138	0	4
90581	0	4
82444	0	4
33566	0	4
75757	0	4
11745	0	4
5422	0	4
7608	0	4
86060	0	4
71411	0	4
88336	0	4
98426	0	4
25554	0	4
6535	0	4
58857	0	4
921	0	4
47	0	4
69931	0	4
22952	0	4
89646	0	4
570	0	4
30882	0	4
27709	0	4
49863	0	4
12927	0	4
78232	0	4
623	0	4
91709	0	4
7069	0	4
2511	0	4
45491	0	4
36759	0	4
64111	0	4
31065	0	4
98	0	4
29194	0	4
58171	0	4
96224	0	4
64235	0	4
15212	0	4
92043	0	4
99826	0	4
11964	0	4
68209	0	4
92797	0	4
106	0	4
63339	0	4
25340	0	4
43245	0	4
38168	0	4
70571	0	4
6023	0	4
15435	0	4
93943	0	4
14377	0	4
2445	0	4
12018	0	4
30248	0	4
74022	0	4
52694	0	4
4326	0	4
3016	0	4
23105	0	4
23517	0	4
92515	0	4
21328	0	4
48172	0	4
3075	0	4
31372	0	4
66396	0	4
26595	0	4
22657	0	4
55240	0	4
17731	0	4
54507	0	4
12331	0	4
1212	0	4
18	0	4
1451	0	4
49919	0	4
23451	0	4
38371	0	4
81926	0	4
71464	0	4
38519	0	4
696	0	4
12462	0	4
63164	0	4
46639	0	4
70442	0	4
402	0	4
31138	0	4
358	0	4
6428	0	4
243	0	4
72800	0	4
48591	0	4
16701	0	4
75573	0	4
58035	0	4
78315	0	4
69207	0	4
12743	0	4
49109	0	4
45535	0	4
16480	0	4
7203	0	4
62151	0	4
99459	0	4
31617	0	4
3649	0	4
16407	0	4
19468	0	4
1310	0	4
25670	0	4
26413	0	4
68567	0	4
38208	0	4
11231	0	4
80567	0	4
8170	0	4
3195	0	4
86244	0	4
26817	0	4
77149	0	4
62400	0	4
20318	0	4
322	0	4
50766	0	4
93455	0	4
90607	0	4
39634	0	4
27538	0	4
99283	0	4
32592	0	4
46122	0	4
67229	0	4
43806	0	4
5421	0	4
97476	0	4
21196	0	4
1966	0	4
59509	0	4
69466	0	4
34553	0	4
25127	0	4
18871	0	4
1717	0	4
17704	0	4
22966	0	4
452	0	4
93287	0	4
11200	0	4
10443	0	4
7181	0	4
118	0	4
63184	0	4
87105	0	4
50422	0	4
54300	0	4
83608	0	4
40651	0	4
96861	0	4
10663	0	4
3592	0	4
2084	0	4
15323	0	4
52272	0	4
530	0	4
18578	0	4
40895	0	4
4022	0	4
52221	0	4
74721	0	4
40339	0	4
4416	0	4
54583	0	4
69055	0	4
135	0	4
69451	0	4
1114	0	4
9632	0	4
2164	0	4
43095	0	4
12761	0	4
19085	0	4
452	0	4
10868	0	4
25505	0	4
77817	0	4
764	0	4
29934	0	4
36093	0	4
52948	0	4
65896	0	4
71	0	4
92597	0	4
18134	0	4
81028	0	4
99622	0	4
2423	0	4
29260	0	4
95721	0	4
43505	0	4
33176	0	4
56085	0	4
40785	0	4
68176	0	4
465	0	4
18440	0	4
87585	0	4
54588	0	4
77754	0	4
64918	0	4
2912	0	4
26227	0	4
6800	0	4
58739	0	4
4069	0	4
77146	0	4
767	0	4
100179	0	4
50103	0	4
1703	0	4
71868	0	4
26754	0	4
50856	0	4
101158	0	4
82337	0	4
91705	0	4
36084	0	4
101461	0	4
76794	0	4
74620	0	4
43114	0	4
73915	0	4
83043	0	4
728	0	4
928	0	4
99915	0	4
83235	0	4
9262	0	4
32152	0	4
59162	0	4
34871	0	4
1	1	1
40724	0	4
52439	0	4
80336	0	4
38830	0	4
570	0	4
4519	0	4
60280	0	4
63518	0	4
1769	0	4
35966	0	4
3012	0	4
2767	0	4
28721	0	4
124	0	4
41365	0	4
1667	0	4
56735	0	4
23536	0	4
66141	0	4
56287	0	4
6093	0	4
7466	0	4
8374	0	4
23640	0	4
66862	0	4
27276	0	4
99161	0	4
94266	0	4
47524	0	4
78627	0	4
83081	0	4
68063	0	4
55071	0	4
68548	0	4
59718	0	4
24547	0	4
74897	0	4
34512	0	4
21845	0	4
33715	0	4
93299	0	4
28228	0	4
77018	0	4
4913	0	4
1288	0	4
16354	0	4
569	0	4
4314	0	4
516	0	4
86007	0	4
38774	0	4
61819	0	4
29554	0	4
40742	0	4
65561	0	4
67192	0	4
82492	0	4
11544	0	4
33335	0	4
59284	0	4
57045	0	4
73469	0	4
802	0	4
78745	0	4
42271	0	4
71813	0	4
80181	0	4
73848	0	4
48416	0	4
49124	0	4
29660	0	4
3514	0	4
32693	0	4
100703	0	4
97918	0	4
96132	0	4
76791	0	4
29105	0	4
23227	0	4
39015	0	4
15484	0	4
13700	0	4
14300	0	4
39310	0	4
53909	0	4
77458	0	4
56701	0	4
94879	0	4
69780	0	4
76059	0	4
42514	0	4
95990	0	4
73949	0	4
9003	0	4
42091	0	4
48083	0	4
76285	0	4
948	0	4
49908	0	4
46334	0	4
42314	0	4
30201	0	4
11149	0	4
21574	0	4
95331	0	4
99710	0	4
55008	0	4
7986	0	4
335	0	4
84782	0	4
96731	0	4
143	0	4
58792	0	4
98611	0	4
43812	0	4
860	0	4
72594	0	4
26083	0	4
98315	0	4
4123	0	4
42671	0	4
34280	0	4
80399	0	4
5803	0	4
3377	0	4
94552	0	4
30560	0	4
31712	0	4
3261	0	4
71542	0	4
84265	0	4
32601	0	4
21457	0	4
43371	0	4
48309	0	4
14089	0	4
96305	0	4
87306	0	4
58865	0	4
44924	0	4
1259	0	4
98926	0	4
44645	0	4
24558	0	4
19975	0	4
21823	0	4
89347	0	4
256	0	4
1509	0	4
79795	0	4
1785	0	4
22875	0	4
81152	0	4
27630	0	4
246	0	4
12802	0	4
31448	0	4
50697	0	4
37	0	4
83321	0	4
70351	0	4
39909	0	4
3651	0	4
8932	0	4
3416	0	4
1857	0	4
4273	0	4
88338	0	4
62497	0	4
12920	0	4
78706	0	4
55896	0	4
70274	0	4
7104	0	4
97872	0	4
47002	0	4
9820	0	4
65067	0	4
50519	0	4
4537	0	4
96205	0	4
17720	0	4
12629	0	4
2488	0	4
68352	0	4
99925	0	4
99955	0	4
95751	0	4
17212	0	4
84563	0	4
12057	0	4
1782	0	4
100732	0	4
89515	0	4
26	0	4
74135	0	4
89338	0	4
83302	0	4
13071	0	4
15890	0	4
59179	0	4
73255	0	4
34063	0	4
2966	0	4
80601	0	4
74850	0	4
10629	0	4
39784	0	4
56654	0	4
76760	0	4
48754	0	4
92960	0	4
86600	0	4
5887	0	4
49484	0	4
7682	0	4
50541	0	4
59143	0	4
51282	0	4
36366	0	4
2676	0	4
13238	0	4
93318	0	4
57724	0	4
92339	0	4
57557	0	4
93768	0	4
18181	0	4
97678	0	4
1580	0	4
31658	0	4
5615	0	4
27912	0	4
55667	0	4
7139	0	4
3351	0	4
69521	0	4
22156	0	4
13497	0	4
57811	0	4
83447	0	4
2035	0	4
5534	0	4
3041	0	4
6679	0	4
66157	0	4
823	0	4
66518	0	4
13463	0	4
50417	0	4
53350	0	4
14908	0	4
66823	0	4
26556	0	4
73330	0	4
23775	0	4
23168	0	4
65976	0	4
43957	0	4
2046	0	4
76033	0	4
75129	0	4
74238	0	4
483	0	4
2241	0	4
397	0	4
77055	0	4
1976	0	4
64359	0	4
95685	0	4
21761	0	4
61185	0	4
1753	0	4
43881	0	4
9604	0	4
69697	0	4
36226	0	4
50585	0	4
162	0	4
93466	0	4
6988	0	4
76441	0	4
30106	0	4
35149	0	4
259	0	4
86866	0	4
50333	0	4
18905	0	4
26869	0	4
28201	0	4
5451	0	4
73457	0	4
9079	0	4
86450	0	4
89117	0	4
14538	0	4
20260	0	4
57770	0	4
49685	0	4
80345	0	4
5527	0	4
86787	0	4
60839	0	4
20615	0	4
3549	0	4
61958	0	4
56733	0	4
17408	0	4
492	0	4
87113	0	4
81036	0	4
79886	0	4
74302	0	4
41586	0	4
89337	0	4
39046	0	4
1498	0	4
84132	0	4
5120	0	4
70387	0	4
116	0	4
922	0	4
26016	0	4
14532	0	4
17831	0	4
7518	0	4
36199	0	4
24556	0	4
86790	0	4
14334	0	4
5108	0	4
75645	0	4
57014	0	4
13243	0	4
60182	0	4
75464	0	4
40548	0	4
20034	0	4
7744	0	4
4	0	4
210	0	4
1516	0	4
34007	0	4
20830	0	4
57817	0	4
801	0	4
81105	0	4
38298	0	4
462	0	4
32187	0	4
3723	0	4
27391	0	4
45664	0	4
74556	0	4
93826	0	4
91578	0	4
57416	0	4
33799	0	4
48727	0	4
50719	0	4
3137	0	4
14379	0	4
94074	0	4
4533	0	4
2828	0	4
31140	0	4
92693	0	4
14966	0	4
22004	0	4
1	1	1
362	0	4
22147	0	4
48096	0	4
39618	0	4
94678	0	4
54578	0	4
100242	0	4
701	0	4
1637	0	4
100300	0	4
34518	0	4
78674	0	4
354	0	4
81206	0	4
15180	0	4
30762	0	4
57081	0	4
65146	0	4
49880	0	4
4	0	4
64874	0	4
93290	0	4
36077	0	4
7346	0	4
80301	0	4
90251	0	4
8106	0	4
3380	0	4
33797	0	4
37445	0	4
4621	0	4
94475	0	4
62267	0	4
9899	0	4
49109	0	4
40010	0	4
25274	0	4
13881	0	4
45746	0	4
24869	0	4
88759	0	4
45814	0	4
92662	0	4
27128	0	4
2319	0	4
4907	0	4
97959	0	4
61558	0	4
4779	0	4
60042	0	4
46860	0	4
55749	0	4
72145	0	4
80652	0	4
35248	0	4
2758	0	4
35060	0	4
71155	0	4
74253	0	4
50272	0	4
210	0	4
54166	0	4
40485	0	4
18427	0	4
69402	0	4
101401	0	4
18857	0	4
64628	0	4
74360	0	4
21858	0	4
69193	0	4
64810	0	4
13384	0	4
41988	0	4
80170	0	4
38428	0	4
3	0	3
71340	0	4
22210	0	4
39368	0	4
83143	0	4
28133	0	4
56655	0	4
23640	0	4
83780	0	4
94144	0	4
2678	0	4
100852	0	4
91276	0	4
18686	0	4
82933	0	4
13275	0	4
50139	0	4
19434	0	4
38829	0	4
61061	0	4
1805	0	4
43378	0	4
18323	0	4
16536	0	4
13828	0	4
42636	0	4
9095	0	4
11755	0	4
14102	0	4
79165	0	4
11300	0	4
36030	0	4
90264	0	4
95940	0	4
20046	0	4
1	1	1
18328	0	4
13900	0	4
3261	0	4
20659	0	4
4430	0	4
4833	0	4
100550	0	4
47175	0	4
48520	0	4
99317	0	4
93837	0	4
18164	0	4
33301	0	4
