Result	Accuracy	Rank
1634	0	4
76751	0	4
890	0	4
52	0	4
306	0	4
14	0	4
74	0	4
3863	0	4
2715	0	4
3043	0	4
3135	0	4
18	0	4
2302	0	4
48	0	4
1925	0	4
44	0	4
2945	0	4
7	0	4
20665	0	4
2	0	2
9	0	4
4602	0	4
80199	0	4
518	0	4
327	0	4
4214	0	4
508	0	4
13299	0	4
24	0	4
39	0	4
18144	0	4
7737	0	4
65386	0	4
67495	0	4
50	0	4
88762	0	4
207	0	4
2155	0	4
14021	0	4
4793	0	4
13198	0	4
43	0	4
20725	0	4
42090	0	4
86955	0	4
3482	0	4
63803	0	4
5293	0	4
131	0	4
98189	0	4
12	0	4
106	0	4
19217	0	4
23645	0	4
86	0	4
1	1	1
24	0	4
88374	0	4
1389	0	4
117	0	4
41869	0	4
396	0	4
142	0	4
1481	0	4
157	0	4
19	0	4
151	0	4
1219	0	4
32	0	4
50503	0	4
10718	0	4
197	0	4
42666	0	4
104	0	4
60	0	4
39593	0	4
30	0	4
1324	0	4
18024	0	4
116	0	4
47	0	4
73568	0	4
31	0	4
37848	0	4
48254	0	4
9629	0	4
77998	0	4
51455	0	4
3801	0	4
25	0	4
31	0	4
16141	0	4
46897	0	4
89	0	4
1	1	1
13755	0	4
87245	0	4
2615	0	4
4912	0	4
8945	0	4
328	0	4
994	0	4
357	0	4
38	0	4
364	0	4
2801	0	4
132	0	4
36	0	4
62491	0	4
24790	0	4
1181	0	4
42516	0	4
30113	0	4
3312	0	4
14	0	4
2611	0	4
2917	0	4
69	0	4
13323	0	4
38270	0	4
3955	0	4
56968	0	4
26517	0	4
37633	0	4
6	0	4
9189	0	4
523	0	4
27800	0	4
30	0	4
85581	0	4
24	0	4
98865	0	4
26155	0	4
5806	0	4
4771	0	4
5944	0	4
1162	0	4
10	0	4
21	0	4
45847	0	4
108	0	4
37144	0	4
186	0	4
2064	0	4
29827	0	4
7543	0	4
442	0	4
3996	0	4
1664	0	4
9806	0	4
8	0	4
34622	0	4
20462	0	4
6926	0	4
2837	0	4
711	0	4
24343	0	4
28819	0	4
75687	0	4
307	0	4
26045	0	4
32413	0	4
7700	0	4
29855	0	4
49855	0	4
5233	0	4
5686	0	4
37741	0	4
48	0	4
7258	0	4
3076	0	4
2627	0	4
721	0	4
12975	0	4
90518	0	4
886	0	4
8431	0	4
69	0	4
12737	0	4
11493	0	4
86	0	4
4093	0	4
58007	0	4
44639	0	4
8964	0	4
36678	0	4
8	0	4
1	1	1
5917	0	4
7007	0	4
11064	0	4
95	0	4
782	0	4
26	0	4
48267	0	4
23330	0	4
14731	0	4
19	0	4
1707	0	4
2001	0	4
2	0	2
197	0	4
12278	0	4
14735	0	4
49166	0	4
27647	0	4
304	0	4
63239	0	4
16747	0	4
429	0	4
88509	0	4
13226	0	4
368	0	4
36836	0	4
35480	0	4
7	0	4
54926	0	4
13	0	4
15593	0	4
6	0	4
72	0	4
3871	0	4
53741	0	4
1326	0	4
4159	0	4
333	0	4
69571	0	4
14766	0	4
2374	0	4
166	0	4
34952	0	4
1595	0	4
4	0	4
29862	0	4
16	0	4
29	0	4
82185	0	4
29977	0	4
58701	0	4
180	0	4
1543	0	4
3428	0	4
3334	0	4
61897	0	4
87	0	4
52	0	4
49642	0	4
9244	0	4
51899	0	4
9635	0	4
574	0	4
42	0	4
141	0	4
79308	0	4
79831	0	4
134	0	4
27903	0	4
4	0	4
2064	0	4
15781	0	4
20394	0	4
86036	0	4
5287	0	4
90907	0	4
27613	0	4
319	0	4
421	0	4
4614	0	4
59995	0	4
70	0	4
52076	0	4
163	0	4
1203	0	4
38455	0	4
68	0	4
82	0	4
2965	0	4
2121	0	4
60141	0	4
3043	0	4
22407	0	4
36	0	4
7443	0	4
14	0	4
13093	0	4
37	0	4
15027	0	4
9752	0	4
74	0	4
12	0	4
211	0	4
96	0	4
25911	0	4
13790	0	4
26037	0	4
42024	0	4
426	0	4
52	0	4
55327	0	4
8932	0	4
2206	0	4
42334	0	4
33212	0	4
2514	0	4
16765	0	4
341	0	4
2249	0	4
300	0	4
