Result	Accuracy	Rank
40596	0	4
285	0	4
143	0	4
1287	0	4
65	0	4
7943	0	4
1385	0	4
31190	0	4
12899	0	4
447	0	4
3602	0	4
8343	0	4
5283	0	4
26994	0	4
67465	0	4
58483	0	4
27827	0	4
26	0	4
3894	0	4
1831	0	4
1128	0	4
715	0	4
63688	0	4
19388	0	4
8780	0	4
86	0	4
350	0	4
299	0	4
6872	0	4
471	0	4
8115	0	4
1825	0	4
52926	0	4
1111	0	4
3081	0	4
3166	0	4
11055	0	4
62	0	4
1232	0	4
21871	0	4
30	0	4
99402	0	4
1345	0	4
38078	0	4
1464	0	4
2497	0	4
47044	0	4
647	0	4
1833	0	4
71844	0	4
381	0	4
2442	0	4
19169	0	4
22044	0	4
68	0	4
1	1	1
5	0	4
12037	0	4
34921	0	4
13646	0	4
743	0	4
17386	0	4
11884	0	4
49164	0	4
1369	0	4
9139	0	4
6297	0	4
14916	0	4
4512	0	4
172	0	4
42671	0	4
21837	0	4
8423	0	4
12	0	4
1021	0	4
4	0	4
1887	0	4
15312	0	4
57130	0	4
12884	0	4
1693	0	4
16454	0	4
9029	0	4
8777	0	4
14583	0	4
380	0	4
26	0	4
17434	0	4
1213	0	4
45	0	4
4013	0	4
30127	0	4
10984	0	4
29	0	4
160	0	4
8415	0	4
7	0	4
388	0	4
43	0	4
14271	0	4
47841	0	4
1850	0	4
2880	0	4
718	0	4
6869	0	4
1009	0	4
23071	0	4
13140	0	4
827	0	4
77313	0	4
7481	0	4
19326	0	4
20225	0	4
3178	0	4
10995	0	4
25	0	4
13053	0	4
6660	0	4
32493	0	4
16973	0	4
4114	0	4
18194	0	4
11507	0	4
23070	0	4
1310	0	4
66892	0	4
19508	0	4
431	0	4
11	0	4
3	0	3
264	0	4
1662	0	4
1509	0	4
24429	0	4
92500	0	4
87732	0	4
21404	0	4
1	1	1
2514	0	4
50662	0	4
12	0	4
22703	0	4
4993	0	4
1063	0	4
1243	0	4
13147	0	4
392	0	4
24901	0	4
10129	0	4
13916	0	4
1	1	1
4747	0	4
12555	0	4
12766	0	4
58669	0	4
63039	0	4
17628	0	4
5095	0	4
68329	0	4
2550	0	4
46737	0	4
69676	0	4
10228	0	4
12044	0	4
25838	0	4
2964	0	4
16813	0	4
5858	0	4
7323	0	4
2910	0	4
18481	0	4
12505	0	4
1395	0	4
6754	0	4
21064	0	4
13889	0	4
15153	0	4
2795	0	4
956	0	4
8705	0	4
4910	0	4
31902	0	4
44736	0	4
53798	0	4
273	0	4
908	0	4
9097	0	4
30095	0	4
1693	0	4
14599	0	4
6420	0	4
126	0	4
35632	0	4
23654	0	4
80747	0	4
19769	0	4
47076	0	4
4110	0	4
6872	0	4
3722	0	4
239	0	4
9	0	4
16855	0	4
12081	0	4
22033	0	4
16355	0	4
63617	0	4
10776	0	4
52373	0	4
30448	0	4
55270	0	4
62641	0	4
1735	0	4
21114	0	4
18219	0	4
19023	0	4
15811	0	4
1877	0	4
4833	0	4
580	0	4
55571	0	4
27521	0	4
48203	0	4
11681	0	4
27031	0	4
2425	0	4
31892	0	4
12943	0	4
365	0	4
7929	0	4
52456	0	4
5029	0	4
16307	0	4
51364	0	4
85	0	4
9895	0	4
18098	0	4
10930	0	4
6111	0	4
1145	0	4
1	1	1
9914	0	4
4728	0	4
25	0	4
5356	0	4
2524	0	4
4130	0	4
415	0	4
5246	0	4
836	0	4
1569	0	4
15	0	4
49054	0	4
94743	0	4
80469	0	4
3425	0	4
28665	0	4
53149	0	4
3730	0	4
1557	0	4
5484	0	4
59955	0	4
1454	0	4
94934	0	4
2173	0	4
66	0	4
38935	0	4
14842	0	4
63247	0	4
5068	0	4
14776	0	4
292	0	4
899	0	4
2468	0	4
20	0	4
31	0	4
5014	0	4
15256	0	4
25162	0	4
1236	0	4
3786	0	4
7971	0	4
553	0	4
141	0	4
32528	0	4
1359	0	4
67381	0	4
39959	0	4
1234	0	4
4	0	4
63	0	4
7534	0	4
4824	0	4
6847	0	4
31193	0	4
63130	0	4
22095	0	4
4761	0	4
58136	0	4
17660	0	4
13855	0	4
92802	0	4
406	0	4
20730	0	4
2640	0	4
7854	0	4
64	0	4
32148	0	4
13051	0	4
71387	0	4
17338	0	4
4598	0	4
8297	0	4
36307	0	4
642	0	4
17857	0	4
13567	0	4
3229	0	4
21181	0	4
302	0	4
14717	0	4
24334	0	4
28876	0	4
86530	0	4
30809	0	4
29286	0	4
24850	0	4
1870	0	4
11698	0	4
30620	0	4
46375	0	4
21654	0	4
5396	0	4
28366	0	4
31997	0	4
4412	0	4
14970	0	4
30687	0	4
13409	0	4
32217	0	4
11628	0	4
51219	0	4
75348	0	4
174	0	4
273	0	4
5284	0	4
29056	0	4
85186	0	4
2120	0	4
42003	0	4
74639	0	4
7336	0	4
22431	0	4
43286	0	4
73019	0	4
77182	0	4
35700	0	4
8244	0	4
36037	0	4
1504	0	4
76980	0	4
32987	0	4
1182	0	4
100428	0	4
8841	0	4
5804	0	4
75048	0	4
30231	0	4
12336	0	4
1	1	1
33152	0	4
19452	0	4
335	0	4
64646	0	4
1267	0	4
14948	0	4
21740	0	4
13375	0	4
10909	0	4
31	0	4
2102	0	4
22754	0	4
36151	0	4
2114	0	4
4485	0	4
12404	0	4
44483	0	4
21199	0	4
3929	0	4
9	0	4
9086	0	4
41547	0	4
31347	0	4
177	0	4
50106	0	4
38467	0	4
13331	0	4
2276	0	4
22039	0	4
13059	0	4
82671	0	4
61285	0	4
883	0	4
58721	0	4
12994	0	4
30605	0	4
38526	0	4
9757	0	4
2313	0	4
1060	0	4
97578	0	4
20205	0	4
71	0	4
86885	0	4
4597	0	4
20644	0	4
8	0	4
2126	0	4
51	0	4
4	0	4
13721	0	4
611	0	4
167	0	4
112	0	4
174	0	4
38920	0	4
55056	0	4
48187	0	4
37798	0	4
2373	0	4
5559	0	4
15609	0	4
356	0	4
51159	0	4
35404	0	4
757	0	4
1649	0	4
3634	0	4
3091	0	4
76432	0	4
65366	0	4
2126	0	4
55747	0	4
22200	0	4
887	0	4
99713	0	4
16100	0	4
37161	0	4
29210	0	4
33562	0	4
59062	0	4
43038	0	4
32809	0	4
4025	0	4
72214	0	4
44129	0	4
5	0	4
41785	0	4
30518	0	4
4	0	4
31767	0	4
34255	0	4
72517	0	4
52428	0	4
67083	0	4
29547	0	4
39201	0	4
37	0	4
595	0	4
22978	0	4
8	0	4
12300	0	4
45053	0	4
40800	0	4
44024	0	4
8483	0	4
37103	0	4
1012	0	4
12596	0	4
35685	0	4
1375	0	4
4	0	4
23683	0	4
58655	0	4
29660	0	4
218	0	4
1790	0	4
258	0	4
83188	0	4
28208	0	4
17164	0	4
2499	0	4
1099	0	4
198	0	4
4477	0	4
7747	0	4
29858	0	4
7612	0	4
210	0	4
12523	0	4
7591	0	4
1007	0	4
4539	0	4
63857	0	4
52	0	4
324	0	4
62	0	4
65945	0	4
1257	0	4
21816	0	4
4217	0	4
62293	0	4
4174	0	4
7713	0	4
64197	0	4
116	0	4
2284	0	4
720	0	4
8	0	4
108	0	4
13	0	4
28854	0	4
78191	0	4
45471	0	4
22	0	4
445	0	4
20042	0	4
2473	0	4
289	0	4
40811	0	4
13224	0	4
81651	0	4
94	0	4
20605	0	4
18235	0	4
59	0	4
1340	0	4
66084	0	4
19302	0	4
50626	0	4
34289	0	4
43807	0	4
2337	0	4
483	0	4
34364	0	4
68528	0	4
7059	0	4
35668	0	4
4657	0	4
13129	0	4
34059	0	4
6952	0	4
166	0	4
57664	0	4
5287	0	4
39621	0	4
23198	0	4
9526	0	4
2695	0	4
244	0	4
35849	0	4
83	0	4
100513	0	4
2464	0	4
3	0	3
1632	0	4
9	0	4
11909	0	4
1868	0	4
2375	0	4
872	0	4
17919	0	4
8159	0	4
363	0	4
17080	0	4
92160	0	4
10455	0	4
2932	0	4
1606	0	4
12770	0	4
341	0	4
7522	0	4
41	0	4
87258	0	4
383	0	4
74002	0	4
538	0	4
4866	0	4
680	0	4
7726	0	4
8644	0	4
51	0	4
42443	0	4
5894	0	4
32092	0	4
1674	0	4
12940	0	4
6	0	4
83792	0	4
11570	0	4
28365	0	4
35	0	4
1952	0	4
54006	0	4
286	0	4
63990	0	4
46784	0	4
28185	0	4
25381	0	4
8043	0	4
62872	0	4
28197	0	4
790	0	4
31015	0	4
8087	0	4
226	0	4
302	0	4
48596	0	4
82138	0	4
10468	0	4
2223	0	4
997	0	4
1665	0	4
88476	0	4
14675	0	4
21	0	4
37	0	4
43107	0	4
3378	0	4
1	1	1
15463	0	4
8761	0	4
46959	0	4
35	0	4
64569	0	4
8711	0	4
32310	0	4
18174	0	4
20955	0	4
18158	0	4
39454	0	4
3122	0	4
2134	0	4
10432	0	4
26059	0	4
34617	0	4
20821	0	4
810	0	4
1	1	1
31861	0	4
4136	0	4
5250	0	4
13453	0	4
64898	0	4
157	0	4
7629	0	4
1308	0	4
3398	0	4
615	0	4
138	0	4
22275	0	4
2138	0	4
1297	0	4
179	0	4
3669	0	4
15454	0	4
311	0	4
153	0	4
38	0	4
36	0	4
7152	0	4
2253	0	4
2087	0	4
30891	0	4
161	0	4
10295	0	4
1643	0	4
178	0	4
13971	0	4
63300	0	4
11706	0	4
7785	0	4
97	0	4
25042	0	4
50973	0	4
4176	0	4
1417	0	4
815	0	4
2356	0	4
5552	0	4
32	0	4
21249	0	4
30505	0	4
109	0	4
42	0	4
23949	0	4
31442	0	4
9767	0	4
37374	0	4
10914	0	4
23018	0	4
36992	0	4
22	0	4
30	0	4
675	0	4
8295	0	4
18110	0	4
14861	0	4
28531	0	4
68	0	4
5019	0	4
1112	0	4
18061	0	4
47931	0	4
2421	0	4
1	1	1
76728	0	4
52328	0	4
182	0	4
26177	0	4
68494	0	4
17391	0	4
29714	0	4
39280	0	4
25	0	4
176	0	4
4373	0	4
17	0	4
156	0	4
7824	0	4
5789	0	4
3896	0	4
15517	0	4
11106	0	4
29199	0	4
15594	0	4
53127	0	4
274	0	4
1	1	1
1	1	1
1	1	1
29843	0	4
11263	0	4
2168	0	4
