Result	Accuracy	Rank
35424	0	4
28	0	4
1	1	1
48410	0	4
4	0	4
1	1	1
20	0	4
308	0	4
3329	0	4
21	0	4
192	0	4
1	1	1
8	0	4
14	0	4
2	0	2
4	0	4
36366	0	4
1	1	1
3	0	3
1	1	1
91328	0	4
3	0	3
1173	0	4
10	0	4
1	1	1
29472	0	4
1	1	1
21	0	4
2	0	2
2	0	2
72614	0	4
2	0	2
515	0	4
18860	0	4
1684	0	4
45	0	4
13	0	4
151	0	4
55	0	4
26265	0	4
5	0	4
49174	0	4
70	0	4
3	0	3
50	0	4
301	0	4
12255	0	4
43315	0	4
108	0	4
24	0	4
1	1	1
69205	0	4
374	0	4
53	0	4
3	0	3
9005	0	4
1	1	1
18539	0	4
6	0	4
447	0	4
7	0	4
1	1	1
22531	0	4
1448	0	4
1	1	1
18	0	4
8	0	4
10663	0	4
5	0	4
11	0	4
45	0	4
19317	0	4
157	0	4
117	0	4
2	0	2
18	0	4
199	0	4
4470	0	4
503	0	4
24	0	4
7	0	4
4929	0	4
2175	0	4
3	0	3
1942	0	4
81	0	4
1716	0	4
921	0	4
1	1	1
142	0	4
1	1	1
103	0	4
1063	0	4
1	1	1
1	1	1
16344	0	4
50029	0	4
26	0	4
98	0	4
11236	0	4
33	0	4
3	0	3
15	0	4
1	1	1
2	0	2
2509	0	4
22	0	4
2	0	2
46	0	4
1912	0	4
856	0	4
40	0	4
3	0	3
158	0	4
2765	0	4
18	0	4
51	0	4
8	0	4
610	0	4
29	0	4
107	0	4
114	0	4
20018	0	4
538	0	4
3	0	3
10	0	4
9	0	4
1	1	1
280	0	4
4	0	4
30487	0	4
123	0	4
138	0	4
75	0	4
394	0	4
150	0	4
7885	0	4
1	1	1
28	0	4
7	0	4
2	0	2
9876	0	4
90	0	4
400	0	4
10	0	4
461	0	4
7	0	4
1186	0	4
62	0	4
17	0	4
1	1	1
2	0	2
28049	0	4
9057	0	4
91	0	4
79724	0	4
12144	0	4
7	0	4
65	0	4
3	0	3
2335	0	4
25	0	4
36100	0	4
359	0	4
62	0	4
25	0	4
200	0	4
1068	0	4
4991	0	4
22	0	4
560	0	4
2	0	2
10	0	4
366	0	4
17758	0	4
13	0	4
3	0	3
2	0	2
28	0	4
4	0	4
8	0	4
5	0	4
7	0	4
26910	0	4
5038	0	4
25242	0	4
1	1	1
970	0	4
4678	0	4
78	0	4
788	0	4
1	1	1
2386	0	4
4	0	4
9180	0	4
8	0	4
475	0	4
2	0	2
23528	0	4
13	0	4
2	0	2
1	1	1
6056	0	4
10913	0	4
15526	0	4
40992	0	4
3	0	3
9489	0	4
209	0	4
40	0	4
202	0	4
47	0	4
8	0	4
18	0	4
1496	0	4
4	0	4
24167	0	4
653	0	4
2	0	2
188	0	4
43	0	4
165	0	4
21817	0	4
2	0	2
5	0	4
2004	0	4
6	0	4
1	1	1
2690	0	4
48195	0	4
670	0	4
5	0	4
234	0	4
717	0	4
26	0	4
5	0	4
1260	0	4
4	0	4
5	0	4
63	0	4
1	1	1
162	0	4
2871	0	4
11	0	4
10	0	4
70	0	4
7	0	4
515	0	4
13435	0	4
29	0	4
553	0	4
3	0	3
34	0	4
85998	0	4
151	0	4
95	0	4
19010	0	4
3	0	3
13	0	4
6	0	4
650	0	4
2743	0	4
100	0	4
39052	0	4
5	0	4
13	0	4
44	0	4
128	0	4
21	0	4
3	0	3
29	0	4
2187	0	4
1	1	1
2	0	2
2	0	2
101	0	4
1	1	1
3	0	3
1196	0	4
1004	0	4
2363	0	4
33	0	4
13	0	4
1	1	1
72570	0	4
1	1	1
68	0	4
14	0	4
18	0	4
1	1	1
4	0	4
1	1	1
46	0	4
3	0	3
98086	0	4
2204	0	4
5	0	4
7	0	4
46399	0	4
42952	0	4
8	0	4
193	0	4
343	0	4
46776	0	4
6	0	4
10	0	4
3	0	3
1	1	1
1	1	1
73694	0	4
23	0	4
6	0	4
11	0	4
2963	0	4
387	0	4
6	0	4
13	0	4
4250	0	4
8743	0	4
14	0	4
5	0	4
36	0	4
1	1	1
3772	0	4
174	0	4
2	0	2
15	0	4
276	0	4
1	1	1
5	0	4
58	0	4
62	0	4
29	0	4
2125	0	4
1182	0	4
3	0	3
287	0	4
49	0	4
324	0	4
321	0	4
351	0	4
1558	0	4
1	1	1
2	0	2
3	0	3
1	1	1
1	1	1
321	0	4
129	0	4
507	0	4
3536	0	4
6	0	4
2	0	2
4623	0	4
778	0	4
1	1	1
1180	0	4
1	1	1
24903	0	4
8	0	4
34	0	4
836	0	4
5	0	4
42950	0	4
25	0	4
827	0	4
3502	0	4
200	0	4
7	0	4
3	0	3
8	0	4
319	0	4
8	0	4
8	0	4
43	0	4
203	0	4
10997	0	4
1	1	1
760	0	4
32	0	4
588	0	4
1085	0	4
2	0	2
2	0	2
490	0	4
197	0	4
82633	0	4
928	0	4
12550	0	4
1153	0	4
16	0	4
12	0	4
45	0	4
10	0	4
46255	0	4
1822	0	4
13061	0	4
6223	0	4
3374	0	4
19667	0	4
30785	0	4
143	0	4
12	0	4
4	0	4
231	0	4
265	0	4
28	0	4
7	0	4
1476	0	4
148	0	4
68	0	4
435	0	4
5	0	4
8880	0	4
119	0	4
1	1	1
2	0	2
4780	0	4
362	0	4
1	1	1
1497	0	4
716	0	4
2	0	2
14	0	4
20	0	4
2	0	2
6	0	4
4	0	4
2	0	2
44377	0	4
179	0	4
10	0	4
1	1	1
29	0	4
20172	0	4
1045	0	4
13	0	4
1	1	1
1739	0	4
2	0	2
21	0	4
276	0	4
4	0	4
130	0	4
327	0	4
124	0	4
223	0	4
2	0	2
35	0	4
2728	0	4
1	1	1
13427	0	4
1267	0	4
10901	0	4
2	0	2
2	0	2
31	0	4
10	0	4
1	1	1
6	0	4
24	0	4
12	0	4
32361	0	4
19	0	4
1	1	1
51	0	4
4	0	4
1	1	1
2750	0	4
31	0	4
1	1	1
47	0	4
5	0	4
3266	0	4
3610	0	4
113	0	4
801	0	4
3421	0	4
2	0	2
24	0	4
1	1	1
1	1	1
1641	0	4
7755	0	4
16	0	4
1	1	1
88	0	4
12	0	4
41712	0	4
21526	0	4
303	0	4
6	0	4
20	0	4
39	0	4
2	0	2
155	0	4
1151	0	4
634	0	4
1	1	1
63	0	4
1	1	1
38157	0	4
78	0	4
612	0	4
55727	0	4
38	0	4
1	1	1
355	0	4
2	0	2
21	0	4
628	0	4
2268	0	4
57565	0	4
7	0	4
277	0	4
7980	0	4
7	0	4
18	0	4
640	0	4
2	0	2
1	1	1
43	0	4
63780	0	4
879	0	4
14416	0	4
42	0	4
8417	0	4
1457	0	4
4	0	4
2	0	2
3982	0	4
17	0	4
1	1	1
494	0	4
1	1	1
2	0	2
271	0	4
3907	0	4
56	0	4
239	0	4
1	1	1
207	0	4
39	0	4
10	0	4
1	1	1
12	0	4
2	0	2
2	0	2
1	1	1
1	1	1
88	0	4
19	0	4
11	0	4
7	0	4
5093	0	4
1	1	1
8	0	4
28	0	4
55	0	4
212	0	4
225	0	4
354	0	4
153	0	4
936	0	4
1	1	1
771	0	4
2	0	2
1	1	1
1	1	1
4	0	4
2	0	2
168	0	4
249	0	4
58	0	4
1	1	1
426	0	4
280	0	4
20	0	4
3	0	3
1141	0	4
369	0	4
7288	0	4
1	1	1
3676	0	4
1	1	1
51158	0	4
19884	0	4
13	0	4
276	0	4
28	0	4
1229	0	4
1	1	1
80	0	4
25965	0	4
1390	0	4
4	0	4
39	0	4
1	1	1
148	0	4
168	0	4
828	0	4
15	0	4
21199	0	4
72006	0	4
1	1	1
7436	0	4
841	0	4
2821	0	4
2	0	2
32	0	4
1	1	1
48	0	4
1	1	1
3	0	3
7356	0	4
18113	0	4
1	1	1
717	0	4
154	0	4
1	1	1
11	0	4
1584	0	4
319	0	4
11	0	4
288	0	4
1	1	1
3	0	3
3309	0	4
171	0	4
1	1	1
2	0	2
1	1	1
11	0	4
34	0	4
1149	0	4
1025	0	4
20	0	4
34	0	4
56	0	4
4	0	4
233	0	4
17	0	4
3	0	3
41	0	4
30	0	4
1514	0	4
162	0	4
35	0	4
6	0	4
6	0	4
6052	0	4
479	0	4
3025	0	4
80715	0	4
2	0	2
1428	0	4
14	0	4
113	0	4
1	1	1
4	0	4
2736	0	4
6	0	4
13510	0	4
1638	0	4
822	0	4
10	0	4
25	0	4
456	0	4
47507	0	4
3	0	3
5	0	4
1	1	1
29	0	4
6626	0	4
1	1	1
1	1	1
2	0	2
5	0	4
75	0	4
11	0	4
6	0	4
1232	0	4
7	0	4
107	0	4
6578	0	4
99	0	4
8	0	4
10211	0	4
12	0	4
1	1	1
3	0	3
20	0	4
5739	0	4
1	1	1
7	0	4
437	0	4
22484	0	4
3050	0	4
301	0	4
32	0	4
173	0	4
63	0	4
13	0	4
1	1	1
3497	0	4
201	0	4
7	0	4
22	0	4
420	0	4
2	0	2
16	0	4
260	0	4
1	1	1
44331	0	4
2	0	2
1	1	1
60664	0	4
1802	0	4
326	0	4
295	0	4
8	0	4
483	0	4
50	0	4
75321	0	4
24	0	4
3	0	3
7870	0	4
12	0	4
7	0	4
13	0	4
2	0	2
29831	0	4
1813	0	4
1204	0	4
55	0	4
1	1	1
2	0	2
4	0	4
7718	0	4
3	0	3
13	0	4
92013	0	4
1570	0	4
76	0	4
4	0	4
2	0	2
4	0	4
1	1	1
4	0	4
2	0	2
1	1	1
8953	0	4
129	0	4
9	0	4
9571	0	4
1	1	1
1382	0	4
6	0	4
4385	0	4
1	1	1
63498	0	4
1666	0	4
500	0	4
13500	0	4
31	0	4
1	1	1
16109	0	4
21	0	4
59031	0	4
18951	0	4
2498	0	4
46148	0	4
511	0	4
928	0	4
45229	0	4
48707	0	4
104	0	4
17	0	4
1	1	1
48	0	4
1	1	1
4051	0	4
3	0	3
243	0	4
112	0	4
29	0	4
3	0	3
1	1	1
47	0	4
7	0	4
4	0	4
150	0	4
906	0	4
15	0	4
37	0	4
608	0	4
6	0	4
3	0	3
15	0	4
60	0	4
174	0	4
1405	0	4
57	0	4
46428	0	4
1	1	1
3	0	3
6	0	4
922	0	4
473	0	4
21	0	4
2	0	2
1	1	1
4183	0	4
331	0	4
1	1	1
1	1	1
1	1	1
1	1	1
66	0	4
171	0	4
3358	0	4
732	0	4
3	0	3
69	0	4
32881	0	4
40	0	4
2	0	2
2	0	2
1	1	1
323	0	4
1625	0	4
145	0	4
1930	0	4
2	0	2
43028	0	4
32	0	4
2678	0	4
53145	0	4
195	0	4
1084	0	4
1	1	1
1695	0	4
8	0	4
12	0	4
99	0	4
11	0	4
758	0	4
3	0	3
22936	0	4
44612	0	4
354	0	4
15	0	4
32	0	4
2	0	2
29186	0	4
11	0	4
587	0	4
28480	0	4
2	0	2
1	1	1
14	0	4
50	0	4
100	0	4
128	0	4
3	0	3
3028	0	4
18	0	4
7	0	4
2458	0	4
1	1	1
50876	0	4
14	0	4
36	0	4
1	1	1
1	1	1
230	0	4
1	1	1
46525	0	4
27	0	4
50	0	4
3	0	3
3	0	3
15121	0	4
42	0	4
1	1	1
15	0	4
1	1	1
1503	0	4
2	0	2
12	0	4
27257	0	4
1	1	1
1	1	1
80	0	4
1	1	1
4750	0	4
70275	0	4
1197	0	4
1	1	1
2	0	2
20	0	4
1	1	1
27905	0	4
6630	0	4
4	0	4
997	0	4
41276	0	4
14	0	4
3	0	3
97	0	4
1	1	1
903	0	4
9544	0	4
1	1	1
89	0	4
19951	0	4
104	0	4
4	0	4
231	0	4
43323	0	4
16	0	4
2	0	2
3357	0	4
53	0	4
8	0	4
12	0	4
18875	0	4
21	0	4
62	0	4
304	0	4
52258	0	4
1	1	1
7570	0	4
7	0	4
13514	0	4
686	0	4
1	1	1
20744	0	4
38078	0	4
2	0	2
6181	0	4
1141	0	4
77	0	4
9	0	4
1	1	1
1	1	1
3	0	3
20	0	4
129	0	4
1	1	1
3861	0	4
230	0	4
3	0	3
48	0	4
13430	0	4
73	0	4
1	1	1
6695	0	4
63	0	4
865	0	4
6	0	4
4856	0	4
732	0	4
28137	0	4
73	0	4
28815	0	4
6	0	4
2488	0	4
13	0	4
9	0	4
8	0	4
284	0	4
22065	0	4
260	0	4
5517	0	4
3	0	3
1710	0	4
378	0	4
3	0	3
1	1	1
3	0	3
4	0	4
233	0	4
209	0	4
1424	0	4
36010	0	4
1	1	1
5162	0	4
1	1	1
17	0	4
5	0	4
17211	0	4
5319	0	4
149	0	4
1	1	1
68852	0	4
1	1	1
4	0	4
10	0	4
2	0	2
227	0	4
2887	0	4
1037	0	4
314	0	4
4	0	4
1	1	1
35	0	4
112	0	4
275	0	4
80	0	4
10	0	4
1	1	1
3	0	3
405	0	4
4	0	4
1	1	1
124	0	4
142	0	4
20920	0	4
4	0	4
109	0	4
57	0	4
16	0	4
3	0	3
50	0	4
8927	0	4
2157	0	4
387	0	4
213	0	4
21	0	4
11719	0	4
339	0	4
22	0	4
55218	0	4
2	0	2
7	0	4
2	0	2
73	0	4
6	0	4
48	0	4
4	0	4
162	0	4
8	0	4
13321	0	4
4	0	4
14	0	4
66	0	4
1	1	1
67	0	4
4335	0	4
77	0	4
52519	0	4
1	1	1
2	0	2
1	1	1
15	0	4
2	0	2
16	0	4
37	0	4
7	0	4
1	1	1
1219	0	4
15337	0	4
1	1	1
1	1	1
5	0	4
19	0	4
53787	0	4
1	1	1
18	0	4
5344	0	4
1061	0	4
1	1	1
4	0	4
7	0	4
3	0	3
70932	0	4
61775	0	4
91858	0	4
31731	0	4
60	0	4
77529	0	4
27	0	4
40009	0	4
1	1	1
28301	0	4
40	0	4
24	0	4
46	0	4
957	0	4
1	1	1
2617	0	4
17	0	4
24	0	4
3	0	3
