Result	Accuracy	Rank
12175	0	4
32	0	4
3891	0	4
20697	0	4
1	1	1
35	0	4
11743	0	4
27773	0	4
49596	0	4
273	0	4
9276	0	4
7870	0	4
2	0	2
1126	0	4
6	0	4
77	0	4
13762	0	4
1	1	1
2373	0	4
3930	0	4
10983	0	4
1	1	1
10903	0	4
60	0	4
5	0	4
60912	0	4
1	1	1
16996	0	4
3	0	3
1	1	1
78392	0	4
1	1	1
30641	0	4
22635	0	4
45419	0	4
196	0	4
6	0	4
31	0	4
20643	0	4
24926	0	4
64	0	4
28017	0	4
1316	0	4
12	0	4
3	0	3
3573	0	4
18464	0	4
55724	0	4
34	0	4
6	0	4
4	0	4
57708	0	4
924	0	4
186	0	4
2	0	2
10305	0	4
1117	0	4
30579	0	4
7	0	4
5608	0	4
29	0	4
1	1	1
71588	0	4
41983	0	4
9	0	4
17	0	4
7865	0	4
41932	0	4
108	0	4
1	1	1
19430	0	4
25716	0	4
6666	0	4
12948	0	4
1	1	1
82	0	4
2343	0	4
40544	0	4
52	0	4
13	0	4
8663	0	4
6574	0	4
23490	0	4
19	0	4
1861	0	4
869	0	4
8171	0	4
6014	0	4
1	1	1
6077	0	4
20	0	4
3	0	3
6455	0	4
1	1	1
313	0	4
44080	0	4
7	0	4
21	0	4
1	1	1
29784	0	4
452	0	4
1	1	1
837	0	4
17	0	4
1	1	1
136	0	4
239	0	4
1	1	1
677	0	4
4645	0	4
24044	0	4
22965	0	4
12	0	4
85	0	4
25865	0	4
10993	0	4
16424	0	4
3	0	3
11147	0	4
26	0	4
20870	0	4
99	0	4
20634	0	4
18905	0	4
1	1	1
397	0	4
10810	0	4
1	1	1
18033	0	4
1395	0	4
21999	0	4
6	0	4
11039	0	4
20059	0	4
8806	0	4
9	0	4
11638	0	4
90	0	4
9670	0	4
9	0	4
2	0	2
14664	0	4
4	0	4
22	0	4
82	0	4
24531	0	4
156	0	4
25062	0	4
13149	0	4
537	0	4
1	1	1
104	0	4
16496	0	4
34957	0	4
341	0	4
50409	0	4
11723	0	4
217	0	4
877	0	4
2	0	2
7417	0	4
1101	0	4
26950	0	4
50	0	4
9422	0	4
78	0	4
12612	0	4
837	0	4
7866	0	4
17	0	4
34	0	4
1	1	1
4644	0	4
804	0	4
8153	0	4
18	0	4
9968	0	4
1	1	1
81	0	4
1	1	1
10764	0	4
1	1	1
7	0	4
8956	0	4
20327	0	4
13039	0	4
2	0	2
2	0	2
30715	0	4
13111	0	4
138	0	4
11	0	4
28100	0	4
70	0	4
54454	0	4
8150	0	4
775	0	4
2	0	2
24388	0	4
18	0	4
2	0	2
4	0	4
11363	0	4
61407	0	4
5483	0	4
67220	0	4
4	0	4
6897	0	4
6	0	4
3	0	3
272	0	4
59	0	4
23	0	4
15	0	4
6955	0	4
4	0	4
68	0	4
10782	0	4
21	0	4
3645	0	4
8	0	4
113	0	4
37559	0	4
5510	0	4
7495	0	4
28748	0	4
7	0	4
4859	0	4
13064	0	4
18751	0	4
8621	0	4
8978	0	4
9061	0	4
6846	0	4
13278	0	4
1	1	1
800	0	4
6918	0	4
1462	0	4
183	0	4
2	0	2
1473	0	4
36258	0	4
3853	0	4
1	1	1
15900	0	4
1	1	1
4465	0	4
8595	0	4
160	0	4
9480	0	4
2	0	2
48	0	4
52981	0	4
24	0	4
1830	0	4
14811	0	4
16	0	4
2	0	2
1	1	1
893	0	4
304	0	4
152	0	4
11734	0	4
3655	0	4
1919	0	4
1996	0	4
475	0	4
8	0	4
3	0	3
16	0	4
3272	0	4
1	1	1
6	0	4
7381	0	4
19076	0	4
2269	0	4
24	0	4
7002	0	4
16	0	4
29785	0	4
7038	0	4
27	0	4
628	0	4
37599	0	4
3	0	3
3216	0	4
3	0	3
7	0	4
1	1	1
8437	0	4
1	1	1
1	1	1
6443	0	4
29389	0	4
1162	0	4
40	0	4
5300	0	4
15367	0	4
14644	0	4
4870	0	4
58	0	4
745	0	4
53115	0	4
8806	0	4
8500	0	4
137	0	4
11400	0	4
1	1	1
36928	0	4
115	0	4
712	0	4
149	0	4
9870	0	4
4	0	4
2	0	2
39	0	4
49060	0	4
31924	0	4
8	0	4
1	1	1
87	0	4
4326	0	4
19262	0	4
7080	0	4
4	0	4
180	0	4
28677	0	4
1	1	1
6	0	4
19403	0	4
20893	0	4
