Result	Accuracy	Rank
17502	0	4
12223	0	4
4	0	4
64023	0	4
44	0	4
88	0	4
17	0	4
19994	0	4
25087	0	4
517	0	4
1102	0	4
6	0	4
356	0	4
25	0	4
1	1	1
1	1	1
38172	0	4
2	0	2
1	1	1
1	1	1
50405	0	4
3	0	3
6218	0	4
3	0	3
3	0	3
5685	0	4
1	1	1
5226	0	4
106	0	4
76	0	4
49829	0	4
1	1	1
264	0	4
33383	0	4
31395	0	4
575	0	4
89	0	4
7	0	4
2010	0	4
61344	0	4
744	0	4
41629	0	4
102	0	4
39	0	4
31	0	4
370	0	4
20203	0	4
81904	0	4
39	0	4
9	0	4
1	1	1
37031	0	4
2222	0	4
2248	0	4
1	1	1
4555	0	4
1	1	1
29572	0	4
33	0	4
363	0	4
3	0	3
1	1	1
12912	0	4
2765	0	4
1	1	1
17	0	4
6	0	4
34002	0	4
7	0	4
1	1	1
2366	0	4
33252	0	4
50404	0	4
763	0	4
2	0	2
49	0	4
120	0	4
8697	0	4
163	0	4
1	1	1
29	0	4
53808	0	4
11102	0	4
98	0	4
676	0	4
36	0	4
19800	0	4
81608	0	4
1	1	1
133	0	4
1	1	1
191	0	4
2858	0	4
1	1	1
5	0	4
11602	0	4
736	0	4
17	0	4
2	0	2
33596	0	4
27	0	4
2	0	2
1541	0	4
1	1	1
4	0	4
1743	0	4
8190	0	4
2	0	2
48	0	4
225	0	4
1381	0	4
57611	0	4
7	0	4
1199	0	4
17088	0	4
3843	0	4
394	0	4
4	0	4
1711	0	4
28	0	4
2344	0	4
3003	0	4
296	0	4
16940	0	4
1	1	1
5292	0	4
2954	0	4
91	0	4
2875	0	4
3	0	3
26561	0	4
100	0	4
8	0	4
1105	0	4
403	0	4
765	0	4
3130	0	4
1	1	1
2	0	2
4	0	4
1	1	1
4247	0	4
146	0	4
5250	0	4
14	0	4
7946	0	4
15	0	4
3372	0	4
1192	0	4
12	0	4
1	1	1
2	0	2
19690	0	4
10167	0	4
159	0	4
20052	0	4
16065	0	4
281	0	4
141	0	4
1	1	1
4215	0	4
752	0	4
61422	0	4
1702	0	4
625	0	4
61	0	4
214	0	4
1643	0	4
11215	0	4
573	0	4
539	0	4
90	0	4
19	0	4
2028	0	4
20806	0	4
126	0	4
110	0	4
4	0	4
138	0	4
2	0	2
3566	0	4
5	0	4
195	0	4
8066	0	4
83493	0	4
74579	0	4
4	0	4
1307	0	4
32772	0	4
8680	0	4
878	0	4
7	0	4
3662	0	4
1	1	1
13463	0	4
177	0	4
4604	0	4
2	0	2
9029	0	4
11556	0	4
2	0	2
1	1	1
17062	0	4
13329	0	4
8515	0	4
52052	0	4
78	0	4
3613	0	4
155	0	4
15	0	4
441	0	4
126	0	4
1	1	1
19	0	4
807	0	4
6	0	4
1	1	1
1845	0	4
13	0	4
2098	0	4
41	0	4
188	0	4
26789	0	4
1	1	1
36	0	4
4741	0	4
5	0	4
1	1	1
41823	0	4
5851	0	4
3030	0	4
1	1	1
21476	0	4
1094	0	4
539	0	4
1	1	1
51	0	4
259	0	4
2	0	2
4	0	4
2	0	2
50146	0	4
14332	0	4
2	0	2
58	0	4
1069	0	4
56	0	4
492	0	4
18991	0	4
38	0	4
6131	0	4
3	0	3
35	0	4
98508	0	4
25	0	4
38	0	4
16071	0	4
1	1	1
32	0	4
2	0	2
1353	0	4
873	0	4
38	0	4
28386	0	4
38	0	4
6	0	4
156	0	4
514	0	4
80	0	4
15	0	4
258	0	4
428	0	4
1	1	1
1	1	1
1	1	1
2179	0	4
2	0	2
5	0	4
22025	0	4
256	0	4
5367	0	4
1352	0	4
17	0	4
1	1	1
34552	0	4
1	1	1
5	0	4
3	0	3
15	0	4
1	1	1
2	0	2
1	1	1
1	1	1
2732	0	4
38001	0	4
3337	0	4
528	0	4
1	1	1
22077	0	4
27203	0	4
132	0	4
48	0	4
35	0	4
10367	0	4
2	0	2
636	0	4
83	0	4
2	0	2
1	1	1
19138	0	4
2	0	2
59	0	4
8	0	4
5428	0	4
325	0	4
3	0	3
48	0	4
3403	0	4
14414	0	4
2	0	2
4	0	4
1323	0	4
1	1	1
10571	0	4
99	0	4
4	0	4
4	0	4
17707	0	4
209	0	4
27	0	4
6210	0	4
457	0	4
44	0	4
7442	0	4
2015	0	4
6	0	4
3003	0	4
4667	0	4
1856	0	4
320	0	4
29	0	4
5919	0	4
2	0	2
2	0	2
1	1	1
1	1	1
42	0	4
1	1	1
1226	0	4
29	0	4
31412	0	4
1	1	1
1	1	1
18949	0	4
74	0	4
1	1	1
37313	0	4
1	1	1
62708	0	4
18	0	4
11	0	4
993	0	4
109	0	4
3601	0	4
2	0	2
3649	0	4
17113	0	4
338	0	4
19	0	4
1	1	1
15	0	4
16	0	4
6	0	4
32	0	4
3	0	3
16	0	4
13289	0	4
18	0	4
33637	0	4
461	0	4
616	0	4
2225	0	4
41	0	4
23	0	4
5721	0	4
1697	0	4
25037	0	4
1009	0	4
11124	0	4
1924	0	4
12	0	4
2413	0	4
21	0	4
2037	0	4
56775	0	4
1020	0	4
58770	0	4
49030	0	4
28792	0	4
33642	0	4
74051	0	4
54	0	4
286	0	4
1	1	1
