Result	Accuracy	Rank
27872	0	4
7212	0	4
2	0	2
86259	0	4
6	0	4
33	0	4
536	0	4
7170	0	4
45181	0	4
906	0	4
30170	0	4
3	0	3
36	0	4
11	0	4
1	1	1
1	1	1
67456	0	4
1	1	1
2	0	2
1	1	1
90758	0	4
1	1	1
177	0	4
59	0	4
2	0	2
74327	0	4
1	1	1
10582	0	4
13	0	4
151	0	4
85892	0	4
3	0	3
23538	0	4
28925	0	4
40372	0	4
2634	0	4
152	0	4
82	0	4
5344	0	4
85314	0	4
14539	0	4
12874	0	4
91	0	4
16	0	4
5	0	4
3966	0	4
40065	0	4
98025	0	4
634	0	4
16	0	4
4	0	4
49783	0	4
836	0	4
1946	0	4
1	1	1
46142	0	4
1	1	1
10036	0	4
117	0	4
1656	0	4
137	0	4
1	1	1
47951	0	4
7985	0	4
1	1	1
31	0	4
61	0	4
56431	0	4
7	0	4
3	0	3
29255	0	4
60527	0	4
4036	0	4
2716	0	4
1	1	1
109	0	4
40070	0	4
7987	0	4
17	0	4
1	1	1
2813	0	4
4100	0	4
22847	0	4
1	1	1
15	0	4
97	0	4
14438	0	4
7019	0	4
1	1	1
7881	0	4
1	1	1
1608	0	4
3515	0	4
1	1	1
1	1	1
28669	0	4
71446	0	4
1486	0	4
2	0	2
57414	0	4
11	0	4
5	0	4
2925	0	4
16	0	4
4	0	4
3264	0	4
596	0	4
1	1	1
201	0	4
2481	0	4
12378	0	4
24308	0	4
101	0	4
3007	0	4
47289	0	4
9790	0	4
452	0	4
18	0	4
2419	0	4
36	0	4
7651	0	4
385	0	4
9665	0	4
27040	0	4
4	0	4
59	0	4
669	0	4
4	0	4
16970	0	4
2	0	2
54044	0	4
69	0	4
4	0	4
8142	0	4
7512	0	4
23	0	4
56936	0	4
1	1	1
10	0	4
177	0	4
28936	0	4
11043	0	4
634	0	4
425	0	4
1	1	1
8977	0	4
615	0	4
5233	0	4
5230	0	4
119	0	4
1	1	1
1	1	1
29553	0	4
13843	0	4
52999	0	4
46239	0	4
5194	0	4
39	0	4
329	0	4
2	0	2
7304	0	4
110	0	4
51215	0	4
1257	0	4
202	0	4
236	0	4
257	0	4
1752	0	4
14214	0	4
2696	0	4
212	0	4
3778	0	4
8189	0	4
740	0	4
8821	0	4
3709	0	4
929	0	4
420	0	4
236	0	4
1	1	1
5866	0	4
1	1	1
24	0	4
11481	0	4
72551	0	4
15678	0	4
12	0	4
6360	0	4
20830	0	4
9540	0	4
16654	0	4
1	1	1
29158	0	4
1	1	1
13708	0	4
3033	0	4
825	0	4
2	0	2
19894	0	4
3511	0	4
1	1	1
8	0	4
41299	0	4
50491	0	4
10768	0	4
65958	0	4
7781	0	4
19	0	4
340	0	4
20	0	4
694	0	4
69	0	4
681	0	4
753	0	4
1712	0	4
4	0	4
425	0	4
6608	0	4
1	1	1
1317	0	4
188	0	4
2546	0	4
45511	0	4
15	0	4
7	0	4
11430	0	4
3	0	3
1	1	1
37678	0	4
6325	0	4
13701	0	4
4	0	4
6352	0	4
6491	0	4
4722	0	4
9	0	4
56	0	4
1581	0	4
3	0	3
8	0	4
30856	0	4
72868	0	4
48569	0	4
297	0	4
74	0	4
8348	0	4
2	0	2
3834	0	4
6948	0	4
237	0	4
12028	0	4
2	0	2
23	0	4
77000	0	4
1106	0	4
2035	0	4
17502	0	4
2	0	2
71	0	4
2	0	2
3140	0	4
12150	0	4
1571	0	4
19146	0	4
1100	0	4
679	0	4
576	0	4
1875	0	4
3877	0	4
3	0	3
64197	0	4
19049	0	4
1	1	1
1	1	1
1	1	1
8016	0	4
188	0	4
5	0	4
3985	0	4
161	0	4
18408	0	4
3026	0	4
28177	0	4
1	1	1
36922	0	4
35	0	4
190	0	4
7	0	4
58	0	4
4	0	4
20	0	4
1	1	1
46	0	4
5917	0	4
72464	0	4
4558	0	4
824	0	4
10	0	4
2620	0	4
39946	0	4
448	0	4
109	0	4
4005	0	4
12660	0	4
26	0	4
1164	0	4
52	0	4
49276	0	4
1	1	1
21622	0	4
19	0	4
632	0	4
234	0	4
22900	0	4
492	0	4
12	0	4
187	0	4
12509	0	4
54138	0	4
357	0	4
8	0	4
395	0	4
17	0	4
4445	0	4
192	0	4
22	0	4
68	0	4
24320	0	4
13	0	4
10	0	4
36700	0	4
9593	0	4
116	0	4
21502	0	4
11764	0	4
41	0	4
3130	0	4
13897	0	4
4750	0	4
1119	0	4
1636	0	4
32995	0	4
80	0	4
5	0	4
3	0	3
1	1	1
135	0	4
1	1	1
5888	0	4
3477	0	4
28964	0	4
1	1	1
57	0	4
46564	0	4
384	0	4
3	0	3
9127	0	4
2	0	2
82039	0	4
30	0	4
309	0	4
179	0	4
1884	0	4
3397	0	4
6	0	4
298	0	4
23465	0	4
94	0	4
13	0	4
1	1	1
1	1	1
3	0	3
12	0	4
8	0	4
133	0	4
27	0	4
34446	0	4
222	0	4
90424	0	4
8124	0	4
4695	0	4
12248	0	4
123	0	4
87	0	4
7210	0	4
8437	0	4
42051	0	4
1044	0	4
21095	0	4
21657	0	4
2389	0	4
3542	0	4
1094	0	4
661	0	4
59998	0	4
3097	0	4
6121	0	4
1108	0	4
57466	0	4
12733	0	4
24144	0	4
44	0	4
233	0	4
28	0	4
7821	0	4
2873	0	4
177	0	4
67	0	4
4515	0	4
6004	0	4
1741	0	4
10591	0	4
7	0	4
3005	0	4
373	0	4
314	0	4
1	1	1
6955	0	4
458	0	4
1	1	1
39438	0	4
29592	0	4
5562	0	4
1	1	1
6980	0	4
6	0	4
1252	0	4
203	0	4
756	0	4
40433	0	4
10208	0	4
2	0	2
18	0	4
245	0	4
65517	0	4
22253	0	4
61	0	4
134	0	4
27421	0	4
4	0	4
12322	0	4
482	0	4
1	1	1
1393	0	4
15586	0	4
142	0	4
19935	0	4
10071	0	4
25	0	4
33678	0	4
11	0	4
5481	0	4
3340	0	4
31121	0	4
54	0	4
684	0	4
3647	0	4
10555	0	4
1	1	1
63350	0	4
7376	0	4
172	0	4
50338	0	4
285	0	4
6	0	4
787	0	4
39	0	4
1	1	1
43061	0	4
34	0	4
1	1	1
146	0	4
6	0	4
53234	0	4
15	0	4
172	0	4
23005	0	4
69834	0	4
100	0	4
2189	0	4
2	0	2
4	0	4
7043	0	4
60111	0	4
186	0	4
7	0	4
9752	0	4
109	0	4
26355	0	4
3531	0	4
74	0	4
25	0	4
19822	0	4
12286	0	4
268	0	4
2420	0	4
92636	0	4
602	0	4
2	0	2
2882	0	4
1	1	1
95657	0	4
3	0	3
38	0	4
85819	0	4
7460	0	4
1	1	1
60	0	4
16503	0	4
2	0	2
16920	0	4
157	0	4
44134	0	4
3	0	3
233	0	4
42403	0	4
188	0	4
87	0	4
88	0	4
72	0	4
11675	0	4
10474	0	4
60785	0	4
50244	0	4
23812	0	4
21	0	4
29414	0	4
5869	0	4
24	0	4
1	1	1
56924	0	4
10986	0	4
5	0	4
13839	0	4
15622	0	4
1	1	1
37427	0	4
713	0	4
3623	0	4
3832	0	4
37	0	4
1	1	1
22427	0	4
4	0	4
1	1	1
2	0	2
138	0	4
3	0	3
6	0	4
1	1	1
49735	0	4
210	0	4
2	0	2
477	0	4
33	0	4
1	1	1
9086	0	4
121	0	4
4	0	4
50743	0	4
25646	0	4
4	0	4
25760	0	4
465	0	4
1	1	1
7792	0	4
5	0	4
1	1	1
1	1	1
228	0	4
23	0	4
6217	0	4
7917	0	4
10	0	4
2	0	2
16	0	4
5090	0	4
406	0	4
467	0	4
23118	0	4
514	0	4
1171	0	4
1	1	1
6986	0	4
1	1	1
40183	0	4
7261	0	4
8	0	4
3625	0	4
9	0	4
6909	0	4
2	0	2
81	0	4
32634	0	4
468	0	4
3	0	3
171	0	4
1	1	1
3	0	3
46	0	4
9154	0	4
16	0	4
12952	0	4
78666	0	4
1	1	1
32909	0	4
2247	0	4
1521	0	4
1	1	1
11363	0	4
1	1	1
431	0	4
1	1	1
3	0	3
19965	0	4
30348	0	4
4	0	4
3760	0	4
69066	0	4
27915	0	4
6	0	4
61220	0	4
8	0	4
7	0	4
36507	0	4
5	0	4
1	1	1
28719	0	4
34	0	4
1	1	1
1	1	1
3	0	3
37	0	4
606	0	4
8609	0	4
7855	0	4
25	0	4
748	0	4
601	0	4
801	0	4
5401	0	4
11	0	4
1	1	1
6347	0	4
10	0	4
5312	0	4
389	0	4
22	0	4
4	0	4
8	0	4
44731	0	4
9683	0	4
6467	0	4
54608	0	4
1	1	1
585	0	4
18	0	4
14831	0	4
2	0	2
12	0	4
4499	0	4
4	0	4
15	0	4
9856	0	4
61	0	4
2904	0	4
1957	0	4
72860	0	4
59481	0	4
564	0	4
475	0	4
1	1	1
24	0	4
43363	0	4
826	0	4
194	0	4
13	0	4
1	1	1
3	0	3
1187	0	4
359	0	4
18082	0	4
3051	0	4
1378	0	4
56182	0	4
9768	0	4
14	0	4
29857	0	4
1466	0	4
8	0	4
2	0	2
67	0	4
3333	0	4
1	1	1
8103	0	4
15335	0	4
23171	0	4
24263	0	4
7551	0	4
8195	0	4
1796	0	4
129	0	4
367	0	4
2	0	2
30885	0	4
126	0	4
20	0	4
8866	0	4
15106	0	4
1672	0	4
391	0	4
941	0	4
20	0	4
29913	0	4
144	0	4
2	0	2
99873	0	4
9491	0	4
299	0	4
31759	0	4
13	0	4
30774	0	4
103	0	4
27898	0	4
73	0	4
1	1	1
329	0	4
3819	0	4
6089	0	4
1	1	1
74068	0	4
34936	0	4
1887	0	4
34335	0	4
25456	0	4
594	0	4
2	0	2
223	0	4
23357	0	4
10	0	4
1	1	1
5098	0	4
14246	0	4
7001	0	4
5	0	4
66	0	4
22533	0	4
1	1	1
610	0	4
5	0	4
1	1	1
30832	0	4
78	0	4
29	0	4
2294	0	4
1343	0	4
1098	0	4
10250	0	4
21413	0	4
1	1	1
51939	0	4
5959	0	4
5341	0	4
5990	0	4
183	0	4
1	1	1
3847	0	4
3094	0	4
81311	0	4
31617	0	4
52887	0	4
20369	0	4
455	0	4
2400	0	4
42067	0	4
18451	0	4
70	0	4
16502	0	4
4	0	4
4895	0	4
1	1	1
4687	0	4
44	0	4
11388	0	4
5	0	4
4020	0	4
1	1	1
1	1	1
1704	0	4
689	0	4
11	0	4
18357	0	4
534	0	4
6853	0	4
113	0	4
6605	0	4
31	0	4
10	0	4
827	0	4
7898	0	4
30664	0	4
16990	0	4
16	0	4
83735	0	4
1	1	1
2	0	2
9161	0	4
11267	0	4
267	0	4
2	0	2
1	1	1
5	0	4
4123	0	4
8427	0	4
9	0	4
1	1	1
1	1	1
4	0	4
3610	0	4
8001	0	4
8402	0	4
73403	0	4
1	1	1
25	0	4
44275	0	4
22	0	4
1	1	1
463	0	4
188	0	4
7920	0	4
5742	0	4
34	0	4
20145	0	4
11	0	4
66148	0	4
12151	0	4
10623	0	4
21066	0	4
103	0	4
46488	0	4
1	1	1
33106	0	4
1	1	1
435	0	4
6898	0	4
1	1	1
38383	0	4
1720	0	4
36025	0	4
48261	0	4
8144	0	4
21403	0	4
20880	0	4
12	0	4
12031	0	4
5299	0	4
81605	0	4
14934	0	4
672	0	4
16088	0	4
8	0	4
9	0	4
1	1	1
4331	0	4
3	0	3
26044	0	4
480	0	4
5	0	4
5799	0	4
11	0	4
39390	0	4
9	0	4
542	0	4
1	1	1
1	1	1
188	0	4
1	1	1
40446	0	4
244	0	4
17457	0	4
5	0	4
1	1	1
25620	0	4
23	0	4
1	1	1
52	0	4
42792	0	4
42072	0	4
111	0	4
11	0	4
45487	0	4
1	1	1
262	0	4
1740	0	4
43	0	4
13516	0	4
9233	0	4
7730	0	4
23	0	4
4	0	4
3418	0	4
88	0	4
8547	0	4
9522	0	4
5	0	4
62412	0	4
40702	0	4
5135	0	4
77	0	4
3480	0	4
2219	0	4
4559	0	4
32780	0	4
125	0	4
93	0	4
35704	0	4
1032	0	4
5	0	4
2383	0	4
70498	0	4
585	0	4
6	0	4
10433	0	4
916	0	4
3	0	3
8	0	4
30764	0	4
37	0	4
748	0	4
9737	0	4
84572	0	4
12	0	4
55094	0	4
6	0	4
7329	0	4
41148	0	4
1	1	1
9871	0	4
14009	0	4
4	0	4
11235	0	4
3162	0	4
44139	0	4
39993	0	4
1	1	1
1	1	1
7	0	4
1	1	1
456	0	4
1	1	1
55022	0	4
2956	0	4
17	0	4
3667	0	4
16370	0	4
6	0	4
1	1	1
2324	0	4
30657	0	4
5346	0	4
19	0	4
31529	0	4
13767	0	4
33273	0	4
93	0	4
36033	0	4
2812	0	4
11941	0	4
84	0	4
7	0	4
5086	0	4
4302	0	4
74801	0	4
1547	0	4
10795	0	4
2	0	2
4542	0	4
9492	0	4
1014	0	4
2	0	2
1	1	1
7265	0	4
988	0	4
509	0	4
1984	0	4
56420	0	4
1	1	1
157	0	4
1	1	1
14	0	4
1	1	1
62057	0	4
18197	0	4
2176	0	4
2	0	2
42581	0	4
27	0	4
1351	0	4
1188	0	4
1	1	1
15991	0	4
366	0	4
3271	0	4
863	0	4
3	0	3
1075	0	4
38528	0	4
31083	0	4
740	0	4
2	0	2
268	0	4
140	0	4
6944	0	4
7889	0	4
3107	0	4
26	0	4
4766	0	4
5	0	4
58002	0	4
43570	0	4
1867	0	4
8125	0	4
56	0	4
3	0	3
3103	0	4
52912	0	4
23037	0	4
151	0	4
3354	0	4
87692	0	4
8458	0	4
3565	0	4
5292	0	4
55473	0	4
3	0	3
2	0	2
1	1	1
36	0	4
133	0	4
20082	0	4
1	1	1
9313	0	4
2	0	2
86414	0	4
5240	0	4
2	0	2
67	0	4
3	0	3
8905	0	4
42180	0	4
59183	0	4
57426	0	4
1	1	1
2	0	2
1	1	1
1098	0	4
5070	0	4
8	0	4
91116	0	4
1	1	1
14	0	4
14822	0	4
39259	0	4
61	0	4
1	1	1
1	1	1
1945	0	4
64426	0	4
1	1	1
3730	0	4
53473	0	4
8656	0	4
1	1	1
8	0	4
17	0	4
1	1	1
79160	0	4
68505	0	4
96279	0	4
8236	0	4
4055	0	4
75777	0	4
182	0	4
25897	0	4
318	0	4
1068	0	4
14351	0	4
31	0	4
20248	0	4
7	0	4
1	1	1
18697	0	4
497	0	4
21	0	4
311	0	4
39793	0	4
22835	0	4
39572	0	4
14067	0	4
57697	0	4
5	0	4
8619	0	4
6	0	4
2735	0	4
11080	0	4
74	0	4
5268	0	4
2	0	2
1604	0	4
3202	0	4
35608	0	4
618	0	4
1	1	1
2	0	2
5	0	4
39	0	4
42371	0	4
7	0	4
76	0	4
43562	0	4
1	1	1
53	0	4
4928	0	4
428	0	4
432	0	4
1	1	1
98	0	4
37	0	4
2	0	2
3	0	3
7654	0	4
245	0	4
15823	0	4
56386	0	4
25981	0	4
5	0	4
4	0	4
8834	0	4
180	0	4
5803	0	4
19198	0	4
11708	0	4
112	0	4
2335	0	4
1	1	1
18	0	4
19	0	4
2387	0	4
27	0	4
16691	0	4
8	0	4
2	0	2
24	0	4
82195	0	4
88642	0	4
13	0	4
12234	0	4
62	0	4
209	0	4
1	1	1
27304	0	4
14619	0	4
100	0	4
9178	0	4
14668	0	4
241	0	4
1	1	1
985	0	4
1866	0	4
5321	0	4
10749	0	4
1075	0	4
986	0	4
11661	0	4
7657	0	4
265	0	4
7027	0	4
6745	0	4
66900	0	4
10232	0	4
630	0	4
1590	0	4
8	0	4
544	0	4
6887	0	4
1	1	1
29215	0	4
13	0	4
28706	0	4
