Result	Accuracy	Rank
4089	0	4
298	0	4
2	0	2
193	0	4
1	1	1
30	0	4
374	0	4
41	0	4
118	0	4
29	0	4
355	0	4
1	1	1
45	0	4
9	0	4
3	0	3
3	0	3
5	0	4
1	1	1
3	0	3
1	1	1
30	0	4
5	0	4
9	0	4
357	0	4
3	0	3
4	0	4
3	0	3
81	0	4
78	0	4
1	1	1
48633	0	4
1	1	1
8649	0	4
2886	0	4
289	0	4
28	0	4
79	0	4
7805	0	4
64	0	4
33	0	4
3	0	3
6902	0	4
75	0	4
14	0	4
54	0	4
2	0	2
1439	0	4
117	0	4
12	0	4
17	0	4
8	0	4
302	0	4
677	0	4
210	0	4
1	1	1
2	0	2
1	1	1
4	0	4
1	1	1
92	0	4
1	1	1
4	0	4
2166	0	4
411	0	4
1	1	1
67	0	4
63	0	4
82	0	4
7	0	4
15	0	4
42	0	4
2	0	2
25	0	4
1	1	1
1	1	1
1	1	1
37	0	4
1218	0	4
232	0	4
1	1	1
5	0	4
161	0	4
17	0	4
1	1	1
4	0	4
59	0	4
1088	0	4
11701	0	4
11	0	4
8	0	4
1	1	1
10	0	4
5847	0	4
3	0	3
1	1	1
95	0	4
1	1	1
13	0	4
1	1	1
1	1	1
34	0	4
4	0	4
63	0	4
79	0	4
1	1	1
1	1	1
6	0	4
2	0	2
453	0	4
18	0	4
18	0	4
1277	0	4
1	1	1
6	0	4
2	0	2
1	1	1
64	0	4
6	0	4
45	0	4
100	0	4
7	0	4
38	0	4
1403	0	4
86	0	4
3	0	3
9	0	4
70	0	4
14	0	4
189	0	4
1	1	1
1	1	1
1	1	1
26	0	4
356	0	4
222	0	4
12	0	4
65	0	4
1	1	1
1	1	1
214	0	4
1	1	1
320	0	4
73	0	4
408	0	4
1	1	1
2806	0	4
4	0	4
72	0	4
17	0	4
26	0	4
1	1	1
1	1	1
10	0	4
62	0	4
258	0	4
42	0	4
2	0	2
109	0	4
522	0	4
3	0	3
5	0	4
3560	0	4
35	0	4
32	0	4
1	1	1
54	0	4
159	0	4
1254	0	4
6	0	4
25	0	4
2	0	2
4	0	4
1	1	1
20	0	4
163	0	4
25	0	4
16	0	4
7	0	4
134	0	4
36	0	4
47	0	4
2	0	2
5	0	4
554	0	4
2	0	2
4027	0	4
1	1	1
1	1	1
2439	0	4
5	0	4
3304	0	4
1	1	1
74	0	4
1	1	1
114	0	4
86	0	4
696	0	4
2	0	2
1	1	1
156	0	4
1	1	1
1	1	1
133	0	4
84	0	4
525	0	4
32	0	4
47	0	4
1	1	1
38	0	4
17	0	4
515	0	4
155	0	4
29	0	4
30	0	4
62	0	4
1	1	1
1	1	1
37	0	4
9	0	4
3	0	3
1	1	1
2498	0	4
1	1	1
1	1	1
2	0	2
10	0	4
3	0	3
1	1	1
14	0	4
1	1	1
12	0	4
29	0	4
43	0	4
2	0	2
2	0	2
2	0	2
69	0	4
1	1	1
2	0	2
8	0	4
8	0	4
5	0	4
8	0	4
19	0	4
90	0	4
455	0	4
3	0	3
5647	0	4
1616	0	4
2	0	2
7	0	4
1	1	1
7	0	4
2977	0	4
1856	0	4
2	0	2
201	0	4
4	0	4
2	0	2
2	0	2
762	0	4
22	0	4
10	0	4
18766	0	4
3	0	3
6	0	4
1848	0	4
929	0	4
78	0	4
8	0	4
345	0	4
6	0	4
1	1	1
2	0	2
2	0	2
10	0	4
6	0	4
11	0	4
10	0	4
2	0	2
344	0	4
16	0	4
5	0	4
1	1	1
893	0	4
1	1	1
1	1	1
20	0	4
16	0	4
8	0	4
11	0	4
15	0	4
53	0	4
8	0	4
27	0	4
240	0	4
9	0	4
2	0	2
19	0	4
4	0	4
15	0	4
267	0	4
164	0	4
57	0	4
18	0	4
8	0	4
4	0	4
1	1	1
1	1	1
8196	0	4
29	0	4
49	0	4
515	0	4
1	1	1
1	1	1
3	0	3
24	0	4
53	0	4
4	0	4
2	0	2
2	0	2
