Result	Accuracy	Rank
726	0	4
811	0	4
1	1	1
204	0	4
1	1	1
12	0	4
180	0	4
20	0	4
59	0	4
10	0	4
104	0	4
1	1	1
1	1	1
12	0	4
2	0	2
7	0	4
2	0	2
1	1	1
2	0	2
1	1	1
18	0	4
6	0	4
32	0	4
52	0	4
3	0	3
4	0	4
1	1	1
32	0	4
35	0	4
1	1	1
8041	0	4
1	1	1
9602	0	4
1257	0	4
131	0	4
1	1	1
46	0	4
889	0	4
5	0	4
57	0	4
9	0	4
1641	0	4
3	0	3
4	0	4
179	0	4
2	0	2
2640	0	4
16	0	4
6	0	4
44	0	4
1	1	1
23	0	4
56	0	4
175	0	4
1	1	1
1	1	1
3	0	3
5	0	4
2	0	2
61	0	4
11	0	4
5	0	4
12	0	4
24	0	4
1	1	1
27	0	4
307	0	4
3	0	3
8	0	4
1	1	1
24	0	4
4	0	4
40	0	4
1	1	1
1	1	1
1	1	1
34	0	4
395	0	4
37	0	4
1	1	1
7	0	4
23	0	4
15	0	4
1	1	1
30	0	4
86	0	4
131	0	4
3389	0	4
24	0	4
3	0	3
1	1	1
14	0	4
789	0	4
9	0	4
1	1	1
21	0	4
4	0	4
3	0	3
5	0	4
1	1	1
6	0	4
2	0	2
16	0	4
14	0	4
1	1	1
6	0	4
4	0	4
1	1	1
40	0	4
21	0	4
8	0	4
45	0	4
1	1	1
7	0	4
2	0	2
9	0	4
58	0	4
2	0	2
34	0	4
25	0	4
13	0	4
63	0	4
1093	0	4
17	0	4
6	0	4
3	0	3
30	0	4
6	0	4
30	0	4
1	1	1
16	0	4
1	1	1
1196	0	4
1407	0	4
409	0	4
3	0	3
16	0	4
1	1	1
2	0	2
98	0	4
1	1	1
29	0	4
21	0	4
9	0	4
1	1	1
29	0	4
1	1	1
17	0	4
14	0	4
17	0	4
1	1	1
13	0	4
35	0	4
16	0	4
108	0	4
43	0	4
4	0	4
12	0	4
21	0	4
2	0	2
9	0	4
1464	0	4
122	0	4
69	0	4
1	1	1
6	0	4
10	0	4
246	0	4
4	0	4
7	0	4
7	0	4
8	0	4
5	0	4
49	0	4
108	0	4
30	0	4
23	0	4
1	1	1
11	0	4
1	1	1
23	0	4
1	1	1
4	0	4
35	0	4
4	0	4
7851	0	4
1	1	1
2	0	2
783	0	4
3	0	3
324	0	4
1	1	1
65	0	4
6	0	4
32	0	4
61	0	4
107	0	4
2	0	2
1	1	1
35	0	4
1	1	1
2	0	2
525	0	4
8	0	4
96	0	4
25	0	4
