Result	Accuracy	Rank
725	0	4
101	0	4
1	1	1
72	0	4
8	0	4
404	0	4
78	0	4
450	0	4
30	0	4
24	0	4
5605	0	4
1	1	1
3	0	3
28	0	4
218	0	4
7	0	4
9	0	4
1	1	1
44	0	4
1	1	1
27	0	4
8	0	4
11	0	4
444	0	4
342	0	4
3002	0	4
1	1	1
5100	0	4
129	0	4
2	0	2
14337	0	4
1	1	1
5113	0	4
261	0	4
304	0	4
10	0	4
416	0	4
1728	0	4
303	0	4
653	0	4
17	0	4
923	0	4
26	0	4
221	0	4
280	0	4
52	0	4
1039	0	4
158	0	4
2	0	2
36	0	4
158	0	4
867	0	4
667	0	4
11	0	4
1	1	1
31	0	4
1	1	1
26	0	4
153	0	4
1	1	1
1	1	1
37	0	4
1083	0	4
1774	0	4
26	0	4
132	0	4
4665	0	4
5	0	4
10	0	4
110	0	4
13	0	4
18	0	4
2	0	2
4	0	4
2	0	2
3	0	3
13	0	4
6120	0	4
16	0	4
1	1	1
6	0	4
144	0	4
60	0	4
1	1	1
1322	0	4
136	0	4
4920	0	4
130	0	4
137	0	4
3	0	3
12	0	4
5	0	4
390	0	4
6	0	4
4	0	4
51	0	4
1	1	1
30	0	4
5	0	4
1	1	1
13	0	4
1	1	1
1588	0	4
94	0	4
1	1	1
1	1	1
3	0	3
2	0	2
5	0	4
29	0	4
12	0	4
4	0	4
1	1	1
7	0	4
13	0	4
13	0	4
539	0	4
2	0	2
86	0	4
41	0	4
282	0	4
35	0	4
539	0	4
303	0	4
38	0	4
165	0	4
253	0	4
8	0	4
453	0	4
3	0	3
784	0	4
20	0	4
10	0	4
5787	0	4
20047	0	4
16	0	4
881	0	4
1	1	1
1	1	1
89	0	4
1	1	1
86	0	4
306	0	4
993	0	4
10	0	4
1359	0	4
2	0	2
4	0	4
20	0	4
5	0	4
1	1	1
1	1	1
40	0	4
525	0	4
68	0	4
61	0	4
222	0	4
36	0	4
130	0	4
4	0	4
3244	0	4
7280	0	4
7398	0	4
30	0	4
1	1	1
