Result	Accuracy	Rank
1119	0	4
296	0	4
1	1	1
21	0	4
4	0	4
969	0	4
366	0	4
475	0	4
62	0	4
2	0	2
676	0	4
1	1	1
4	0	4
22	0	4
433	0	4
233	0	4
31	0	4
1	1	1
38	0	4
1	1	1
22	0	4
8	0	4
213	0	4
286	0	4
142	0	4
1505	0	4
1	1	1
1288	0	4
129	0	4
1	1	1
14112	0	4
1	1	1
2567	0	4
277	0	4
165	0	4
11	0	4
1335	0	4
1143	0	4
82	0	4
597	0	4
1	1	1
476	0	4
4	0	4
334	0	4
598	0	4
6	0	4
1027	0	4
12	0	4
2	0	2
189	0	4
26	0	4
262	0	4
355	0	4
31	0	4
1	1	1
2	0	2
1	1	1
6	0	4
4	0	4
2	0	2
325	0	4
3	0	3
895	0	4
672	0	4
13	0	4
28	0	4
1362	0	4
12	0	4
12	0	4
181	0	4
49	0	4
10	0	4
2	0	2
6	0	4
1	1	1
7	0	4
17	0	4
404	0	4
225	0	4
5	0	4
18	0	4
7	0	4
14	0	4
1	1	1
831	0	4
56	0	4
4668	0	4
1523	0	4
243	0	4
4	0	4
2	0	2
1	1	1
296	0	4
5	0	4
1	1	1
152	0	4
1	1	1
6	0	4
2	0	2
1	1	1
3	0	3
6	0	4
110	0	4
37	0	4
2	0	2
34	0	4
2	0	2
1	1	1
105	0	4
27	0	4
16	0	4
32	0	4
1	1	1
20	0	4
3	0	3
476	0	4
408	0	4
3	0	3
53	0	4
22	0	4
23	0	4
5	0	4
1175	0	4
140	0	4
33	0	4
54	0	4
243	0	4
46	0	4
45	0	4
2	0	2
98	0	4
9	0	4
12	0	4
3485	0	4
10162	0	4
1	1	1
229	0	4
1	1	1
1	1	1
110	0	4
1	1	1
36	0	4
31	0	4
2054	0	4
3	0	3
99	0	4
2	0	2
9	0	4
6	0	4
7	0	4
1	1	1
1	1	1
45	0	4
43	0	4
253	0	4
41	0	4
1	1	1
12	0	4
46	0	4
4	0	4
336	0	4
21041	0	4
6049	0	4
20	0	4
1	1	1
4	0	4
3	0	3
832	0	4
37	0	4
3	0	3
19	0	4
33	0	4
992	0	4
26	0	4
327	0	4
17	0	4
3	0	3
1	1	1
80	0	4
480	0	4
37	0	4
5	0	4
42	0	4
360	0	4
456	0	4
6325	0	4
3	0	3
2	0	2
3061	0	4
5	0	4
237	0	4
1	1	1
96	0	4
1	1	1
402	0	4
7	0	4
25	0	4
2	0	2
3	0	3
42	0	4
2	0	2
2	0	2
1564	0	4
711	0	4
67	0	4
1871	0	4
96	0	4
1	1	1
53	0	4
36	0	4
392	0	4
101	0	4
234	0	4
54	0	4
12	0	4
1	1	1
3	0	3
12	0	4
242	0	4
640	0	4
7	0	4
355	0	4
2942	0	4
3	0	3
1	1	1
4700	0	4
2	0	2
1	1	1
1	1	1
2	0	2
1	1	1
9	0	4
45	0	4
109	0	4
1	1	1
1	1	1
127	0	4
1	1	1
4	0	4
3	0	3
1	1	1
1	1	1
90	0	4
24	0	4
10	0	4
5	0	4
1	1	1
530	0	4
285	0	4
1	1	1
34	0	4
1	1	1
6	0	4
2062	0	4
168	0	4
8	0	4
556	0	4
1	1	1
1	1	1
2	0	2
1948	0	4
423	0	4
12	0	4
11066	0	4
2	0	2
215	0	4
1092	0	4
1479	0	4
21	0	4
1	1	1
7	0	4
13	0	4
1	1	1
1	1	1
1	1	1
15	0	4
3	0	3
3	0	3
5	0	4
1	1	1
108	0	4
2	0	2
1	1	1
1	1	1
192	0	4
2	0	2
1	1	1
3	0	3
5	0	4
1	1	1
10	0	4
1	1	1
242	0	4
57	0	4
47	0	4
17	0	4
1	1	1
2	0	2
9	0	4
3	0	3
4	0	4
494	0	4
607	0	4
43	0	4
223	0	4
100	0	4
2	0	2
1	1	1
1	1	1
6084	0	4
188	0	4
24	0	4
798	0	4
2	0	2
63	0	4
2	0	2
4	0	4
5224	0	4
146	0	4
1	1	1
