Result	Accuracy	Rank
19	0	4
134	0	4
1	1	1
39	0	4
3	0	3
24	0	4
114	0	4
99	0	4
126	0	4
12	0	4
82	0	4
1	1	1
81	0	4
108	0	4
3	0	3
6	0	4
7	0	4
1	1	1
6	0	4
1	1	1
1	1	1
11	0	4
939	0	4
1986	0	4
10	0	4
2	0	2
1	1	1
2	0	2
44	0	4
1	1	1
711	0	4
1	1	1
858	0	4
9767	0	4
187	0	4
8	0	4
770	0	4
37053	0	4
5	0	4
4021	0	4
8	0	4
5601	0	4
223	0	4
47	0	4
107	0	4
1	1	1
81	0	4
11	0	4
12	0	4
211	0	4
1	1	1
25	0	4
1650	0	4
17124	0	4
1	1	1
7	0	4
1	1	1
2	0	2
20	0	4
2	0	2
57	0	4
1	1	1
486	0	4
62	0	4
18	0	4
691	0	4
422	0	4
5	0	4
69	0	4
94	0	4
4	0	4
13	0	4
38	0	4
6	0	4
5	0	4
2	0	2
11	0	4
38	0	4
87	0	4
3	0	3
1	1	1
558	0	4
35	0	4
4	0	4
4378	0	4
34	0	4
456	0	4
10445	0	4
11	0	4
3	0	3
1	1	1
49	0	4
45943	0	4
23	0	4
1	1	1
18	0	4
1	1	1
115	0	4
3	0	3
1	1	1
3	0	3
40	0	4
34	0	4
305	0	4
3	0	3
1660	0	4
4	0	4
2	0	2
150	0	4
17	0	4
59	0	4
550	0	4
1	1	1
762	0	4
8	0	4
1	1	1
619	0	4
2	0	2
36	0	4
88	0	4
1078	0	4
3414	0	4
1491	0	4
1135	0	4
1	1	1
19	0	4
345	0	4
37	0	4
10	0	4
1	1	1
132	0	4
854	0	4
132	0	4
481	0	4
1422	0	4
42	0	4
42	0	4
1	1	1
1	1	1
29	0	4
3	0	3
3219	0	4
60	0	4
1705	0	4
2	0	2
22	0	4
3	0	3
6	0	4
19	0	4
212	0	4
2	0	2
1	1	1
5	0	4
104	0	4
2111	0	4
524	0	4
346	0	4
9	0	4
5	0	4
7	0	4
26	0	4
9832	0	4
3069	0	4
572	0	4
3	0	3
3	0	3
241	0	4
10525	0	4
5	0	4
10	0	4
34	0	4
17	0	4
8	0	4
710	0	4
19	0	4
57	0	4
3	0	3
11	0	4
7	0	4
1900	0	4
2	0	2
86	0	4
1523	0	4
321	0	4
40	0	4
24956	0	4
1	1	1
1	1	1
921	0	4
4	0	4
9392	0	4
1	1	1
196	0	4
1	1	1
31	0	4
4	0	4
204	0	4
4	0	4
1	1	1
2	0	2
5	0	4
1	1	1
80	0	4
13	0	4
856	0	4
104	0	4
87	0	4
1	1	1
204	0	4
80	0	4
74	0	4
71	0	4
429	0	4
17	0	4
31	0	4
1	1	1
66	0	4
57	0	4
111	0	4
514	0	4
194	0	4
2063	0	4
6	0	4
1	1	1
4	0	4
11	0	4
54	0	4
1	1	1
14	0	4
4	0	4
3	0	3
16	0	4
77	0	4
148	0	4
1	1	1
1	1	1
449	0	4
1	1	1
2	0	2
57	0	4
28	0	4
1	1	1
13	0	4
263	0	4
735	0	4
96	0	4
116	0	4
21775	0	4
9398	0	4
5	0	4
1	1	1
1	1	1
122	0	4
2157	0	4
3	0	3
5	0	4
6939	0	4
4	0	4
2	0	2
1	1	1
7910	0	4
4	0	4
7	0	4
4410	0	4
1	1	1
26	0	4
102	0	4
541	0	4
2	0	2
1	1	1
869	0	4
7	0	4
1	1	1
2	0	2
2	0	2
6	0	4
7	0	4
2	0	2
5	0	4
46	0	4
291	0	4
5	0	4
1	1	1
1	1	1
236	0	4
29	0	4
10	0	4
2	0	2
7	0	4
44	0	4
4	0	4
49	0	4
29	0	4
258	0	4
11	0	4
8465	0	4
91	0	4
1	1	1
2765	0	4
6	0	4
1	1	1
3936	0	4
4568	0	4
61	0	4
89	0	4
15	0	4
2	0	2
1	1	1
1	1	1
9950	0	4
121	0	4
80	0	4
3991	0	4
2	0	2
2	0	2
4	0	4
11	0	4
17	0	4
8	0	4
3	0	3
5	0	4
7545	0	4
325	0	4
236	0	4
4	0	4
14	0	4
11	0	4
3	0	3
6	0	4
5	0	4
502	0	4
97	0	4
23471	0	4
3	0	3
606	0	4
4	0	4
4	0	4
10709	0	4
2839	0	4
21	0	4
38	0	4
5	0	4
1	1	1
21	0	4
3	0	3
12	0	4
2925	0	4
57	0	4
2	0	2
23534	0	4
3	0	3
2	0	2
1	1	1
27	0	4
84	0	4
7258	0	4
346	0	4
310	0	4
577	0	4
18	0	4
14	0	4
2672	0	4
2368	0	4
30713	0	4
2	0	2
34	0	4
322	0	4
77	0	4
4	0	4
1	1	1
2	0	2
11	0	4
151	0	4
2	0	2
66	0	4
27	0	4
8	0	4
5	0	4
2	0	2
44	0	4
1	1	1
180	0	4
1	1	1
1	1	1
62	0	4
61	0	4
58	0	4
62	0	4
713	0	4
99	0	4
111	0	4
277	0	4
422	0	4
114	0	4
96	0	4
11708	0	4
13603	0	4
30	0	4
7	0	4
859	0	4
4146	0	4
266	0	4
1	1	1
93	0	4
287	0	4
48	0	4
304	0	4
498	0	4
2	0	2
50	0	4
31	0	4
8404	0	4
3	0	3
108	0	4
1	1	1
3	0	3
1	1	1
2849	0	4
1	1	1
1	1	1
9	0	4
48	0	4
72	0	4
3	0	3
4	0	4
1	1	1
45	0	4
2	0	2
119	0	4
1061	0	4
1	1	1
1	1	1
32	0	4
248	0	4
1715	0	4
3	0	3
77	0	4
36	0	4
545	0	4
1	1	1
1	1	1
5139	0	4
8	0	4
698	0	4
9401	0	4
8	0	4
41	0	4
3	0	3
7	0	4
7935	0	4
7	0	4
2343	0	4
46	0	4
1302	0	4
1	1	1
2	0	2
10	0	4
5	0	4
1	1	1
10	0	4
3	0	3
11	0	4
1193	0	4
740	0	4
184	0	4
136	0	4
13	0	4
5	0	4
32	0	4
28	0	4
15	0	4
32	0	4
17	0	4
58	0	4
7177	0	4
1110	0	4
1	1	1
4	0	4
3	0	3
1128	0	4
1	1	1
1	1	1
6	0	4
395	0	4
4	0	4
2	0	2
33	0	4
15	0	4
1164	0	4
603	0	4
52	0	4
4	0	4
21	0	4
9	0	4
116	0	4
10	0	4
21	0	4
3	0	3
8	0	4
1	1	1
1	1	1
11	0	4
8	0	4
22	0	4
16	0	4
68	0	4
5	0	4
2543	0	4
14	0	4
9	0	4
34	0	4
6	0	4
300	0	4
15	0	4
9	0	4
2	0	2
25	0	4
11	0	4
85	0	4
2	0	2
2	0	2
4	0	4
76	0	4
2	0	2
20	0	4
209	0	4
17327	0	4
1333	0	4
121	0	4
1	1	1
3196	0	4
1	1	1
30	0	4
230	0	4
2	0	2
1	1	1
2	0	2
239	0	4
2	0	2
19	0	4
17	0	4
31	0	4
4	0	4
128	0	4
1	1	1
21	0	4
87	0	4
6	0	4
146	0	4
2	0	2
94	0	4
1	1	1
1	1	1
2947	0	4
103	0	4
1	1	1
1114	0	4
5	0	4
19	0	4
1	1	1
142	0	4
258	0	4
37	0	4
466	0	4
1	1	1
12	0	4
1	1	1
7	0	4
1	1	1
2	0	2
3	0	3
391	0	4
23545	0	4
4	0	4
1	1	1
1	1	1
24	0	4
17	0	4
1	1	1
34	0	4
72	0	4
1111	0	4
3	0	3
540	0	4
1	1	1
71723	0	4
1	1	1
10	0	4
84	0	4
1487	0	4
6847	0	4
3	0	3
2	0	2
103	0	4
684	0	4
2	0	2
39	0	4
1	1	1
108	0	4
71	0	4
9	0	4
253	0	4
2419	0	4
4	0	4
2	0	2
308	0	4
576	0	4
28	0	4
2	0	2
1008	0	4
1	1	1
1766	0	4
2	0	2
47	0	4
12165	0	4
12	0	4
32	0	4
167	0	4
2	0	2
1	1	1
15	0	4
20	0	4
347	0	4
1299	0	4
1	1	1
1	1	1
1	1	1
17	0	4
13	0	4
2	0	2
10	0	4
1	1	1
265	0	4
28	0	4
1	1	1
1207	0	4
5	0	4
3	0	3
65	0	4
54	0	4
7	0	4
45	0	4
11	0	4
10	0	4
4	0	4
4	0	4
2	0	2
1	1	1
2	0	2
2	0	2
7	0	4
174	0	4
9	0	4
81	0	4
1	1	1
64	0	4
23	0	4
123	0	4
2	0	2
4	0	4
4	0	4
2	0	2
3	0	3
5	0	4
5	0	4
29	0	4
2	0	2
2	0	2
62	0	4
2	0	2
1	1	1
1	1	1
5	0	4
57	0	4
1	1	1
2	0	2
1	1	1
7	0	4
2	0	2
81	0	4
9	0	4
15	0	4
5	0	4
142	0	4
30	0	4
373	0	4
1	1	1
5	0	4
2	0	2
1	1	1
4	0	4
5	0	4
507	0	4
1	1	1
6	0	4
5	0	4
4374	0	4
635	0	4
44	0	4
84	0	4
11681	0	4
83	0	4
11	0	4
3	0	3
4	0	4
1032	0	4
5	0	4
106	0	4
42276	0	4
3620	0	4
169	0	4
11014	0	4
1	1	1
550	0	4
77	0	4
1	1	1
11	0	4
574	0	4
1	1	1
66	0	4
65	0	4
82	0	4
30	0	4
32	0	4
4955	0	4
5	0	4
404	0	4
275	0	4
23	0	4
227	0	4
13	0	4
3	0	3
5059	0	4
320	0	4
335	0	4
624	0	4
4	0	4
60	0	4
8	0	4
3	0	3
528	0	4
14855	0	4
1234	0	4
11	0	4
63	0	4
9	0	4
376	0	4
6	0	4
11	0	4
57	0	4
1	1	1
16	0	4
7	0	4
1	1	1
850	0	4
3	0	3
13296	0	4
9	0	4
225	0	4
1	1	1
111	0	4
1	1	1
15	0	4
19003	0	4
7	0	4
2	0	2
174	0	4
1	1	1
33	0	4
2207	0	4
14	0	4
253	0	4
21	0	4
2	0	2
37	0	4
1	1	1
2	0	2
3	0	3
56	0	4
1	1	1
1	1	1
