stimulus	stimulus.lemma	stimulus.freq	in_test	in_cogalex	norm	FIRST	FIRST.count	FIRST.lemma	FIRST.freq	HAPAX	HAPAX.count	HAPAX.lemma	HAPAX.freq	RANDOM	RANDOM.count	RANDOM.lemma	RANDOM.freq
2nd	2nd_j	265333	TRUE	FALSE	EAT	1st	15	1st_j	294964	amendment	1	amendment_n	272630	cocktails	0	cocktail_n	80061
abandon	abandon_v	288382	TRUE	FALSE	EAT	leave	40	leave_v	4514324	child	1	child_n	5227137	believe	0	believe_v	3364416
abate	abate_v	12773	TRUE	TRUE	EAT	stop	26	stop_v	1927630	fall	1	fall_v	1665333	springs	0	spring_n	526920
abatement	abatement_n	9229	FALSE	FALSE	EAT	noise	29	noise_n	414912	self	1	self_n	429925	experts	0	expert_n	733752
abbey	abbey_n	19096	TRUE	FALSE	EAT	church	29	church_n	1322101	father	1	father_n	1096321	poorer	0	poor_j	1137653
abdicate	abdicate_v	7862	TRUE	TRUE	EAT	king	26	king_n	440249	hide	1	hide_v	475102	situation	0	situation_n	1528831
abducted	abduct_v	23074	TRUE	TRUE	EAT	kidnapped	15	kidnap_v	49525	hijack	1	hijack_v	41386	soda	0	soda_n	50715
abide	abide_v	61924	TRUE	FALSE	EAT	stay	24	stay_v	1542977	sit	1	sit_v	1543515	temperature	0	temperature_n	614454
abiding	abiding_j	13319	TRUE	TRUE	EAT	living	12	live_v	3607397	book	1	book_n	4210995	pays	0	pay_v	3355712
ability	ability_n	1223298	TRUE	TRUE	EAT	able	9	able_j	3097710	create	1	create_v	3725827	choose	0	choose_v	1883570
abort	abort_v	21587	TRUE	FALSE	EAT	stop	8	stop_v	1927630	death	1	death_n	1767563	succeed	0	succeed_v	382654
abound	abound_v	46592	FALSE	TRUE	EAT	plenty	17	plenty_n	521780	sun	1	sun_n	480949	national	0	national_z	1488929
abrasive	abrasive_j	9738	FALSE	TRUE	EAT	rough	21	rough_j	198030	acid	1	acid_n	198124	linings	0	lining_n	44527
abroad	abroad_r	234492	TRUE	TRUE	EAT	foreign	17	foreign_j	677265	french	1	french_j	611830	guess	0	guess_v	745140
abrupt	abrupt_j	25626	FALSE	FALSE	EAT	short	22	short_j	1742715	ending	1	end_v	1562995	caught	0	catch_v	946246
absence	absence_n	297111	FALSE	TRUE	EAT	away	13	away_r	3122952	today	1	today_n	2855805	route	0	route_n	640156
absent	absent_j	93289	FALSE	TRUE	EAT	away	22	away_r	3122952	often	1	often_r	2998613	loses	0	lose_v	2309249
absorb	absorb_v	180143	FALSE	FALSE	EAT	soak	13	soak_v	92211	dirt	1	dirt_n	105920	lamb	0	lamb_n	70834
absorption	absorption_n	47526	TRUE	FALSE	EAT	soak	7	soak_v	92211	kidneys	1	kidney_n	93382	paragraph	0	paragraph_n	309112
abstain	abstain_v	24056	TRUE	FALSE	EAT	stop	9	stop_v	1927630	lose	1	lose_v	2309249	rich	0	rich_j	665415
abstract	abstract_j	132229	TRUE	FALSE	EAT	art	16	art_n	1570207	picture	1	picture_n	1388704	broken	0	break_v	1509441
abstractions	abstraction_n	49479	TRUE	FALSE	EAT	art	15	art_n	1570207	lights	1	light_n	1539253	term	0	term_n	2721667
absurdity	absurdity_n	26869	FALSE	TRUE	EAT	stupid	17	stupid_j	302491	confuse	1	confuse_v	256525	sow	0	sow_v	49941
abuse	abuse_n	445817	TRUE	FALSE	EAT	swear	10	swear_v	145624	ignorance	1	ignorance_n	135000	shirt	0	shirt_n	190911
acceleration	acceleration_n	54652	TRUE	FALSE	EAT	speed	32	speed_n	832184	push	1	push_v	785613	importance	0	importance_n	590239
accent	accent_n	96126	TRUE	FALSE	EAT	voice	7	voice_n	944475	north	1	north_z	1069502	journal	0	journal_z	352520
accents	accent_n	96126	FALSE	TRUE	EAT	dialects	7	dialect_n	39449	queer	1	queer_j	25333	heavily	0	heavily_r	265866
accept	accept_v	1372447	FALSE	FALSE	EAT	receive	12	receive_v	2823591	love	1	love_v	2404845	souls	0	soul_n	525786
accepted	accept_v	1372447	TRUE	TRUE	EAT	taken	11	take_v	14007250	good	1	good_j	14657378	seem	0	seem_v	4628143
access	access_n	1542882	TRUE	TRUE	EAT	road	15	road_n	1645413	meeting	1	meeting_n	1575972	existed	0	exist_v	1382919
accident	accident_n	451338	FALSE	FALSE	EAT	car	21	car_n	2850786	case	1	case_n	4845956	methods	0	method_n	1468575
accommodation	accommodation_n	374631	TRUE	TRUE	EAT	room	13	room_n	2515429	car	1	car_n	2850786	industry	0	industry_n	1729540
accomplish	accomplish_v	263298	TRUE	TRUE	EAT	finish	24	finish_v	916803	quickly	1	quickly_r	1029788	rock	0	rock_n	636473
accordingly	accordingly_r	176587	FALSE	FALSE	EAT	so	14	so_r	17796696	say	1	say_v	18642406	added	0	add_v	3315870
