Target	a1	a2	a3	a4	a5
abound	plenty	many	lots	around	leap
about	around	turn	round	now	time
above	below	high	over	sky	all
abrasive	rough	sandpaper	rub	cutting	hard
absence	away	fonder	illness	leave	presence
absent	away	minded	gone	present	ill
absurdity	stupid	ridiculous	mad	stupidity	clown
accents	dialects	language	foreign	speech	french
accordion	music	piano	play	player	instrument
accountant	money	chartered	clerk	office	turf
accrue	gather	gain	money	acquire	collect
achieve	nothing	attain	gain	success	win
acids	alkalis	alkali	bases	burn	science
acknowledged	letter	receipt	accepted	received	replied
acquaintance	friend	know	person	friends	casual
acquired	got	obtained	gained	taste	bought
acrid	smell	bitter	acid	smoke	dry
actions	words	deeds	movement	movements	reactions
actual	real	fact	happening	truth	exact
adequate	enough	sufficient	inadequate	good	food
adolescence	youth	young	puberty	child	spots
adult	child	male	man	mature	old
advanced	forward	retarded	level	maths	technology
affairs	love	business	current	matters	sex
affirm	confirm	agree	yes	deny	acknowledge
affluence	wealth	money	rich	society	influence
africa	black	continent	asia	india	dark
ageless	old	time	beauty	young	eternal
aggression	fight	fear	anger	attack	hate
agile	fit	nimble	athletic	lithe	monkey
ahoy	there	ship	boat	land	sailor
air	plane	fresh	water	breathe	force
ajar	open	door	ajax	ale	beer
alan	ladd	brother	boy	father	freeman
alcoholism	drink	drunk	drugs	beer	booze
ale	beer	drink	house	pub	brown
alert	awake	quick	alive	bright	ready
alike	similar	same	twins	peas	different
alley	cat	way	dark	bowling	path
allotment	garden	vegetables	plot	cabbage	gardening
allure	attract	entice	sex	charm	perfume
ally	friend	cat	enemy	baba	dark
almond	nut	cake	oil	essence	paste
alternative	other	choice	question	route	answer
am	i	not	is	me	are
amble	walk	stroll	along	slow	dawdle
amen	prayer	end	corner	hymn	church
amethyst	stone	ring	jewel	diamond	purple
ammunition	guns	gun	war	bullets	fire
among	between	with	friends	us	others
ample	enough	plenty	time	sufficient	large
amulet	ring	charm	arm	bracelet	band
anchor	ship	chain	boat	weigh	away
angle	fish	geometry	maths	acute	obtuse
ankle	foot	leg	bone	joint	knee
annoyance	anger	angry	noise	annoyed	frustration
answer	question	reply	yes	correct	no
ant	hill	eater	insect	busy	egg
anthill	ants	molehill	ant	mole	mound
anthropology	social	apes	man	sociology	ape
anti	against	apartheid	war	establishment	pro
apart	together	separate	from	away	alone
apex	top	triangle	point	corner	tip
apparition	ghost	vision	dream	sight	dagger
appear	disappear	see	seem	come	vanish
appetite	food	hunger	hungry	eat	meal
approximate	near	about	time	nearly	rough
apricot	jam	fruit	orange	peach	pie
architecture	building	buildings	design	house	church
are	you	is	not	we	am
arid	dry	desert	sand	waste	bad
arithmetic	maths	sums	school	sum	numbers
armed	gun	guns	forces	soldiers	war
armies	war	soldiers	men	navies	blood
army	navy	war	soldier	men	blood
around	about	circle	here	world	clock
arousal	sex	sexual	awake	awaken	awakening
articulation	speech	lorry	joint	mouth	movement
artificial	false	leg	plastic	limb	real
arts	science	sciences	faculty	crafts	council
ascending	descending	up	stairs	climb	climbing
ash	tree	tray	fire	cigarette	wednesday
ashtray	cigarette	cigarettes	fag	ash	smoke
assistant	shop	helper	help	manager	director
associate	friend	with	member	word	words
assured	confident	certain	safe	self	insurance
aster	flower	lady	lord	plant	star
asylum	lunatic	mental	mad	insane	nuts
at	home	by	here	in	on
ate	food	eat	full	meal	eaten
attain	reach	get	achieve	gain	obtain
attend	lectures	wait	school	lecture	come
attention	please	stand	pay	army	listen
away	from	home	far	go	gone
awkward	difficult	clumsy	gauche	hard	odd
bacillus	germ	bacteria	bug	disease	penicillin
back	front	ache	door	side	forward
bacon	egg	eggs	rind	pig	danish
bad	good	evil	luck	boy	men
badminton	racket	game	tennis	shuttlecock	squash
baggage	luggage	case	cases	train	travel
bags	eyes	sacks	coal	shopping	paper
baker	bread	butcher	dozen	cake	buns
bakery	bread	cakes	cake	buns	food
baking	bread	cake	cakes	powder	cooking
balance	scales	sheet	weight	beam	fall
balcony	romeo	veranda	window	high	house
ballet	dancer	dance	dancing	shoes	ballerina
band	music	wagon	rubber	brass	box
bare	naked	nude	back	foot	body
barges	canal	canals	boats	river	poles
barking	dog	tree	creek	dogs	essex
barn	door	hay	dance	farm	yard
baron	knight	castle	earl	king	knights
barracks	soldiers	army	soldier	huts	room
barred	banned	stopped	gate	prison	window
bash	hit	thump	bang	smash	street
basketball	game	net	football	netball	sport
baton	conductor	stick	police	charge	policeman
battery	car	hen	torch	radio	charge
bearer	carrier	coffin	funeral	pall	carry
bearing	ball	child	wheel	carriage	carrying
beatle	paul	john	george	mania	bug
beats	drum	heart	music	frequency	group
became	was	become	changed	is	change
become	change	be	develop	old	am
becoming	attractive	pretty	being	beautiful	getting
beds	sleep	sex	sheets	flowers	blankets
bedtime	sleep	story	drink	sex	bed
been	gone	has	was	went	had
beetroot	red	vegetable	salad	vinegar	cabbage
being	human	alive	existence	is	living
believed	god	thought	in	faith	disbelieved
belting	hitting	rain	pain	strap	beating
beneficent	good	helpful	kind	money	charity
bent	crooked	twisted	queer	pin	coin
bereavement	death	sadness	loss	sorrow	funeral
better	worse	best	than	good	improve
bicycles	wheels	chains	tricycles	transport	pedals
bid	auction	buy	ask	offer	for
big	small	little	large	ben	grand
bile	duct	sick	liver	green	yellow
bills	money	pay	posters	paid	accounts
binding	book	tape	contract	energy	tying
birth	death	day	control	baby	date
birthdays	presents	cake	happy	cards	parties
bite	dog	chew	teeth	apple	eat
blackboard	chalk	school	easel	rubber	duster
blacksmith	horse	forge	anvil	horseshoe	shoe
bladder	gall	urine	piss	water	ball
blade	knife	razor	grass	sword	sharp
blast	furnace	explosion	dynamite	bang	off
blazer	school	badge	jacket	black	red
bleat	sheep	lamb	baa	shout	goat
blend	coffee	mix	tea	butter	cake
blight	potato	disease	plague	potatoes	crops
blimey	cor	cockney	slang	crikey	christ
blisters	feet	sore	pain	boils	burst
blood	red	donor	group	test	cut
bloom	flower	blossom	rose	flowers	john
blower	glass	horn	fan	phone	air
bodied	able	embodied	full	dead	soul
boggle	mind	eyes	eye	gape	stare
boil	water	kettle	egg	potatoes	milk
boiling	water	hot	kettle	point	pot
bold	brave	brass	audacious	bad	brazen
bombs	war	atom	away	planes	bang
bond	james	premium	tie	street	car
bondage	slave	slavery	chains	human	freedom
bones	skeleton	dry	body	dead	death
boost	rocket	morale	ego	up	lift
boot	shoe	foot	lace	kick	black
boozed	drunk	pissed	up	beer	sloshed
bore	hole	drill	drag	gun	tedious
borne	carried	free	die	air	aloft
bottles	beer	drink	wine	green	milk
bouts	boxing	fight	rounds	coughing	fits
boxes	little	cardboard	square	cartons	matches
braid	gold	hair	ribbon	dress	material
brain	drain	head	mind	think	storm
brakes	car	stop	shoes	accelerator	cars
branch	tree	bank	twig	out	line
brass	band	copper	monkey	rubbing	money
brat	child	kid	boy	pest	nuisance
brawn	brain	muscle	beef	strength	brains
breaker	wave	sea	surf	waves	yard
breakfast	dinner	lunch	cornflakes	egg	cereal
breasts	woman	women	nipples	nipple	tits
breathless	running	run	tired	pant	wind
bricks	mortar	house	red	wall	build
brief	short	case	pants	knickers	panties
bright	light	dull	sun	dark	dim
brilliance	light	bright	clever	shine	sun
brilliant	clever	genius	light	me	shining
brim	full	hat	cup	top	over
brine	salt	sea	water	salty	chemistry
broker	stock	pawn	insurance	money	stocks
bronze	metal	gold	copper	age	medal
broom	sweep	handle	stick	brush	witch
brothel	prostitute	women	sex	whore	prostitutes
brothers	sisters	monks	friends	sister	four
brown	black	white	ale	blue	bread
brows	eyes	eye	hills	beat	high
brusque	quick	sharp	short	abrupt	harsh
bud	flower	rose	tree	spring	leaf
budgerigar	bird	cage	canary	joey	tweet
bug	bear	beetle	insect	flea	germ
building	house	site	bricks	high	brick
bulb	light	flower	tulip	plant	crocus
bulbs	light	flowers	tulips	plants	daffodils
bun	oven	cake	currant	fight	food
bungalow	house	flat	roof	low	stairs
burden	load	heavy	weight	bundle	eric
